|HallowQuests||||
drone33|Отдых восстанавливает ваше [[Здоровье]], [[Маны]] и [[Максимальную Выносливость]]. Вы можете отдыхать в кровати только тогда, когда это безопасно.||||
drone34|Кристальные Точки восстанавливают [[Маны]] и [[сохраняют игру]]. Они также дают [[Домашнее Заклинание]], которое вернёт вас к последней использованной Кристальной Точке.||||
drone35|Помните, что [[заклинания]] и [[используемые предметы]] должны быть экипированы перед использованием, как и оружие.||||
vela1-1|<<Вела Каллос стоит с достоинством, её голос прорезает шум корабля. Вы замечаете, что кровь сочится из её доспехов; она ранена, но хорошо это скрывает.>>||||
vela1-2|Отпустите паруса! И почему антигравитационный двигатель не работает? ## <<Внезапно она замечает вас.>>||||
vela1-3|Что это, отставший? Компания Темной Звезды приветствует вас. Мои извинения, но вы застали нас в довольно... неподходящий момент.||||
vela1-p1|Вела Каллос, я пришёл задержать вас от имени Инквизиции.||||
vela1-4|<<Она запрокидывает голову и смеётся.>> ## О, это хорошо. ((Вы)) пришли задержать меня? Вы выглядите так, будто вам нужна еда и отдых. Я не думаю, что вы в состоянии задержать даже слизняка.||||
vela1-5|Эти собаки Инквизиции действительно должны быть отчаянными, а? Всё равно, мы не можем здесь задерживаться. События уже в движении, и их нельзя остановить.||||
vela1-p2|Я только что сбежал из тюрьмы Инквизиции. Могу я присоединиться к вам?||||
vela1-6|<<Она смотрит на вас с усмешкой.>> ## Я не хочу вас обидеть, но у компании Темной Звезды есть определённые стандарты. Вы не совсем подходите.||||
vela1-7|Приготовьтесь, отставший. Великие дела впереди. Дела, которые положат конец тирании Союза Вероотступников... и откроют новую эру Рая.||||
vela1-8|И с этим мы должны отправиться в путь. Было приятно, но я сомневаюсь, что мы встретимся снова. ||||
inq2-1|Итак, Вела сбежала, а? Наши дроны зафиксировали отлёт её корабля. ||||
inq2-p1|Я не смог задержать её. Я потерпел неудачу. ||||
inq2-2|Ну, вы выжили, и это уже что-то. Судя по вашему виду, я был уверен, что вас сразу же зарежут.||||
inq2-p2|Я сыграл в вашу игру. Вы отпустите меня? ||||
inq2-3|О, нет, конечно, нет. Вы всё ещё заключённый, помните? ||||
inq2-4|И в любом случае, сделка всё ещё в силе. Вела всё ещё на свободе, и пока вы её ищете, миссия не провалена. Не ((технически)).||||
inq2-5|Далее нам нужно выяснить, куда могла направиться Вела. У нас есть информация о нескольких наёмниках Темной Звезды, которые покинули гнездо; нам нужно навестить их.||||
inq2-6|Я организовал встречу с бывшим [[Квартирмейстером]] Велы, который встретит вас в пабе [[Шаткая Башка]]. Проверьте [[Журнал Заданий]] для получения дополнительной информации.||||
inq2-7|А пока мы можем использовать эту крепость времён Войны Богов как базу операций. Возвращайтесь сюда, если вам нужно пополнить запасы.||||
inq2-8|Я даю вам [[Документ Паспорта Союза Вероотступников]]. Он даст доступ через мостовые ворота Союза, такие как те, что на юге.||||
inq2-9|Итак, чего вы ждёте? В путь!||||
bridge1|Приветствую. Мост закрыт, если у вас нет подлинного паспорта Союза Вероотступников. Так что, если у вас его нет... проваливайте.||||
p20|У меня есть паспорт прямо здесь.||||
bridge2|Хм.. печать выглядит подлинной. Я не вижу признаков магической подделки. Да, похоже, вы можете пройти.||||
bridge3|Похоже, у вас ничего нет. Давайте, проваливайте отсюда.||||
p21|Где я могу получить паспорт?||||
bridge4|Обычно их выдают высшие чины Союза. Инквизиторы, советники и тому подобные. Но я слышал, что в городе Хэллоу есть магазин, где их продают... за немалую цену.||||
bridge5|Помните, что паспорта одноразовые. Один паспорт даёт вам право на пожизненное путешествие через один мост — но не через другие.||||
p22|Тогда я пойду.||||
bridge6|<<Он перебирает бумаги.>> ## Да, похоже, вы в списке. Давайте, проходите. ||||
birdgeEnd1|Приветствую. Этот мост ведёт в Королевство Вечных. Мерзкое место, полное бродячих трупов.||||
birdgeEnd2|Мост закрыт, если у вас нет подлинного паспорта Союза Вероотступников. Так что, если у вас его нет... проваливайте.||||
bridgePwyll|Союз не выдаёт новые паспорта в Пвилл в данный момент... какая-то мера предосторожности.##Их трудно достать, но кто-то в [[городе]] может помочь... Вы встречали [[Весовщика]]?||||
agentBark1|||||
agentBark2|Что вы делаете? Без обид, но вам лучше оставить это профессионалам. ||||
agentBark3|Вы выглядите так, будто только что вылезли из кустов. Вы что, сбежавший заключённый?||||
UnderBasaltA1R|Вы выглядите не очень хорошо, Исповедник. Давайте сделаем это быстро.||||
UnderBasaltA1|<<Вы просыпаетесь с раскалывающейся головой. Вы задыхаетесь; ваши лёгкие наполняются едким воздухом. Всё болит.>>||||
UnderBasaltA2|<<Базальт смотрит на вас без сочувствия.>> ##Вы выглядите как дерьмо, Исповедник.||||
UnderBasaltA3|Вы, наверное, чувствуете себя так, будто вас пережевал тифос. Позвольте мне ввести вас в курс дела. ##<<Он жестом указывает вокруг.>> Корабль разбился.||||
UnderBasaltA4|Ну, я решил объяснить вам всё. Проклятие разрушает ((разум)), в конце концов.||||
UnderBasaltA5|Ну... не ((только)) это.||||
UnderBasaltA6|Видите ли, мы спрятали кучу защитных костюмов в корабле. Толстые кожаные одежды, зашитые и зачарованные, чтобы защитить от миазмов, которые витают в воздухе здесь.||||
UnderBasaltA7|Но... они все сгорели при крушении. Единственное, что мы смогли спасти... <<Он стучит по своей маске.>> ...это ((эта)) одна.||||
UnderBasaltA8|Так что это головокружение? Головная боль? Жжение в лёгких? Боюсь, это миазмы. [[Проклятие]]. Мне... жаль.||||
UnderBasaltA9|<<Он пожимает плечами.>> Зависит от времени воздействия. Если мы сделаем это быстро, у вас есть шанс.||||
UnderBasaltA10|<<Приглушённый смешок.>> Нашедший берёт, ((Исповедник)). Я не собираюсь жертвовать своей жизнью ради вас.||||
UnderBasaltA11|<<Он хлопает вас по плечу.>> Вот это дух, а? Вы бы стали отличной Тёмной Звездой в своё время.||||
UnderBasaltA12|<<Он оглядывается.>> В любом случае, вы можете найти какую-то [[защиту]] здесь, если вам повезёт. Было много безрассудных экспедиций в Подземелья, и археологи — ну, скажем так, они не всегда возвращаются.||||
UnderBasaltA13|Остальные будут в порядке. У Фроста и Эмберианца есть встроенные респираторы в их костюмах, а Герцогиня... ну, она не дышала уже несколько веков.||||
UnderBasaltA14|Подземные бури были жестокими. Когда вы внутри облаков, вы ничего не видите; только вспышки света и оглушительный гром. Я пытался управлять кораблём как мог, но... это всегда было азартной игрой.||||
UnderBasaltA15|Честно говоря, мы здесь только благодаря Герцогине. Без её защитных чар я сомневаюсь, что мы бы остались целы.||||
UnderBasaltA16|Мы немного отклонились от цели. Орлайт — ((Эмберианка)), я имею в виду — думает, что видит [[Колыбель]] сквозь миазмы, но это далеко. Нам нужно пересечь эту пустошь из ржавой стали. Нелёгкая задача.||||
UnderBasaltA17|Фрост считает, что наш лучший шанс — попытаться добраться до этого [[каретного дома]] внизу по дороге. Если нам повезёт, мы сможем найти Эмберианский [[автокарету]]. Я понятия не имею, что это такое, но Фрост считает, что она сможет доставить нас через пустошь невредимыми.||||
UnderBasaltA18|Это долгий путь, но, ну — у нас нет лучших идей.||||
UnderBasaltA19|Итак, как ((лидер)) этой маленькой вылазки, вы, наверное, захотите разведать путь вперёд, а, Исповедник? ##Не волнуйтесь — мы будем прямо за вами. <<Он подмигивает.>>||||
UnderBasaltA20|Хорошо. С таким настроем мы вернёмся к ужину.||||
UnderBasaltA21|Помните: просто разведайте путь мимо машин внизу, и мы все встретимся в том [[маленьком каньоне]] впереди.||||
UnderBasaltA22|Ну, может быть, вы впишетесь среди всех мерзостей здесь, а? Вы можете просто... <<Он делает движение рукой.>> ...проскользнуть мимо, верно?||||
UnderBasaltA23|<<Он хмурится.>> Слушайте, ((Исповедник)). Я пытаюсь быть вежливым и проявлять к вам уважение. Но давайте проясним одну вещь.||||
UnderBasaltA24|Ваш ((Верховный Исповедник)) не здесь, чтобы вас поддерживать. Здесь нет агентов Инквизиции. Нет стражей Союза. Здесь только вы и кучка ((бывших)) Темных Звёзд.||||
UnderBasaltA25|Так что, если вы начнёте тянуть ранг и приказывать нам — как вы думаете, чем это ((закончится)), а?||||
UnderBasaltAP1|Без сомнения.||||
UnderBasaltAP2|Так вот почему я чувствую себя ужасно.||||
UnderBasaltAP3|Так, я умру?||||
UnderBasaltAP4|Отдай мне ((твою)) маску. ((Сейчас же)).||||
UnderBasaltAP5|Я буду в порядке.||||
UnderBasaltAP6|Как мы разбились?||||
UnderBasaltAP6a|Как вы сказали, мы разбились?||||
UnderBasaltAP7|Итак, каков план?||||
UnderBasaltAP7a|Напомните мне, каков наш план сейчас?||||
UnderBasaltAP8|Хорошо. Я пойду.||||
UnderBasaltAP8a|Полагаю, я пойду.||||
UnderBasaltAP9|Но ((я)) тот, кто проклят.||||
UnderBasaltAP10|Я приказываю ((вам)) идти вместо меня.||||
UnderDuchessA1|Итак, мы действительно здесь. Зловещие Подземелья, под облаками.||||
UnderDuchessA2|Даже четыре века назад, когда я ещё могла дышать свежим воздухом, это место имело мистическое качество. Из Верданта мы могли видеть мерцающие огни Эмберианских городов, далёких и прекрасных, далеко внизу.||||
UnderDuchessA3|Однажды я даже встретила одного из них. Эмберианский делегат был отправлен на встречу с моим отцом. Они прибыли на корабле из чистого металла; я никогда не видела ничего подобного...||||
UnderDuchessA4|Но я должна признать, что быть здесь после всех этих лет чувствуется... разочаровывающе. Я думала, что даже в смерти их города сохранят определённое величие, как и мой дом. Но это унылое, уродливое место, усыпанное ржавчиной и костями.||||
UnderDuchessA5|Давайте не будем задерживаться здесь дольше, чем нужно.||||
UnderDuchessA6|<<Она машет рукой.>> О, я уже сделала всё, что могла. ##Пока вы были без сознания, я запечатала ваши органы шифром. Это должно дать вам немного времени.||||
UnderDuchessA7|<<После момента молчания она вздыхает.>> Слушайте, Исповедник. Извините, если я кажусь легкомысленной. Просто... для нас, Вечных, страдания смертных могут казаться ((милыми)).||||
UnderDuchessA8|Конечно, вы будете испытывать ((мучительную)) боль, когда миазмы возьмут своё. Ваше тело будет атрофироваться, поглощаемое грибами, постепенно затвердевая, пока вы не укоренитесь на месте. Там вы останетесь на века или больше, слабо осознавая свои мучения.||||
UnderDuchessA9|Я знаю, что для ((вас)) это, вероятно, кажется утомительным испытанием. Но для кого-то вроде меня, кто уже пережил полтысячелетия страданий...||||
UnderDuchessA10|Ну, это звучит довольно интересно. Разнообразие — это приправа к нежизни, не так ли?||||
UnderDuchessA11|Тем не менее, я не желаю вам такой судьбы. Мы должны поторопиться.||||
UnderDuchessA12|Эмберианцы были мастерами слияния эфирного с физическим; шифра с машиной. Забудьте о тех жалких безделушках, которые вы могли видеть в Королевстве Механизмов — это лишь бледные подобия того, что Эмберианцы могли создавать на пике своего могущества.||||
UnderDuchessA13|Говорят, они даже создавали машины, которые могли ходить и говорить, с функционирующими умами из чистой логики шифра. ##Как человек, изучавший искусство шифра дольше, чем любой смертный, я могу сказать прямо: это не простая задача.||||
UnderDuchessA14|Говорят, их творения пережили самих Эмберианцев и до сих пор бродят здесь. Если бы это была ((единственная)) опасность, с которой мы столкнулись, я бы была серьёзно обеспокоена; но это не всё.||||
UnderDuchessA15|Мировой Разлом был синтаксическим каскадом, который разрушил саму суть всего, чего он касался. Многие люди погибли, но некоторые постигла худшая участь; они превратились в призраков злобных намерений.||||
UnderDuchessA16|Что бы нам ни нужно было сделать здесь, мы должны сделать это ((быстро)).||||
UnderDuchessA17|Ах, это мой [[транспозиционный шатёр снабжения]]. Он соткан из сложного шифра, который искажает время и пространство, так что внутри он гораздо больше, чем кажется снаружи.||||
UnderDuchessA18|Не стесняйтесь использовать его для [[крафта]] или пополнения [[запасов]]. Там также есть портал, ведущий обратно в моё жилище в Землях Вечных, хотя на данном этапе я думаю, что было бы неразумно отступать; мы должны двигаться вперёд.||||
UnderDuchessAP1|Согласен. Я отправляюсь.||||
UnderDuchessAP2|Я проклят. Можете помочь?||||
UnderDuchessAP3|Вы знаете, с какими опасностями мы столкнёмся?||||
UnderDuchessAP4|Что это за шатёр?||||
UnderEmberianA1|Вы знаете, всю свою жизнь у меня были эти... повторяющиеся сны.||||
UnderEmberianA1R|Всю свою жизнь я мечтала о мерцающих башнях Эмберианцев. И что они оставили нам? Ничего, кроме ткани, натянутой на слабый каркас.||||
UnderEmberianA2|Метрополис света. Башни из мерцающей стали и шифра. Огромные корабли, скользящие по воздуху, как будто они ничего не весят.||||
UnderEmberianA3|<<Она вздыхает.>> Я думаю, часть меня... всегда искала это место. Просто чтобы ((увидеть)) его своими глазами. ##И теперь я наконец ((здесь)) — неужели эта пустошь действительно всё, что осталось?||||
UnderEmberianA4|Я думала, что Эмберианцы, несмотря на всю их гордыню и высокомерие, построили что-то, что ((продержится)). Но, возможно, их достижение было всего лишь ((мечтой)). Ничем, кроме ткани, натянутой на слабый каркас.||||
UnderEmberianA5|Далеко вдалеке, за туманом и молниями, есть гигантский металлический шар. ((Это)) [[Колыбель]], самый продвинутый кусок техники, или магии, или ((обоих)), что когда-либо существовал.||||
UnderEmberianA6|((Там)) находится Вела; без сомнения. Она планировала это ((годами)). И если мы собираемся остановить её от активации, нам нужно действовать быстро — Вела уже далеко впереди нас.||||
UnderEmberianA7|<<Она кивает.>> Мне жаль, Исповедник. Я видела людей, возвращающихся с экспедиций — даже с низколежащих островов — поражённых проклятием.||||
UnderEmberianA8|Я уверена, вам не нужно говорить, насколько это может быть плохо. Но Герцогиня уже применила свою магию на вас, и если мы закончим это быстро, вы должны выздороветь.||||
UnderEmberianFollow1|<<Она поправляет меч.>> Хорошо, веди нас.||||
UnderEmberianFollow2|Если вы так говорите. Я подожду здесь.||||
UnderEmberianFollow3|<<Она кивает.>>||||
UnderEmberianFollow4|Что-то на уме?||||
UnderEmberianFollow5|Идите вперёд, Исповедник. Я позабочусь, чтобы остальные прошли безопасно.||||
UnderEmberianFollow6|<<Она морщится.>> Получила слишком много ударов, Исповедник. Идите вперёд, пока я перевожу дух.||||
UnderEmberianAP1|Вы знаете, где Вела?||||
UnderEmberianAP2|Я проклят миазмами.||||
UnderEmberianFollowP1|Давайте объединим усилия и будем сражаться вместе.||||
UnderEmberianFollowP2|Давайте разделимся.||||
UnderEmberianFollowP3|Давайте отправимся.||||
UnderFrostA1|<<Фрост смотрит в подзорную трубу на сооружение из металла и разбитого стекла на ближайшем утёсе.>> ##Великолепно. Конструкция почти цела. Представьте, каково это было в его расцвете!||||
UnderFrostA1R|<<Фрост опускает подзорную трубу и смотрит на вас холодно.>> ##Всё ещё мешкаешь, дорогой? Помни, каждая минута, проведённая здесь без маски, приближает тебя к смерти...||||
UnderFrostA2|<<Он опускает подзорную трубу и осматривает вас, выглядит удивительно спокойным после крушения.>> ##Ты выжил? Молодец. Я знал, что в тебе есть потенциал.||||
UnderFrostA3|По всем объективным меркам наше положение ужасно... и все же я не могу избавиться от чувства предвкушения. Раскрытие тайн этого места было делом моей жизни, и теперь мы преследуем величайшую тайну из всех.||||
UnderFrostA4|Как иронично, что это произошло из-за моих собственных ошибок, а не из-за ошибок какой-нибудь давно умершей цивилизации... ##<<Он бормочет себе под нос.>> Соберись, Гораций. Или Какстон? Неважно.||||
UnderFrostA5|Увы, наша жёсткая посадка лишила меня необходимых материалов для импровизации новой [[маски фильтрации]]. Но мы недалеко от места, где потерпела крушение экспедиция Мунро в 35-м году. ((Некоторое)) их оборудование ((может)) все еще быть целым.||||
UnderFrostA6|Твой единственный шанс на выживание — [[ограничить воздействие]]. Каждая минута, каждый ((удар сердца)), проведенный здесь без маски, приближает тебя к судьбе хуже смерти.||||
UnderFrostA7|Если ты потерпишь неудачу, я могу предложить тебе то же средство, что дал моей старой коллеге Магде. ##<<Он копается в кармане и раскрывает ладонь, показывая маленький шарик из какого-то воскового вещества.>>||||
UnderFrostA8|Яд пурпурно-пятнистого тифоса. Чрезвычайно смертоносный и совершенно безболезненный. ##Она заставила меня пообещать, понимаешь.||||
UnderFrostA9|Тогда тебе лучше поторопиться. Тик-так, дорогой, тик-так...||||
UnderFrostA10|Как сказал Виллем Слизняк((любитель)) молодой служанке, это было только один раз. В 33-м году меня выбрали возглавить первую и единственную поверхностную экспедицию Королевства Механизмов. В то время я считал это большой честью.||||
UnderFrostA11|Только чудо импровизированной инженерии позволило нам справиться лучше, чем старому Стультусу в 26-м. Погибла лишь половина из нас, а не все.||||
UnderFrostA12|Все равно, держи голову выше, а? Тогда у нас не было с собой [[Герцогини]].||||
UnderFrostA13|Верно. В древние времена весь этот континент был пересечен передовой транспортной сетью, позволявшей Эмберианцам преодолевать сотни лиг в день с полным комфортом.||||
UnderFrostA14|Эти '[[автокареты]]', как их назвали современные ученые, двигались с высокой скоростью по специальным маршрутам с помощью неизвестных средств. Если ты когда-нибудь бывал внутри современной [[шахты]], ты мог видеть вагонные пути, вдохновленные их примером.||||
UnderFrostA15|Следовательно, наш первый приоритет — добраться... <<Он указывает на вершину утеса.>> ##((Туда)). Если какое-то такое транспортное средство осталось работоспособным, я уверен, что смогу им управлять.||||
UnderFrostAP1|Я проклят. Ты можешь сделать какое-нибудь защитное устройство?||||
UnderFrostAP1a|Ты уверен, что ничего не можешь сделать с моим проклятием?||||
UnderFrostAP2|...Я пока воздержусь, спасибо.||||
UnderFrostAP3|Возможно, я приму твое предложение, если дойдет до этого.||||
UnderFrostAP4|Так ты уже бывал в Подземельях?||||
UnderFrostAP5|Базальт говорил, что у тебя есть план, как отсюда выбраться.||||
UnderFrostAP6|Пожалуй, я пойду.||||
UnderFrostB1|<<Фрост возится с ручным устройством, напоминающим помесь дульцимера и каретных часов.>> ##Тишина, пожалуйста. Этот процесс требует концентрации...||||
UnderFrostB2|<<Глубокий механический гул раздается из стены, когда дверь начинает скрежетать, открываясь.>> ##Ах-((ха)).||||
UnderFrostB3|Очевидно, Эмберианцы не обновили свои заклинания с моего последнего визита. Довольно небрежно с их стороны, а?||||
UnderFrostB4|Кстати, я думаю, мы близко к тому [[месту крушения]], о котором я говорил. Если ты хочешь выжить в этом маленьком путешествии, я предлагаю тебе поискать в этом районе [[маску фильтрации]].||||
UnderFrostB4b|Кстати, я думаю, мы близко к месту, где потерпела крушение экспедиция Мунро в 35-м году. Если ты хочешь выжить в этом маленьком путешествии, я предлагаю тебе [[обыскать обломки]] в поисках рабочей [[маски фильтрации]].||||
UnderFrostB5a|Я действительно думаю, что мы близко к тому [[месту крушения]], о котором я говорил. Если ты хочешь выжить в этом маленьком путешествии, я предлагаю тебе поискать в этом районе [[маску фильтрации]].||||
UnderFrostB5b|Ты нашел [[маску фильтрации]]? Очень хорошо. Полагаю, капитану Мунро и его команде она больше не понадобится, пусть звезды упокоят их души.||||
UnderFrostB6|Сначала у нашего судна сломался двигатель плавучести при прибытии. Затем наши сигнальные ракеты оказались бракованными, и мы пропустили встречу спасения.||||
UnderFrostB7|Наш таумометр вышел из строя при любом значении выше 7,3 миллигекса. А наши неисправные дыхательные баллоны перегрузились, вызывая галлюцинации.||||
UnderFrostB8|Это было моим первым намеком на то, что хваленое мастерство Королевства Механизмов, возможно, приходит в упадок. ##Честно говоря, без моей покойной коллеги Магды я бы не стоял здесь сегодня.||||
UnderFrostB9|В конце концов все получили медали, живые и мертвые, и Король, без сомнения, считал наши открытия во много раз более ценными, чем то, что мы за них заплатили.||||
UnderFrostB10|Конечно. Я останусь здесь на несколько мгновений, чтобы убедиться, что никто не остался позади.||||
UnderFrostBP1|Что случилось на твоей последней экспедиции?||||
UnderFrostBP2|Давай продолжим двигаться.||||
