NPC Name:|Shops||||
wikkan12|Ах, сколь щедрое пожертвование. Прошу, примите это в воздаяние; [[Викканский Ковен Червя]] ((очень)) благодарен.||||
p25|Вообще-то, я передумал.||||
wikkan13|Пожалуйста; будьте осторожны с этими божественными существами, путешественник. Мы надеемся, что вы передумаете...||||
p26|Эм, а что, собственно, такое божественное существо?||||
wikkan14|В минувшие века Небесные Земли изобиловали всевозможными богами. Каждый город, каждое селение пребывало во власти того или иного божества, а мы, Викканы, заключали договоры между богом и смертными.||||
wikkan15|Но в Войну Богов столько богов было повержено. Столько утрачено! ##Хотя... на самом деле ((убить)) бога очень сложно, пока жива вера...||||
wikkan16|Итак, мы взращиваем этих утраченных божеств обратно в телесную форму. [[Божественные раковины]] оберегают пору их созревания; а когда они созреют, мы собираем драгоценный урожай.||||
wikkan20|Приветствую, достопочтенный друг. [[Викканский Ковен Червя]] уже некоторое время наблюдает за вами; и мы весьма довольны.||||
wikkan21|Прошу, чувствуйте себя здесь как дома. Это место — лишь для тех, кто предан нашему делу.||||
wikkan22|Вон тот [[Гримуар]] немало поможет вашему навыку [[Знание]]. Можете также отдохнуть на [[кровати]] внизу и взять любые [[предметы]], что найдёте здесь.||||
outlaw10|Сапоги у тебя стоптанные, друг. ##Не попадались тебе в этих краях [[колючие зелёные раковины]]? Хочу прикупить [[мелких тварей]], что сидят внутри. Божественными существами их кличут.||||
outlaw11|А, я ж сразу тебя раскусил. Ладно, покажи их; дам тебе честную цену и даже замолвлю словечко [[кое-каким моим друзьям]].||||
outlaw12|Вот это другое дело. Ну, вот твоя плата. Носи ещё — глядишь, и двери кое-какие тебе откроются, друг.||||
outlaw13|Слушай, лучшей сделки ты нигде не сыщешь, ясно? Так что буду тут, когда передумаешь.||||
outlaw14|Да я, знаешь, без понятия. <<Она издаёт хриплый смешок.>>||||
outlaw15|Знаю одно: и Союзу, и Викканам они позарез нужны. И ((это)) значит, что они чего-то да стоят. Так что неси мне ещё этих тварей, а я уж прослежу, чтоб тебе досталась честная доля прибыли.||||
outlaw20|Эхех, и ты сойдёшь нынче за [[изгоя]]? <<Он плюёт на пол у ваших ног.>>||||
outlaw21|Ну да ладно. Боссы говорят, ты свой. Стало быть, свой.||||
outlaw22|На том сундуке можешь поупражняться в навыке [[Отмычка]]. Или вздремнуть на [[кровати]]. И бери [[все остальное]], что сгодится.||||
union10|Приветствую, крестьянин. Нужна работа? ##В этом краю обнаружены [[Божественные раковины]]. В них таятся [[божественные существа]] — опасные, оккультные образцы. Их надлежит доставить нам. ((Все)) до единого.||||
union11|Отлично; передайте их. Знайте, что [[Союз Вероотступников]] вознаградит своих самых верных подданных.||||
union13|Да-да; всё как надо. Вот ваши монеты. Ваш вклад я отметил в учётной книге.||||
union14|Напомнить ли вам, что эти божественные существа — серьёзная угроза? Вы обязаны немедленно передать их!||||
union15|Божественное существо — жалкий остаток некогда грозного создания, бога. Хоть мы и истребили многих в Войну Богов, они так и норовят прорасти снова, как сорняки.||||
union16|В Хэллоушире всё ещё тлеют очаги викканского сопротивления, и, похоже, они силятся возродить своих самых гнусных и зловещих божеств.||||
union17|Излишне говорить, что это угроза безопасности Островов Грёз и всего Союза Вероотступников. Наш долг — извести этих мерзких божественных существ.||||
union20|А, добро пожаловать. Эта комната обычно отведена для сановников из Риовы, но, как я понимаю, полимат сделал исключение — ввиду ваших... ((услуг)) [[Союзу Вероотступников]].||||
union21|Вон та зачарованная маска даст прибавку к вашему навыку [[Обаяние]], если понадобится. Можете также воспользоваться [[удобствами]] или отдохнуть вон на той [[кровати]].||||
union22|Только — будьте добры, снимите вашу самую ((элегантную)) обувь? Не хотелось бы запачкать мебель, верно...?||||
hallowshireoutlaw1|Можешь остаться, но коли услышишь, что эти мелкие ублюдки прут к баррикадам — подсоби, лады? Нахлебников тут не держим.||||
hallowshireoutlaw2|Гоблины жаждут твоей крови, яйца моли на каждой чёртовой вещи, белого света не видишь… и всё ж могло быть хуже. Тут мы хоть сами себе хозяева.||||
hallowshireoutlaw3|Это что, моль?! Лови её, лови, прихлопни эту тварь!||||
hallowshireoutlaw4|Пришёл отведать нашего знаменитого гостеприимства, а? Небогато, конечно, но это всё-таки… заброшенная шахта.||||
hallowshireoutlaw5|Следи за головой. И за спиной.||||
hallowshireoutlaw6|Болтать некогда. Я на посту.||||
hallowshireoutlaw7|Поставишь выпить, а? Босс мне больше не наливает.||||
hallowshireoutlaw8|Пришёл позубоскалить над нами, да? Ну и как там наверху — Инквизиция дышит в затылок, каждый остров мертвее прежнего? Может, останься-ка тут, погляди, какова она, свобода.||||
wizardoutlaw|Что ты тут забыл? Если ты не знаешь, как унять эффект запаздывания кривизны для полевого заклинания скорости — а по тебе видно, что не знаешь, — то и помочь мне не можешь, так что прочь с дороги.||||
wizardoutlaw2|К волшебнику собрался? Он наверху. Поднимайся, мне-то что.||||
wizardoutlaw3|Хм. Вроде ты не опасен. Но не думай, что я не пересмотрю это, коли что.||||
wizardoutlaw4|Интересно, есть ли заклинание, чтоб наколдовать перину?||||
wizardoutlaw5|Его Волшебство не жалует гостей — оттого мы и здесь.||||
rustburgoutlaw1|Не боись, втыкать это тебе в кишки я не стану — за такое мне платят маловато. А вот те ребята дальше по дороге, пожалуй, не такие добрые, и сдаётся мне, гонит их не одна только монета. Хотя моё ли это дело, а?||||
rustburgoutlaw2|Растбург теперь наш. Не то чтоб он кому-то ещё сдался.||||
rustburgoutlaw3|Двигай дальше. Вот так.||||
rustburgoutlaw4|Пришёл за зарытыми сокровищами, да? Ну так опоздал. Во-первых, тут всё наше, а во-вторых, никакие это не сокровища, а хлам.||||
rustburgoutlaw5|Полегче.||||
rustburgoutlaw6|Если просто идёшь мимо — иди себе. А нет — поворачивай обратно.||||
rustburgoutlaw7|Народ в Растбурге раньше кормился металлоломом, знаешь ли. Теперь тут одни мы — и кормимся мордобоем. Хех.||||
rustburgoutlaw8|Ты откуда вообще, а? Махнёмся, что ли? Я пойду мир повидаю, а ты сиди тут да дай заднице заржаветь.||||
houseoutlaw1|Славное у нас тут логово, так что не вздумай о нём кому проболтаться.||||
houseoutlaw2|Ты глянь, как жили эти богатые ублюдки! Дом, где я вырос, был меньше здешнего нужника. Ну да теперь это наше…||||
airshipGuild1|<<Женщина окидывает вас равнодушным взглядом.>> Приветствую, путешественник. Добро пожаловать в… Ах… <<Она зевает и потирает виски.>> …в порт Пвилла Гильдии Крылатых Торговцев. ##Я здешний гаваньмейстер. Чем могу помочь?||||
airshipGuild2|Гаваньмейстер Пвилла от Гильдии Крылатых Торговцев, рада знакомству. <<Она сонно моргает.>> Эм, снова.||||
p101|Чем Гильдия занимается тут, в Пвилле?||||
airshipGuild3|<<Она резко втягивает воздух, будто вопрос — какая-то особо мудрёная загадка.>> Ну… следим за перевозкой товаров, взимаем пошлины, проверяем, нет ли контрабанды, — что-то вроде того.||||
airshipGuild4|Пвилл — местечко довольно... ((тихое)), так что судов у нас негусто. Раз в неделю заглядывает торговое судно — обычно когг или шлюп — из Хэллоу Тауна, с товаром из центральных земель Союза. Может, ((может)), изредка заглянет доу из Аль-Асфары.||||
airshipGuild5|И вот разгрузим мы их товар — а им чего подавай? Скригриб. Вечно этот долбаный скригриб! Клянусь, если придётся вздёрнуть на лебёдке ещё хоть один ящик этой дряни...||||
p102|Я хочу купить корабль — и вот моё разрешение. ||||
airshipGuild6|<<Она выхватывает документ и подозрительно его разглядывает.>> Что за... ##Ну надо же, у вас и впрямь ((есть)) разрешение на покупку корабля. ##Вот только есть у нас лишь маленький когг, да и тот встанет вам в [[200 монет]].||||
p103|Ладно, беру.||||
airshipGuild7|Хмф — похоже, монет у вас маловато.||||
airshipGuild8|Ладно, что ж... для начала вот [[документ]] на ваш воздушный корабль. Это законное подтверждение права собственности, так что не потеряйте!||||
airshipGuild9|Затем я распоряжусь доставить когг в этот порт. Закончим тут — и снаружи вы увидите его [[пришвартованным у причала]].||||
airshipGuild10|Раз у вас есть разрешение, я полагаю, вы недурно разбираетесь в тонкостях мореходства и хитросплетениях торгового права Союза — иначе полиматы вас бы ни за что не одобрили. ##Но на всякий случай... вопросы есть?||||
p104|Вообще-то, я передумал.||||
airshipGuild11|Что ж, возвращайтесь, если надумаете купить.||||
p105|Хочу купить улучшения для воздушного корабля.||||
airshipGuild12|Конечно. Сейчас, только возьму учётную книгу...||||
p106|Как мне обзавестись ((собственным)) воздушным кораблём? ||||
airshipGuild13|<<Она ухмыляется.>> Что, думаете, мы просто ((раздаём их)) всякому путешественнику с горящими глазами? ##На парусное судно, знаете ли, нужна уйма монет. Большинство торговцев Союза владеют лишь ((долями)) в кораблях, на которых ходят. ||||
airshipGuild14|Кроме того, будь у вас даже туго набитый кошель под этими... <<Она неопределённо машет в сторону вашей одежды,>> ((дивными нарядами)), нынче нужно разрешение от Риованского портового управления. ##А его, ((поверьте)), в этакой глуши не сыщешь.||||
p107|Хочу расспросить о плавании и уходе за моим судном.||||
airshipGuild15|Что вы хотите узнать?||||
p108|Расскажете азы управления кораблём?||||
airshipGuild16|Ваш корабль может бросить якорь в любом [[Доке для Воздушных Кораблей]] вроде этого — они есть в каждом крупном городе. ##При каждом доке есть и [[Станция Модернизации Воздушных Кораблей]], где можно переоснастить судно.||||
airshipGuild17|А ещё [[бросить якорь]] можно почти где угодно в мире. Просто остановите судно — и, если хватит смелости или безрассудства, [[спуститься по цепи]] на землю. А как соберётесь в путь — просто [[поднимитесь обратно]].||||
airshipGuild18|И помните: если вдруг потеряете свой воздушный корабль из виду, его можно [[вызвать]] к любой [[Станции Модернизации Воздушных Кораблей]].||||
p109|Как мне улучшить своё судно?||||
airshipGuild19|При каждом доке есть [[Станция Модернизации Воздушных Кораблей]], где можно оснастить корабль разными компонентами. ##Новые компоненты можно [[купить у гаваньмейстера]] вроде меня.||||
airshipGuild20|Компоненты бывают трёх типов: [[Корпус]], [[Паруса]] и [[Каюта]]. И вы заметите: они не только меняют облик воздушного корабля, но и то, как он ведёт себя в небе.||||
airshipGuild21|И помните: у разных гаваньмейстеров на продажу разные улучшения. Всегда заглядывайте в местный [[Док для Воздушных Кораблей]] — вдруг у них найдётся то, что вам нужно.||||
p110|Это все, что я хотел узнать.||||
airshipGuild22|Прекрасно. Что-нибудь ещё?||||
p111|Прощайте. ||||
airshipGuild23|<<Мужчина лучится хорошо отработанным гостеприимством.>> Здравствуйте, друг. От имени Гильдии Крылатых Торговцев смиренно приветствую вас в [[Доке для Воздушных Кораблей]] Хэллоу Тауна.||||
airshipGuild24|Я здешний гаваньмейстер. <<Он раскрывает книгу в кожаном переплёте — страницы исписаны изящным почерком.>> ##Итак, скажите: вы прибыли с ввозом? С вывозом? Есть что задекларировать, или...?||||
airshipGuild25|<<Он оглядывает вас с ног до головы и сглатывает.>> Вы ведь ((состоите)) в Гильдии, не так ли?||||
p112|Я хочу купить корабль — и вот моё разрешение. ||||
p113|Погодите, какая, говорите, Гильдия?||||
p114|Эм, конечно. Я просто оставил воздушный корабль... дома.||||
p115|...Нет.||||
airshipGuild26|<<Он аккуратно закрывает книгу и испускает раздражённый вздох.>> ((Что ж.)) Полагаю, я мог бы уделить минуту, дабы утолить любопытство того, кто в Гильдии не состоит. Но прошу, покороче — эти причалы сами себя не обслуживают... ||||
airshipGuild27|<<Гаваньмейстер промокает лоб дорогим на вид платком>>. А, снова вы. Простите моё раздражение — наш досточтимый гильдмейстер Вернон Бервиг в последнее время... <<Он прочищает горло.>> ((не в состоянии)) исполнять свои обязанности. Здесь теперь изрядный беспорядок.||||
airshipGuild28|<<Гаваньмейстер вздыхает и изображает радостную улыбку.>> ##А, снова вы. Чем могу помочь?||||
p116|Чем Гильдия занимается тут, в Хэллоу Тауне?||||
airshipGuild29|О, уверяю вас, дел у нас невпроворот. Как главный порт Островов Грёз, Хэллоу Таун получает регулярные поставки из центральных земель Союза Вероотступников. ##Чаще всего мы ввозим вина из Бьонна, оливки и пряности из Венны, ткани из Лунделя и сырое железо из шахт Слева.||||
airshipGuild30|А вывозим мы пвилльский чай из скригрибов, что позволяет прозревать грядущее; новейшую поэзию из городов-гробниц Вечных и — когда удаётся раздобыть — крепкие бутылочные видения из Королевства Механизмов, навевающие самые невероятные сны.||||
p117|Я хочу купить корабль — и вот моё разрешение. ||||
airshipGuild31|<<Он изучает документ, не скрывая удивления.>> Ну и ну — а ведь оно и впрямь ((подлинное)). ##Что ж, в таком случае — есть у меня маленький когг за [[200 монет]], если вам угодно?||||
p118|Как мне обзавестись ((собственным)) воздушным кораблём? ||||
airshipGuild32|Что ж, смею заверить, они... <<Он прочищает горло>>, ((довольно)) дороги. ##К тому же мы не вправе продавать суда тем, у кого нет разрешения из Риовы, — ради безопасности Союза и прочее. Я ((весьма)) сожалею.||||
airshipGuild33|Добро пожаловать в Гильдию Крылатых Торговцев, дышащий. Чего пожаловал?||||
p119|Чем Гильдия занимается тут, в Сепулькре?||||
airshipGuild34|<<Он усмехается.>> Дивишься, что гильдейское заведение торчит тут, среди нас, гнилых? Да я тебя не виню. Но с тех пор как отношения с Союзом наладились, движение у нас оживилось.||||
airshipGuild35|Сперва гильдия упёрлась: подавай ей сюда гаваньмейстера из плоти и крови. Только они всё увольнялись! Что-то там, как я понял, насчёт здешней кухни...||||
airshipGuild36|Так что они сдались и пустили ((вашего покорного слугу))... <<Он изображает поклон>>, в Гильдию. И, чёрт возьми, правильно сделали! Я хожу в капитанах со времён Короля в Капюшоне, и за последние шесть веков сменил больше кораблей, чем вся Гильдия, вместе взятая!||||
p120|Я хочу купить корабль — и вот моё разрешение. ||||
airshipGuild37|<<Он смотрит на листок бумаги и кивает.>> Ага, по всему видать, настоящее. Ну что ж, дышащий, — хочешь стать капитаном собственного корабля или как? Могу продать тебе когг за [[200 монет]].||||
p121|Как мне обзавестись ((собственным)) воздушным кораблём? ||||
airshipGuild38|<<Он щёлкает тем, что осталось от языка>>. Увы, дышащий, без разрешения из Риовы тебе его не видать. И поверь — раздавать их просто так там не любят.||||
airshipGuild39|Добро пожаловать в [[Док для Воздушных Кораблей]] Феррополиса. Я дипломированный гаваньмейстер Гильдии Крылатых Торговцев и сделаю всё, что в моих силах.||||
p122|Чем Гильдия занимается тут, в Феррополисе?||||
airshipGuild40|<<Она вздыхает.>> В последние месяцы — немногим. Король закрыл свободный проход в Королевство Механизмов, так что возить товары дозволено лишь горстке капитанов.||||
airshipGuild41|Добро пожаловать в Гильдию Крылатых Торговцев. Я гаваньмейстер — чем могу помочь?||||
p123|Я хочу купить корабль — и вот моё разрешение. ||||
airshipGuild42|А, что ж, если все бумаги в порядке, могу продать вам маленький когг за [[200 монет]]. Что скажете?||||
p124|Как мне обзавестись ((собственным)) воздушным кораблём? ||||
airshipGuild43|К сожалению, купить судно могут лишь те, у кого есть разрешение из Риовы. Мне очень жаль.||||
