NPC Name:|Paeguth||||
poly21|Как вам, несомненно, известно, Хэллоушир охвачен голодом. Урожаи скудны, а это лишь усугубляет беду куда серьезнее: богопоклонство.||||
poly22|В панике народ ударился в незаконные молитвы. Культизм процветает. Дело столь серьезно, что сюда направили подразделение Инквизиции. Их прорицатели говорят, мы имеем дело с... <<она вдыхает.>> Божественной сущностью класса Б. ||||
poly23|Расследование сосредоточено на фермах за Хэллоу, но Инквизиция проводит Закон Вероотступников железной рукой. Многих сочувствующих богам уже отправили на виселицу, и это разжигает гнев. Потому я и обращаюсь к народу за помощью. Даже самый ничтожный из подданных может помочь искоренить эту напасть.||||
poly24|У меня лишь один вопрос: где этот бог?||||
poly25|Любая помощь, разумеется, будет вознаграждена монетой.||||
polyp13|Где мне искать?||||
poly26|Инквизиция продвигается по сельской местности, обыскивая фермы в поисках сочувствующих богам и тайных ковенов. Я бы на вашем месте порасспрашивала там народ и поискала то, что Инквизиция могла упустить.||||
poly27|Но есть еще Замок Хэллоу, где живет знатная семья. Старые династии в Союзе по-прежнему в почете, поэтому Инквизиция пока не вмешивается. Но у дворян древние связи с богами, так что я бы поглядывала на него с подозрением.||||
polyp14|Расскажите мне об этом голоде.||||
poly28|Голод — забота меньшая. С ним наверняка справятся за пару месяцев. Мы ждем поставок продовольствия из Лунделя, и я уверена, что больше они не задержатся.||||
poly29|Но крестьяне в своем нетерпении подались в оккультизм. Какая глупость! Они готовы свести на нет все добро, что сделал Союз.||||
polyp15|Я посмотрю, что смогу сделать. Прощайте.||||
polyp16|Я обнаружил бога Пигута.||||
poly30|<<Ее перо соскальзывает с бумаги. Она медленно поднимает взгляд.>> ##Вы утверждаете, что преуспели там, где провалился целый эшелон агентов Инквизиции? ##Мне нужны доказательства.||||
polyp17|<<Передайте Аспект Пигута.>>||||
polyp18|Вообще-то, неважно.||||
poly31|<<Эта тварь оседает на стол Полимата и там извивается, булькает и изрыгает странный запах. Полимат силится сохранить самообладание, но явно встревожена.>>||||
poly32|Это... ((существо)) и впрямь соответствует описанию аспекта бога. Возможно, вы и правда отыскали божественную сущность класса Б...||||
poly33|Очень хорошо. Наши прорицатели по этому аспекту определят, где засел бог, а тактическая ударная группа Инквизиции быстро разберется с сущностью.||||
poly34|Вы хорошо справились. Инквизиция, без сомнения, рано или поздно нашла бы эту тварь и сама, но вашей помощи в этом деле я отрицать не стану.||||
poly35|Возьмите это: скромную сумму монет за ваши труды, а также паспорт Союза Вероотступников.||||
poly36|А теперь прошу меня извинить — эти новые обстоятельства потребуют уймы официальных бумаг. Можете быть свободны.||||
polyp19|Как обстоят дела в Хэллоушире?||||
poly40|Благодаря вам Инквизиция быстро разделается с этой божественной сущностью класса Б. А значит, и расплодившиеся в этом краю культы неминуемо рассеются.||||
poly41|Хэллоушир, конечно, все еще страдает от голода... но при нашей мертвой хватке в регионе беспорядки удастся свести к минимуму.||||
poly50|Наши стражники сообщают о заметном спаде культовой активности. Остается предположить, что Инквизиция успела распугать этих ублюдков. ##<<Она усмехается.>> Ну, или они все попросту стали невидимыми.||||
poly51|К тому же урожаи растут. Похоже, голоду приходит конец. Приятное дополнение к нашим успехам.||||
inq1|<<Агент Инквизиции с мрачным любопытством наблюдает за телом, качающимся на виселице>>.||||
inq2|Культисты кишат на этих холмах, как паразиты. Перевернешь камень — дюжина брызнет врассыпную. Любой может оказаться тайным богомольцем.||||
inq3|Так что будьте начеку, чужак. Мы и за вами приглядываем.||||
p1|Расскажите мне об этих культистах. ||||
inq4|Они поклоняются какому-то Пигуту. Мерзкий старый бог плодородия. Наши писцы возвели его род к Средним векам — стало быть, он древний, если только это не какой-нибудь самозванец.||||
inq5|Что бы это ни было, наши прорицатели ловят энергию класса Б вокруг ферм и замка — значит, штука крупная. У кого-то из местных мутации точь-в-точь от проклятий плодородия, так что мы близко. Здесь что-то есть.||||
p2|Как думаете, что здесь?||||
inq6|Не уверен. Мы нашли тайник с идолами плодородия, а в потайной комнате прятался викканский жрец. Но что-то мы упускаем. Что-то крупное.||||
inq7|Мы допросили нескольких местных. Рано или поздно ломаются все — но стоило этим сболтнуть что-то о колокольне, как сработало какое-то заклятие молчания. Изо ртов у них полезли личинки. Тысячи — лились из губ, пока глотки не лопнули.||||
inq8|Вот что забавно: никакой колокольни тут и в помине нет. Придется расширить поиски...||||
p3|Ладно, спасибо.||||
p4|Ваши методы отвратительны. ||||
inq9|Хмф. Еще один реформатор, а? Думаете, верующих надо терпеть, а наказания — смягчать?||||
inq10|Вы не видели того, что видел я. Города, заключившие чудовищные сделки. Орды тварей, что уже не люди, — улицы, текущие кровью. Единственный выход — выжечь все дотла.||||
p5|Не все боги злы. При должном надзоре...||||
inq11|Поосторожнее. Это вам не университет, да и на ученого вы не похожи. А значит, такие слова — измена. А теперь прочь с глаз моих, пока я не решил принять меры. ||||
p6|Вы ясно дали понять. Прощайте. ||||
p7|Прощайте.||||
agent1|Я выполняю свой долг агента. Поклонение богам вне закона, а эти люди нарушают Закон Вероотступников.||||
agent2|...но трудно не сочувствовать. Здесь свирепствует голод, люди умирают. Ясно же, что Союз помогает не как следует. Не виню их за то, что ищут выход.||||
agent3|Я не виню их. Но я их наказываю. ||||
farmer1|Эти ублюдки. Союз заплатит за то, что они натворили.||||
farmer2|Пять лет назад они явились и объявили всех жрецов вне закона. С тех пор урожаи засохли, скот передох. Богачи в городе еще могут купить привозную еду, а здесь мы голодаем. Даже колокольня рухнула — и починить ее некому.||||
farmer3|А теперь... они спустили своих цепных псов, чтобы добить нас.||||
ch1|@@То, что делает Союз, ужасно. Я хочу помочь.||||
farmer4|%%Я не могу вам доверять. Может, вы и на Инквизицию работаете, но... выбора у нас не осталось. Мы все скоро поляжем. ||||
farmer5|Если вы и впрямь хотите помочь, поищите одни руины — на вершине ближней горы. Внутри — разбитый колокол. Под колоколом есть проход... ##Да благословит вас Пигут.||||
farmer6|&&Простите, но я вас не знаю. Может, вы на Инквизицию работаете. Не... не то чтобы мне было что скрывать, понимаете...||||
p8|Мне... жаль. Прощайте. ||||
fo1|Приветствую, новоприбывший.||||
fo2|<<Крошечные насекомые снуют по лицу существа. Смрад невыносимый, приторно-сладкий. Оно склоняется, чтобы вас обнюхать.>> ##Чую: плоть ваша... сочная, налитая здоровьем. Воистину Пигут благословил вас. ||||
pq|Могу я задать вам несколько вопросов?||||
foq1|Отвечу, на что смогу.||||
foq2|Хотите больше слов?||||
foq3|Очень хорошо.||||
p10|Что... вы такое?||||
fo3|<<Жидкости сочатся из расползающейся улыбки.>> ##Не страшитесь моего величия. Когда-то я был смертным, как и вы. Но уж в щедрости Пигуту не откажешь. ||||
fo4|Мне даровано благословение нести его плоды; терпеть сладкие муки, дабы исцелять землю и кормить народ.||||
p11|Расскажете мне о Пигуте?||||
fo5|Он — бог роста; пропитания; самой жизни. Кто поклоняется ему, не познает ни голода, ни хвори. Умрут они тучными, раздутыми и в блаженстве.||||
fo6|Многие поколения он хранил эти острова. Памятники его величию ныне лежат в славных руинах. Смертные гибнут — он пребудет. Даже богохульная война не смогла его извести.||||
p12|Где я могу найти Пигута?||||
fo7|Да ведь он живет внутри вас. В вашем дыхании, в вашей крови, в ваших клетках. Даже сейчас он ласкает ваши органы — с нежностью, с любовью, с... умыслом. Все, что нужно, — позволить ему, и он поможет вам.||||
fo8|Ах, но я чую, что ответ этот вас не удовлетворил. Не бойтесь — он близко, рядом, во всей своей величественной громаде. Он дарует аудиенцию тем, кто предан, чтобы благословить их... лично.||||
fo9|Если этого вы и желаете, принесите ему здесь подношение. А я укажу вам путь дальше.||||
p13|Понятно, спасибо. ||||
p14|Я хочу принести подношение Пигуту.||||
fo20|В том нет нужды. Вы уже принесли щедрое подношение.||||
fo21|<<Его лицо искажается.>> Боюсь, у вас нет вина.||||
fo10|Очень хорошо. В минувшие века верные Пигуту сбраживали дивное вино из островных грибов. Они закатывали буйные пиры и упивались его величием.||||
fo11|Принесите это вино, и Пигут удостоит вас аудиенции.||||
ch2|@@Но я вижу, что Пигут ни в чем не нуждается. Разве моих молитв недостаточно?||||
fo12|%%Истинно говорите, конечно. Пигут есть само изобилие по природе своей; и он премного доволен, что вы это видите.||||
fo13|&&Пигут ищет большего, чем молитвы; подношения, не меньше.||||
p15|Я предлагаю это грибное вино.||||
p16|Я подумаю об этом. ||||
fo14|Да, тот самый сорт. О, он премного доволен — я слышу, как он шепчет мне на ухо.||||
fo15|Возьмите этот символ. Ступайте к замку, что высится над этими землями. Поищите под ним пещеру; и с этим символом вас впустят. Ступайте же и купайтесь в его славе.||||
pgth1|А, еще одна обезьянья тварь заползает в мое логово. Раз вы несете один из моих ключей, стало быть, вы преданный последователь — признанный самым плодовитым из моих детей. А потому — благодарю вас. ||||
pgth2|Но если вы пришли узреть мое величие, боюсь, мне придется вас разочаровать. ##Давно минула эпоха, когда я возвышался над человечеством, раздуваясь от его грязи. Ныне немногие меня помнят. Я мал, иссох, забыт.||||
pgth3|Любопытно... уж не Викканы ли прислали вас облегчить мою участь? Даров моих на вас мало; кожа ваша гладка и незапятнанна. Но, быть может, в этом и есть прок.||||
pgth4|Возьмите этот аспект меня самого. Тайком пронесите его в залы совета Союза Вероотступников. Поместите в самой высокой точке — и он пустит корни.||||
pgth5|Он ослепит соглядатаев Союза — они не разглядят моего присутствия, — и я вновь задвигаюсь свободно, сбросив оковы. ||||
pgth6|Но берегитесь; в нем заключен мой аспект, а значит — часть меня самого. Если он попадет к ним в руки... они смогут обратить его мне во вред. Поймать меня в ловушку...||||
pgth7|Теперь ступайте с моим благословением.||||
pgth8|Исполнили ли вы порученное вам, смертный? Молю, исполните его скорее.||||
pgth10|Благодарю, смертный. Мой аспект укоренился; щупальца мои тянутся к умам всех, кто рядом.||||
pgth11|Хоть я и возвышаюсь здесь, лишь вернейшие из моих слуг узрят истину. От всех прочих мое присутствие сокрыто.||||
pgth12|Прошу, примите этот скромный дар в знак признательности за вашу службу.||||
pgth13|Теперь, когда ко мне вернулся проблеск былой мощи, земля сможет начать исцеляться.||||
pgth14|Урожаи взойдут. Недужные исцелятся. И со временем ваши смертные тела претерпят дивное преображение. ||||
inq20|Пигут повержен. Мы отправили в логово этого ублюдка тактическую ударную группу и пронзили его камнем Пустоты.||||
inq21|Теперь, когда молитвы их остались без ответа, культисты разбредутся. Знатно они тут наследили, но Союз всегда берет верх.||||
inq22|Похоже, нам удалось распугать всех этих ублюдков-культистов. Об их вылазках давно ни слуху ни духу.||||
inq23|А ведь странное дело... время от времени наши приборы ловят огромный всплеск энергии класса Б. Будто мы что-то упускаем... ##Ах, да что я несу? Небось просто аппаратура барахлит.||||
inq30|Уходите, гражданин. Это культистский объект класса Б, и доступ сюда — только Инквизиции Эшелона XII.||||
inq31|Здесь мы уничтожили божественную сущность класса Б. Ее останки отправили в Лундель для посмертного анализа.||||
wik1|А, вы, должно быть, новый посыльный. Вы опоздали.||||
p21|Эээ... извините?||||
wik2|Лучше поздно, чем никогда. Итак, как дела в Хэллоушире? Инквизиция все еще держит поблизости свой эшелон?||||
p22|Да, Инквизиция не сидела без дела.||||
wik3|Черт. Мы делаем все, чтобы скрыть остатки культа Пигута, но при таком раскладе они нас вынюхают. Через месяц мы все можем закачаться на виселице.||||
wik4|Прошу, поклонитесь Плодородному, пока вы здесь.||||
wik5|С его плодами мы могли бы покончить с голодом хоть завтра, да только нам ни за что их не раздать, пока тут хозяйничает Союз Вероотступников. Если в скором времени ничего не изменится — победа за ними.||||
p23|У меня нет на это времени.||||
castleGuard1|Предан... собственным подчиненным... ##Неужели я последний, кто верен Герцогу?||||
castleGuard2|Прошу... найдите Виккана, запертого в крепости. Лишь он один может положить этому конец.||||
starverA|<<Житель деревни наклоняется вперед, голос слабый.>>##Пожалуйста... Еды, пожалуйста...||||
starverB1|<<Рот жителя измазан блестящими соками, подбородок — в крошках сочно-ярких фруктов.>>##Смотрите! Попробуйте! Тут хватит, хватит на всех.||||
starverB2|<<Он откусывает еще кусок.>>##Мммф. Более чем достаточно! Так много! Так вкусно... Так сытно...||||
inqHunterA1|Рад встрече, товарищ. Слыхали о беде с [[Пигутом]]?##Да, мы уже в пути, только переоснастимся.||||
inqHunterA2|Они шлют новейшие боевые машины. Для этой богопоклоннической мрази — только самое лучшее, верно?##Что ж, доброй вам охоты.||||
inqHunterB1|Поневоле задумаешься, а?.. Если они так отчаянно спасают своих так называемых богов, отчего же один из них так легко выдал, где прячется этот?||||
inqHunterB2|Хотя вы, поди, видали нутро инквизиторских застенков, как и я...##Так что гадать вам, может, и не придется.||||
inqHunterC1|Настоящий бог! Прямо как [[война]] заново. ##Хотя... не совсем, это ж было бы скверно, да?..||||
inqHunterC2|И все же это будоражит, знаете ли?||||
