sc||||No subcat = can't equip||||||||||Rarity Multiplier - see other tab sheet for calculations
0: Item ID|1: ItemCategory|2: subCategory (none = can't equip)|3: SpriteIDs (Comma Seperated)|4: Stat/Mana Values (Comma Seperated)|5: isStackable|6: buyValues (0 = not sellable)|7: Cast Time|8: can't sell (not working?)|9: alchemyIngredient|10: hasRarity|11: ShopCategory|12: Skill Modifier|13: Mod Amt|14: Rarity Multiplier
map|Useable|Useable|mapBook|||||Yes|||None||10|2
mapChart|Key|None|mapChart||Yes|||Yes|||None||10|2
mapChartSpecial|Key|None|mapChart||Yes|||Yes|||None||10|2
mapLandmark|Key|None|mapLandmark||Yes|||Yes|||None||10|2
academyLetter|Key|None|letter||Yes|||Yes|||None||10|2
collectibleHallow|Key|None|godlet||Yes|||Yes|||None||10|2
collectibleEndless|Key|None|collectibleEndless||Yes|||Yes|||None||10|2
collectibleClockwork|Key|None|collectibleClockwork||Yes|||Yes|||None||10|2
keyBone|Key|None|keyBone|||50||Yes|||None||10|2
bottledVisions|Key|None|hookah|||||Yes|||None||10|2
deedManor|Key|None|deedHouse|||||Yes|||None||10|2
deedSepulchre|Key|None|deedSepulchre|||80||Yes|||None||10|2
deedFerropolis|Key|None|deedFerropolis|||80||Yes|||None||10|2
manorKey|Key|None|keyIron|||||Yes|||None||10|2
manorStatueArm1|Key|None|manorStatueArm1|||||Yes|||None||10|2
manorStatueArm2|Key|None|manorStatueArm2|||||Yes|||None||10|2
manorStatueHead|Key|None|manorStatueHead|||||Yes|||None||10|2
manorSpellbook|Key|None|book|||||Yes|||None||10|2
manorSpellbookKey|Key|None|keyRusty|||||Yes|||None||10|2
furnishUnion|Key|None|letter|||70||Yes|||None||10|2
furnishEndless|Key|None|letter|||60||Yes|||None||10|2
furnishClockwork|Key|None|letter|||60||Yes|||None||10|2
furnishOutlaw|Key|None|letter|||50||Yes|||None||10|2
throwableKnife|Useable|Useable|thKnife,thKnife2|    |Yes|2,4|||Yes|Yes|Combat||10|2
throwableStar|Useable|Useable|thStar,thStar2|30,40|Yes|3,6|||Yes|Yes|Combat||10|2
rustburgKey|Key|None|keyEmberian1|||||Yes|||None||10|2
endlessMinesKey|Key|None|keyGlass|||||Yes|||None||10|2
terminusPrism|Key|None|terminusPrism|||||Yes|||None||10|2
cadaverKey|Key|None|keyCadaver|||||Yes|||None||10|2
missingFinger|Key|None|missingFinger|||||Yes|||None||10|2
duchessDaughter|Key|None|duchessDaughter|||||Yes|||None||10|2
spectralFinger|Key|None|spectralFinger|||||Yes|||None||10|2
triangleKey|Key|None|keyIron|||||Yes|||None||10|2
squareKey|Key|None|keyIron|||||Yes|||None||10|2
redKey|Key|None|keyIron|||||Yes|||None||10|2
factoryKey|Key|None|keyIron|||||Yes|||None||10|2
musicBoxCylinder|Key|None|cwkMusicCylinder|||||Yes|||None||10|2
cwkGraveyardKey|Key|None|cwkKey|||||Yes|||None||10|2
travelPermit|Key|None|cwkTravelPermit|||||Yes|||None||10|2
mikhailPassport|Key|None|cwkMishaPass|||||Yes|||None||10|2
visionsYoussef|Key|None|cwkVisionBottleWrapped|||||Yes|||None||10|2
visionsFrost|Useable|Useable|hookah||Yes|||Yes|||None||10|2
visionsA|Useable|Useable|cwkVisionBottleSwirl||Yes||||||Drink|||
visionsB|Useable|Useable|cwkVisionBottleSwirl||Yes||||||Drink|||
visionsC|Useable|Useable|cwkVisionBottleSwirl||Yes||||||Drink|||
visionsD|Useable|Useable|cwkVisionBottleSharp||Yes||||||Drink|||
visionsE|Useable|Useable|cwkVisionBottleSharp||Yes||||||Drink|||
visionsF|Useable|Useable|cwkVisionBottleSharp||Yes||||||Drink|||
loreBoost|Key|None|loreBoost|||||Yes|||None||10|2
charmBoost|Key|None|charmBoost|||||Yes|||None||10|2
barterBoost|Key|None|barterBoost|||||Yes|||None||10|2
agilityBoost|Key|None|agilityBoost|||||Yes|||None||10|2
spellcastBoost|Key|None|spellcastBoost|||||Yes|||None||10|2
crystalBoost|Key|None|crystalBoost|||||Yes|||None||10|2
bedBoost|Key|None|bedBoost|||||Yes|||None||10|2
ringBloodSyphon|Accessory|Ring|ringBloodSyphon||||||||Accessory||10|2
ringMindSyphon|Accessory|Ring|ringMindSyphon||||||||Accessory||10|2
paeguthParasite|Accessory|Accessory|paeguthParasite||||||||Accessory||10|2
unionCharm|Accessory|Accessory|unionCharm||||||||Accessory||10|2
summonSpider|Useable|Useable|summonSpider|||40|||||None||10|2
aphraNote|Key|None|letter|||||Yes|||None||10|2
aphraHouseKey|Key|None|cwkPunchcardS|||||Yes|||None||10|2
aphraPunchcard|Key|None|cwkPunchcardL|||||Yes|||None||10|2
saboteurPunchcard|Key|None|cwkPunchcardRustL|||||Yes|||None||10|2
morozovParcel|Key|None|box|||||Yes|||None||10|2
cranialModerator|Key|None|cwkCranialModerator|||||Yes|||None||10|2
machinistInsignia|Key|None|cwkInsignia|||||Yes|||None||10|2
aphraMusic|Key|None|cwkPunchcardS|||||Yes|||None||10|2
aphraTranscript|Key|None|cwkNote|||||Yes|||None||10|2
olegCandle|Key|None|cwkCandle|||||Yes|||None||10|2
smugglerKey|Key|None|cwkPunchcardRustS|||||Yes|||None||10|2
olegLocket|Key|None|cwkLocket|||||Yes|||None||10|2
pickledHead|Key|None|cwkPickledHead|||||Yes|||None||10|2
prippContract|Key|None|deedFerropolis|||||Yes|||None||10|2
VelaChambersKey|Key|None|keyIron|||||Yes|||None||10|2
cwkGodKeyA|Key|None|keyIron|||||Yes|||None||10|2
cwkGodKeyB|Key|None|keyIron|||||Yes|||None||10|2
pwyllSacredKey|Key|None|paeguthKey|||||Yes|||None||10|2
pwyllLedgerItem|Key|None|book|||||Yes|||None||10|2
pwyllSmugglerKey|Key|None|keyIron|||||Yes|||None||10|2
desertKey|Key|None|keyIron|||||Yes|||None||10|2
godWarKey|Key|None|keyIron|||||Yes|||None||10|2
rasSphere|Key|None|rasSphere|||||Yes|||None||10|2
creatrDungeonKeyA|Key|None|keyIron|||||Yes|||None||10|2
creatrDungeonKeyB|Key|None|keyRusty|||||Yes|||None||10|2
decrepitSails|Airship|Sails|decrepitSails|||50||Yes|||None||10|2
decrepitHull|Airship|Hull|decrepitHull|||70||Yes|||None||10|2
decrepitCabin|Airship|Cabin|decrepitCabin|||90||Yes|||None||10|2
endlessSails|Airship|Sails|endlessSails|||100||Yes|||None||10|2
endlessHull|Airship|Hull|endlessHull|||130||Yes|||None||10|2
endlessCabin|Airship|Cabin|endlessCabin|||160||Yes|||None||10|2
deedAirship|Key|None|deedHouse|||320||Yes|||None||10|2
writAirship|Key|None|letter|||||Yes|||None||10|2
throwableBomb|Useable|Useable|throwableBomb1,throwableBomb2,throwableBomb3|20,40,50|Yes|15,25,35|||Yes|Yes|Combat||10|2
clothesWizard|Equipment|Body|clothesWisdom1|20||40|||||Clothing|Casting|40|2
hatWizard|Equipment|Head|hatWizard1,hatWizard2,hatWizard3|10||30||||Yes|Clothing|Casting|10|2
manaSyphon|Accessory|Accessory|vampiricAmulet|||50|||||Accessory||10|2
accessoryWizardLeft|Accessory|Accessory|magicManacles||||||||Accessory||10|2
accessoryWizardRight|Accessory|Accessory|eldritchFocus||||||||Accessory||10|2
godWarPendant|Key|None|eldritchFocus|||||Yes|||None||10|2
spellUltima|Spell|Spell|spellUltima|74||150|1|Yes|||Spells||10|2
spellAirship|Spell|Spell|spellAirship|0||0|1|Yes|||Spells||10|2
spellCharm|Spell|Spell|spellCharm|15||40|2|Yes|||Spells||10|2
clothesEntice|Equipment|Body|clothesEntice1,clothesEntice2,clothesEntice3|||20,30,40||||Yes|Clothing||10|2
ringEntice|Accessory|Accessory|goblinMask|||60|||||Accessory||10|2
hypnoticBrooch|Accessory|Accessory|hypnoticBrooch|||80|||||Accessory||10|2
enticeAmp|Accessory|Accessory|enticeAmp|||120|||||Accessory||10|2
godletDagger|Key|None|godletDagger||||||||None||10|2
stealthCloak|Accessory|Accessory|nightCloak|||40|||||Accessory||10|2
vaultKey|Key|None|keyEmberian3||||||||None||10|2
temporalPickaxe|Key|None|temporalPickaxe|||500|||||None||10|2
bugSails|Airship|Sails|bugSails|||50||Yes|||None||10|2
bugHull|Airship|Hull|bugHull|||70||Yes|||None||10|2
bugCabin|Airship|Cabin|bugCabin|||90||Yes|||None||10|2
cwkSails|Airship|Sails|cwkSails|||100||Yes|||None||10|2
cwkHull|Airship|Hull|cwkHull|||130||Yes|||None||10|2
cwkCabin|Airship|Cabin|cwkCabin|||160||Yes|||None||10|2
superCabin|Airship|Cabin|superCabin|||160||Yes|||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
|||||||||||None||10|2
