Dialogues:|Clockwork||||
lludd67|<<Вы разрезаете мембрану, и поток зловонной кислоты выливается наружу. Ллудд выскальзывает из грязи, кашляя и хрипя.>>||||
lludd68|Спасибо, новичок. Дай мне прийти в себя и... я сам вернусь в город. ||||
lludd69|<<Когда вы поворачиваетесь, чтобы уйти, сильный толчок сотрясает весь гриб, его органы корчатся в агонии. Вы понимаете, что, разрезав его внутренности, вы, возможно, только что [[убили]] эту древнюю вещь.>>||||
p50|Хватит этого. <Освободи его.>||||
p51|Ты ((действительно)) хочешь это сделать?||||
lludd70|<<Вы разрезаете мембрану, и поток зловонной кислоты выливается наружу. Ллудд выскальзывает из грязи, кашляя и хрипя.>>||||
lludd71|У тебя не было п-п-права! ##<<Он дрожит.>> Первое, что я сделал по-настоящему ((сам)), — и ты всё испортил. У тебя не было ((права))...||||
p52|Люди заботятся о тебе, малыш. Ты не можешь просто выбросить свою жизнь. ||||
lludd72|Я думал... мать будет ((гордиться))...  ##<<Мальчик дрожит и больше ничего не говорит.>>||||
p53|Со временем ты поблагодаришь меня.||||
p54|Мне просто нравится рушить чужие планы. ||||
lludd73|<<Мальчик дрожит и молчит.>>||||
p55|Ты ((действительно)) хочешь это сделать? Зная, что умрешь? ||||
lludd74|Я никогда не был так уверен в ((чем-либо)) в своей жизни. Я хочу спасти деревню - я хочу, чтобы Пвилл продолжал жить, даже если мне придется умереть. ||||
p56|Что ж, я уважаю твое решение. ||||
lludd75|Спасибо. Я рад, что хотя бы кто-то воспринял меня всерьез, в к-к-конце концов. Могу я попросить тебя об одном последнем одолжении?||||
p57|Конечно. ||||
lludd76|<<Рука высовывается из мембраны, покрытая слизью.>> Ты... подержишь меня за руку? ##<<Вы киваете и берете его руку в свою. Жжение кислоты кусает, и вы чувствуете, как он дрожит.>>||||
lludd77|<<Вы остаетесь так на несколько мгновений, в тишине, пока его рука не обмякает. Вы понимаете, что Ллудд мертв.>>||||
p58|Нет.||||
lludd78|Это нормально. Тогда ты хотя бы... подождешь здесь, со мной?||||
lludd79|<<Вы киваете и ждете в тишине несколько мгновений, пока не замечаете, что мальчик замер. Да, это невозможно отрицать; Ллудд мертв.>>||||
lludd79b|<<Это невозможно отрицать; Ллудд мертв.>>||||
p59|Все равно я не могу позволить тебе это сделать. ||||
lludd80|О, это ты. ##Я хотел поблагодарить тебя за то, что ты сделал в Священном Грибе. Ты спас мне жизнь. ||||
lludd81|Я не знаю, что будет с Пвиллом. Мне грустно думать, что его может не быть в будущем... но, может быть, мы найдем другое место, которое сможем назвать домом. ||||
lludd82|О, это ты. ##Я все еще не могу простить тебя за то, что ты прервал пищеварение. Но, видя, как моя мать была рада, что я вернулся... думаю, я не был таким уж никчемным, как я думал. ||||
lludd83|Я не знаю, что будет с Пвиллом. Мне грустно думать, что его может не быть в будущем... но, может быть, мы найдем другое место, которое сможем назвать домом. ||||
cul1|<<Взгляд мужчины следует за вами с подозрением. Его седеющие волосы и изможденная кожа говорят о том, что он старше большинства в деревне, а на лице виден бледный шрам.>>||||
cul2|Ты новенький в городе, я так понимаю? Ну, я местный весовщик - меня зовут Кулвич. И я хочу, чтобы ты знал; прежде чем заниматься каким-либо делом здесь, в Пвилле, я взвешу тебя.||||
cul3|Так что, без лишних слов, пожалуйста, встань на весы. <<Он жестом указывает на огромное устройство за собой.>> Благодарю ((покорно)).||||
p100|Подожди, зачем тебе ((взвешивать)) меня?||||
cul4|<<Он сужает глаза.>> По указу Союза Вероотступников, все, кто желает торговать на его территории, должны доказать, что они ((обычные)) люди; то есть не измененные шифрованной магией или поклонением богам, и не несущие вины за нераскрытые преступления. ||||
p101|И ты можешь это определить просто по моему ((весу))?||||
cul5|Просто встань на чертовы весы, ладно? ||||
p102|Ладно, пожалуй.||||
cul6|<<Он кивает.>> Давай, тогда.||||
p103|Я ни за что не встану на эту штуку.||||
cul7|Ну, ты можешь отказаться; но эта деревня не будет иметь с тобой ничего общего, пока ты не встанешь на эти чертовы весы.||||
cul8|Как я уже сказал, пожалуйста, встань на весы. <<Он жестом указывает на огромное устройство за собой.>> ||||
cul9|<<Он изучает циферблаты и символы на машине и делает различные заметки на пергаменте.>> ##Интересно. ((Очень)) интересно.||||
p104|Эээ... я прошел?||||
p105|((Ничего не говори.))||||
cul10|Главный глиф говорит, что ты... ((преступник)). <<Он бросает на тебя строгий взгляд.>> Младшие глифы сложнее расшифровать. Посмотрим... ||||
cul11|Они говорят, что ты ((убил человека)). Множество свидетелей. И, что это - ((военная травма)). ## <<Он вздыхает.>> Жаль это говорить, но я повидал немало солдат, что повредились рассудком.||||
cul12|Здесь написано, что ты ((дезертир)). Не сказано, откуда - эти глифы могут быть довольно расплывчаты. Хотя за бегство с поля боя винить я никого не стану. ||||
cul13|Хм, думаю, это... ((фатальная ошибка заклинания)). А, так ты баловался шифрованной магией, да? Опасное искусство, это точно. <<Он делает паузу.>> Просто убедись, что любые книги заклинаний ((закрыты)) здесь, ладно? Я не хочу, чтобы ты взорвал свои пальцы в моем присутствии. ||||
cul14|Хм, незаконный торговец. Товары, кажется... давай посмотрим... ((военные)) по природе. Так ты был торговцем оружия, да? ||||
cul15|Здесь написано, что ты был мелким преступником. Другие глифы говорят... хм, давай посмотрим... тебя нашли всего избитым. Полагаю, тебя предали свои же, да? Заслужил. ||||
cul16|Они говорят, что ты был мелким преступником. Другие глифы говорят, что за тобой следили годами. Ты знал об этом, интересно? Ты жил, оглядываясь через плечо? ||||
cul17|Преступления... ((магической)) природы. Здесь написано, что ты проник на корабль Инквизиции через... ((портал))? Ты либо самый умный, либо самый глупый маг, о котором я когда-либо слышал. ||||
cul18|Хм, здесь много обвинительных глифов. Похоже, ты был каким-то главарем преступной группировки. Неудивительно, что тебя поймали.||||
cul19|Хм, что это? ((Разграбление))... ((гробниц))? А, так ты занимаешься разграблением древних реликвий, да? Очень опасно - и, к тому же, незаконно. ||||
cul20|((Запрещенный шифр)), да? А, так ты наткнулся на одно из тех ((запрещенных)) слов? Странное преступление, но у него есть веская причина. Ты ведь не хочешь взорвать город, просто неправильно произнеся одно из них. ||||
cul21|Здесь написано, что ты вызвал ((шифрованный разлом)). Я не могу представить, с каким грязным шифрованием ты баловался, но я чертовски рад, что ты не разорвал Небесные Земли своей дурью. ||||
cul22|Торговец ((незаконными товарами)). Давай посмотрим, ты торговал... ((книгами))? Хм, может показаться безобидным, но некоторые старые пыльные тома опаснее бортового залпа пушек. ||||
cul23|Хм - ((коррупция)). И этот глиф говорит... политика? А, так ты, вероятно, подтасовал выборы, да? Слыхал, дела это бывают жестокие да кровавые, так что понятно, почему кое-кто готов взять вину на себя за хорошую цену. ||||
cul24|Здесь написано, что ты ((знатного)) рода. И, это странный глиф - я думаю, он означает ((позор))? А, так ты, вероятно, беглец из одной из тех коррумпированных знатных семей. ||||
cul25|Ну, это странная серия глифов. Множественные... раздевания... через шифр? <<Он думает мгновение, затем разражается громким смехом.>> ##О, я слышал о тебе. Ты тот идиот, который раздел весь город, да? ||||
cul26|Они говорят, что ты был торговцем - и богатым, к тому же. Но этот глиф означает... ((запрещенные реликвии))? А, так ты занимался ((оккультизмом)). Неудивительно, что тебя поймали. ||||
cul27|А, но есть еще один глиф. Инквизиция... ((агент))? ##<<Он поднимает взгляд от пергамента, его лицо выражает недоумение.>>||||
cul28|Прошу прощения - сначала я подумал, что ты мог быть одним из тех наемников Темных Звезд, бегущих от рейда Инквизиции. Но ты, должно быть, ((сражался)) с этими негодяями, да?||||
p106|Да, эти преступления были просто... эээ... ((прикрытием)).||||
cul29|<<Он быстро отдает салют Союза.>> Прости, друг. Этот ((скромный)) весовщик не хотел задерживать дела Инквизиции своей бюрократией. ##Я одобрил твой визит в Пвилл; тебе не будет никаких проблем. ||||
p107|Да, я Исповедник, искупающий свои преступления.||||
p108|Это не по моей воле, уверяю тебя. ||||
cul30|Ну, мне не стоит задерживать дела Инквизиции. ##Я одобрил твой визит в Пвилл; тебе не будет никаких проблем. ||||
cul31|<<Он задумывается.>> Но, эээ, скажи - учитывая твою ((профессию)) - не мог бы ты помочь этому ((скромному)) слуге Союза Вероотступников? Ты получишь [[Паспорт Союза Вероотступников]] за это...||||
cul32|Видишь ли, рейд Инквизиции - не ((единственная)) причина, по которой мы так активно взвешиваем людей в последнее время. Есть также опасения, что среди горожан распространяется кровавое ((поклонение богам)). После всего, через что мы прошли! <<Он выглядит явно раздраженным.>>||||
cul33|А, снова здравствуйте. Что может сделать старый Кулвич для вас? ||||
p109|Я ищу некоторых наемников Темных Звезд, и мне нужно исследовать Острова Грёз. ||||
cul34|<<Кулвич постукивает по носу.>> А, ((Инквизиция)), да? Не волнуйся, старый Кулвич умеет хранить секреты. ||||
cul35|Ну, ты мог бы попробовать спросить [[Нудда]], который работает охранником в [[Компании Скригрибов]]. Должен сказать, он колючий парень, и мы никогда не ладили, но я знаю, что он раньше работал на Темные Звезды.||||
cul36|Но, честно говоря, я сомневаюсь, что ты найдешь что-то полезное в старом Пвилле. Тебе нужно будет добраться до [[Хэллоу Тауна]] в [[Хэллоушире]], на юг. Там есть здание Совета Союза и оживленный док, где швартуются всевозможные воздушные корабли. ||||
cul37|Но чтобы пройти через [[Мост Союза]], тебе понадобится [[Паспорт Союза Вероотступников]]. Каждый из них позволит тебе пройти через один мост. ||||
cul38|Как сертифицированный весовщик, у меня есть один, который я не использую - но, Инквизитор или нет, тебе придется [[заслужить мое доверие]], если я просто так его отдам. ||||
p110|Что ты можешь рассказать об этом городе? ||||
cul39|Ну, Пвилл - это скромная деревня в наши дни. Мы выращиваем и продаем [[скригрибы]] с самых ранних дней Небесных Земель, и отправляем их повсюду. ||||
cul40|Дела могут быть не такими хорошими, как после [[Войны Богов]] - ((прикончишь своего бога — оно и понятно)) - но нам лучше быть частью Союза Вероотступников. Я бы предпочел налоги Союза любому Викканскому кровному контракту. ||||
p111|Подожди - вы убили своего собственного бога? ||||
cul41|Ага, сорок лет назад. До этого Пвилл был процветающим - и ((несчастным)). Мы были связаны кровным контрактом с нашим тираном-богом Аэнгуином, и условия были ((ужасными)).||||
cul42|О, наш урожай был обильным, но цена крови была высокой. Каждый год десятки жителей деревни исчезали в [[священных грибах]], чтобы умилостивить этого божественного ((ублюдка)), и их больше никогда не видели. ||||
cul43|Так что, когда Вероотступники пришли - предложили нам отречься от нашей веры и присоединиться к борьбе против Викканов? Мы с радостью взялись за оружие. Я сражался в дивизии Пвилла, и у меня есть шрамы, чтобы доказать это. ||||
p112|Что случилось потом?||||
p113|Ладно, я понял. ||||
cul44|Еще что-нибудь? ||||
cul45|Мы экипировали кардованский лансер и пронзили нашего собственного бога копьем пустоты. За всё горе, что он принёс моим землякам, сопротивлялся этот ублюдок на удивление вяло. ||||
cul46|Но война все еще бушевала, так что Вероотступники построили огромную [[крепость]] на холме, чтобы отражать контратаки Викканов. Конечно, когда пыль улеглась и война закончилась, новый [[Союз Вероотступников]] позволил ей прийти в упадок...||||
cul47|...пока та наемница ((Вела Каллос)) не захватила ее, конечно. В последние годы Пвилл приобрел репутацию центра контрабанды и грязных дел, благодаря этим проклятым [[Темным Звездам]]. Ты бы подумал, что Союз сделал бы что-то с этим раньше, но чем больше шестеренки, тем медленнее они вращаются, я полагаю.||||
cul48|...пока та наемница ((Вела Каллос)) не захватила ее, конечно. В последние годы Пвилл приобрел репутацию центра контрабанды и грязных дел, благодаря этим проклятым [[Темным Звездам]].||||
cul49|Ты бы подумал, что Союз сделал бы что-то с этим раньше, но чем больше шестеренки, тем медленнее они вращаются, я полагаю.||||
p114|Что такое Викканский контракт?||||
cul50|Хм, неужто в Союзе стало так привольно, что народ ((забыл свою историю?)) Будь я проклят. ||||
cul51|Сколько люди помнят, Викканы выступали посредниками между богами и их поклонниками. ##<<Он поглаживает подбородок.>> Вроде как ((адвокаты)) ((божественного)), я полагаю.||||
cul52|Предполагалось, что они действовали в интересах как смертных, ((так)) и богов - связывая их магическим контрактом, чтобы никто не остался в дураках. Кроме, здесь, в Пвилле, наши Викканы ((надули)) нас; условия были полностью в пользу Аэнгуина.||||
cul53|Мы не могли быть единственными, потому что сорок лет назад Вероотступники начали Войну Богов, и мы не были ((единственными)), кто убил своего бога, поверь мне. ||||
p115|Ты доволен тем, что являешься частью Союза Вероотступников? ||||
cul54|Больше, чем многие. Я встречал путешественников, которые сожалеют о гибели богов - которые утверждают, что Союз заменил божественное величие на политику и бумажную волокиту.||||
cul55|Но здесь, в Пвилле? Любой, кто достаточно стар, помнит ((плохие времена.)). Мы все потеряли друзей и семью - проклятая почва была удобрена их кровью. ||||
cul56|Конечно, долгое время быть в Союзе не значило многого. Здесь, на [[Островах Грёз]], мы на окраине, понимаешь - и десятилетиями эти острова кишили преступниками, беглецами и Викканскими беженцами. ||||
cul57|Только в последнее время Союз усилил свое присутствие и построил палату Совета в [[Хэллоушире]]. С тех пор торговля в Пвилле процветает - оказывается, многие хотят покупать наши грибы. Теперь, если бы только наши урожаи могли успевать за спросом... ||||
p116|Что это за скригриб, который вы выращиваете?||||
cul58|Ну, это гриб, который позволяет тебе видеть будущее, понимаешь? Показывает тебе видения того, что ((может)) произойти. ||||
cul59|Только, он не всегда прав. Конечно, время от времени кто-то видит видение чего-то, что абсолютно, необратимо сбывается, и все восхваляют скромный скригриб. Но большую часть времени ты просто видишь плохой сон. ||||
cul60|<<Он пожимает плечами.>> Все равно, люди по всему миру Небесных Земель хотят его купить, так что я не жалуюсь - это кормит меня, в конце концов. ||||
p117|Это все, что я хотел спросить.||||
cul61|Как скажешь. Было ли что-то еще?||||
p118|Как ты можешь столько узнать по этим весам? ||||
cul62|Это [[моральные весы]]. Ты видишь, что виден только один; это потому, что он магически связан в точке опоры, через связь шифра, с весами, содержащими ((Моральный Стандарт)).||||
p119|Что такое Моральный Стандарт - какой-то вес? ||||
cul63|<<Он усмехается.>> О, нет - это было бы абсурдно! Как ты можешь столько узнать о человеке, взвешивая его против ((мертвого веса))? Нет, нет - не будь глупым!||||
cul64|Моральный Стандарт - это ((человек)). Тщательно отобранный человек, обладающий качествами, считающимися воплощением морали Союза Вероотступников. Взвешивая тебя против такой совершенной целостности, мы можем определить, насколько ((недостает)) твоему характеру. ||||
cul65|Думаю, текущий Моральный Стандарт находится далеко в Университете Бьонна. Им нужно отдыхать и спать между взвешиваниями, конечно - вот почему весовые дома открыты только в определенное время.||||
p120|Зачем такому маленькому городу взвешивать людей? ||||
cul66|Ну, учитывая, что мы находимся на ((окраине)) территории Союза Вероотступников, есть определенные нежелательные личности, которые в прошлом пользовались Пвиллом. Наемники, вроде тех Темных Звезд в форте вон там, которые использовали нас для контрабанды незаконных товаров в [[Хэллоушир]] и дальше. ||||
cul67|Так что наличие сертифицированного весовщика помогает Пвиллу привлекать респектабельных торговцев, чтобы покупать наш [[чай из скригрибов]]. Показывает, что нам можно доверять в уплате налогов, понимаешь?||||
cul68|И, мы не ((просто)) взвешиваем людей. Можем также взвешивать грибы и зерно. Или, ну, что угодно, на самом деле. ||||
p121|Хватит о взвешивании.||||
cul69|Было ли что-то еще?||||
p122|Тогда я пойду. ||||
cul70|Ага, до следующего раза. ||||
p123|Так тебе нужна помощь в поиске поклонников богов?||||
cul71|<<Он наклоняется вперед и говорит тихо.>> ((Ага.)) Люди в последнее время напуганы, понимаешь. Почва умирает, и урожаи падают. Торговцы хотят покупать наши скригрибы больше, чем когда-либо, но мы не можем удовлетворить спрос. Так что кое-кто потянулся к... ((старым)) путям. ||||
p124|Что делает ((старые)) пути такими плохими? ||||
cul72|<<Он вздыхает.>> Прошло сорок лет с Войны Богов. Сорок лет с тех пор, как Вероотступники сказали Викканам и их богам идти ((к черту)). ##Сорок лет с тех пор, как я и ребята пронзили нашего ((собственного бога)) копьем пустоты - этого жестокого, насильственного, ((ублюдка)) бога: Аэнгуина.||||
cul73|И за эти сорок лет люди ((забыли)), как ((плохо)) было под этим божественным тираном и его Викканскими приспешниками. Конечно, у нас были обильные урожаи, и наши кошельки были полны. Но наши сыновья и дочери были отняты у нас, и почва была удобрена их ((кровью)).||||
cul74|Теперь, наш старый бог Аэнгуин ((мертв)) достаточно долго. Но говорят, что пока люди все еще ((верят)), какая-то часть бога может жить. Так что были ((слухи)) о том, что некоторые люди пытаются... вернуть его ((к жизни)), и это пугает остальных из нас до чертиков. ||||
p125|Слушай, просто скажи, что тебе нужно. ||||
cul75|Ладно, я скажу прямо. Как ты знаешь, поклонение богам и общение с Викканами или их богами - это ужасное преступление - но у меня есть основания полагать, что некоторые среди нас обращаются к этому, чтобы попытаться исправить наши плохие урожаи. ||||
cul76|Проблема с таким маленьким городком, как этот? Мы все знаем друг друга, и виновные не будут говорить со ((мной)). Но ((ты))? Ты чужак, и к тому же агент ((Инквизиции)). ||||
cul77|Мне нужно, чтобы ты [[спросил вокруг]], и попытался найти любых [[симпатизантов Викканов]] - чтобы мы могли разобраться с этим ((тихо)), прежде чем горожане начнут рубить друг другу головы в безумии. ##Найди что-нибудь, и я выдаю тебе [[Паспорт Союза]], который позволит тебе пройти в Хэллоушир. ||||
p126|Ладно, посмотрим, что я могу сделать.||||
cul78|<<Он вздыхает с облегчением.>> Ты заслужил мою ((благодарность)), новичок. Просто... как только ты найдешь что-то подозрительное, дай мне знать, понял? ||||
p127|Я понимаю всю эту ((божественную)) штуку, но что именно ((такое)) Виккан?||||
p128|Я подумаю об этом. ||||
cul79|<<Он вздыхает.>> Слушай... если ты услышишь что-то подозрительное, просто дай мне знать, понял? ||||
