J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: родитель|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: монета|13: глиммер|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
80|mainQuest||||||BlindingLightActivated|NeedToActivateBL||||||||||||Вы активировали Ослепляющий Свет, который, как оказалось, является полностью функционирующим воздушным кораблем. ##Вернитесь к Верховному Исповеднику, чтобы спланировать следующий шаг. ||||
90|mainQuest||||||CanUseCutter|||||||||||||Верховный Исповедник поручил вам отправиться в [[Подземелья]] в погоне за Велой Каллос. ##Когда будете готовы, используйте [[панель управления]] небольшого катера, хранящегося во внутреннем доке Ослепляющего Света, чтобы начать экспедицию. ||||
100|mainQuest|||||||||||||||||||Верховный Исповедник поручил вам отправиться в [[Подземелья]] в погоне за Велой Каллос, но катер разбился при посадке. ##Вам нужно будет пройти через Подземелья и арестовать Велу. ||||
110|mainQuest||||||StabbedByVela,SpokenToHighC_AfterVela|||||||||||||Вы столкнулись с Велой Каллос в Подземельях, но она пронзила вас своим клинком - в результате чего ваш бог-хранитель вытащил вас из состояния, близкого к смерти. ##Вам следует доложить Верховному Исповеднику в Ослепляющем Свете.||||
120|mainQuest|||||||||||||||||||Вела Каллос захватила Колыбель - древний Эмберианский корабль, который скрывает могущественную сущность. ##Ни один корабль не может пробить его защитный барьер, поэтому вам нужно будет получить [[воздушный корабль]] и исследовать [[далекие острова]] в поисках способа улучшить катер. ||||
130|mainQuest||||||HC_BriefedForFinalMission|HC_ReadyForFinalMission||||||||||||Вела Каллос захватила Колыбель - древний Эмберианский корабль, который скрывает могущественную сущность. ##Вы улучшили катер с помощью Сферы Расмуссена, что позволит вам начать штурм. Поговорите с вашими товарищами из Темных Звезд и, когда будете готовы, активируйте [[панель управления]] катера. ||||
140|mainQuest|||||||||||||||||||Вы начали штурм Колыбели с вашими товарищами из Темных Звезд. ##Проберитесь мимо наемников Темных Звезд и столкнитесь с Велой Каллос в последний раз.||||
150|mainQuest|||Yes||||||||||||||||Вы прошли долгий путь, но наконец остановили Велу Каллос - самую могущественную преступницу в Небесных Землях - и столкнулись с Ангелом, которого она раскопала в Подземельях.||||
cradle|cradle|FactionInq|||||||||||||||||0|Штурм Колыбели||||
10|cradle||Yes|||||||||||||||||Вы начали штурм Колыбели. ##Добравшись до переднего дока на катере, вам нужно будет продолжить путь пешком. ||||
20|cradle||Yes|||||||||||||||||Вы начали штурм Колыбели и теперь должны найти способ проникнуть внутрь структуры. ##Главный вход неприступен, но Какстон Фрост планировал найти какой-то запасной вход; вам следует встретиться с ним.||||
30|cradle|||||||||||||||||||Вы начали штурм Колыбели и теперь должны найти способ проникнуть внутрь структуры. ##Какстон Фрост нашел путь через вентиляционную трубу, но турбину нужно отключить. Он сказал вам найти [[аварийный выключатель]] на нижних уровнях, ниже того места, где пришвартовался катер. ||||
40|cradle|||||||||||||||||||Используя аварийный выключатель, вы отключили [[турбину]] вентиляционной трубы, что должно предоставить доступ к основной структуре Колыбели. ##Вам следует подняться на лифте обратно на [[основной уровень]] и [[получить доступ к трубе.]]||||
45|cradle|||||||||||||||||||Используя аварийный выключатель, вы отключили [[турбину]] вентиляционной трубы, что должно предоставить доступ к основной структуре Колыбели. ##Однако вы обнаружили, что некоторые из ваших спутников не выжили.||||
50|cradle|||||||||||||||||||Вы получили доступ к основной структуре Колыбели. ##Вам нужно найти путь, чтобы столкнуться с Велой. ||||
60|cradle|||||||||||||||||||Вы получили доступ к основной структуре Колыбели. ##Голографическая сущность сообщила вам, что Ангел реплицировал себя - и этот меньший Ангельский Отпрыск блокирует ваш путь. Но если вы найдете четыре [[переключателя переопределения]], разбросанных по Колыбели, вы сможете отключить его без боя. ||||
70|cradle||||||AngelSpawnDefeated|||||||||||||Получив доступ к основной структуре Колыбели, вы смогли победить реплицированного отпрыска Ангела в бою. ##Теперь ничто не стоит между вами и Велой. ||||
75|cradle||||||AngelSpawnDefeated|||||||||||||Получив доступ к основной структуре Колыбели, вы смогли победить реплицированного отпрыска Ангела, переопределив систему реле питания. ##Теперь ничто не стоит между вами и Велой. ||||
78|cradle||Yes||||VelaHostile|||||||||||||В глубинах Колыбели вы нашли Велу - но она не сдастся без боя. ||||
80|cradle||||||VelaPersuaded|||||||||||||В глубинах Колыбели вы нашли Велу, и вам удалось убедить ее сдаться. ##Теперь все, что осталось, - это столкнуться с этим так называемым Ангелом. ||||
82|cradle||||||VelaBeaten|||||||||||||В глубинах Колыбели вы нашли Велу, и вам удалось победить ее в бою. ##Теперь все, что осталось, - это столкнуться с этим так называемым Ангелом. ||||
85|cradle|||||||||||||||||||В глубинах Колыбели - когда Вела больше не представляет угрозы - все, что осталось, - это столкнуться с этим так называемым Ангелом. ||||
90|cradle|||Yes||||||||||||||||Вы поговорили с Ангелом - сущностью, более могущественной, чем даже бог - и решили судьбу мира. ||||
underlands|underlands|FactionInq|||||||||||||||||4|Underlands||||
10|underlands||Yes|||||||||||||||||Вы прибыли в Подземелья, чтобы столкнуться с Велой Каллос. ##Ваш катер разбился, и воздух наполнен смертоносным миазмом. Вам нужно двигаться вперед.||||
20|underlands|||||||EmberianUnderFollow||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Есть станция автокареты, которая может предоставить быстрый доступ в город; вам следует исследовать ее.||||
30|underlands|||||||||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Есть станция автокареты, которая может предоставить быстрый доступ в город, но автокарете нужен какой-то [[ключ]]. Ваша единственная надежда - поискать в [[грибном лесу]] ниже.||||
35|underlands|||||||||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Есть станция автокареты, которая может предоставить быстрый доступ в город, и вы добыли [[ключ от автокареты]]. Вам следует встретиться с остальной частью вашей команды на станции. ||||
40|underlands|||||35||||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Есть станция автокареты, которая может предоставить быстрый доступ в город, и вы добыли [[ключ от автокареты]]. Вам следует использовать его с [[управлением автокареты]]. ||||
50|underlands|||||40||||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы активировали автокарету, которая должна доставить вас в разрушенный город впереди. ||||
60|underlands|||||||EmberianUnderFollow||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы прибыли в густые городские руины бывшего Эмберианского города. Вам нужно двигаться вперед и найти способ добраться до Велы. ||||
70|underlands|||||||EmberianUnderFollow||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы нашли большое амфитеатральное сооружение с автокаретой на вершине, но с этого уровня нет пути наверх. Возможно, вам придется спуститься вниз, чтобы найти путь наверх. ||||
80|underlands|||||||EmberianUnderFollow||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы спустились в давно заброшенный район трущоб; возможно, есть способ подняться на одну из близлежащих небоскребных структур?||||
90|underlands|||||||EmberianUnderFollow||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы поднялись на вершину некоторых исключительно высоких структур. Вам следует направиться к [[автокарете]] на вершине самого высокого здания. ||||
100|underlands|||||||||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы добрались до Колыбели, поистине огромной структуры. Вам следует войти внутрь и столкнуться с Велой Каллос. ||||
110|underlands|||||||||||||||||||Вы пробираетесь через Подземелья, чтобы столкнуться с Велой Каллос. ##Вы добрались до Колыбели, поистине огромной структуры. Вам следует войти внутрь и столкнуться с Велой Каллос. ||||
120|underlands|||Yes||||||||||||||||Вы столкнулись с Велой Каллос в Подземельях, прежде чем она пронзила вас своим мечом.||||
charMentor|charMentor|FactionDarkStar|||||||||||||||||6|Квартирмейстер||||
10|charMentor||Yes|||||||||||||||||Вам поручено встретиться с бывшим квартирмейстером Велы в таверне Шаткая Башка в Хэллоушире, за мостом Союза. ##У него есть информация, связанная с вашей охотой на Велу.||||
20|charMentor||Yes|Yes|||NeedToReportBasalt|||||||||||||Вы успешно завербовали Джека Базальта в вашу охоту на Велу. ##Он вернулся в крепость Велы, Ослепляющий Свет.||||
charEmberian|charEmberian|FactionDarkStar|||||||||||||||||7|Эмбериан||||
10|charEmberian||Yes||||LookingForEmberian|||||||||||||Джек Базальт рассказал вам о 'Эмбериан' - бывшем наемнике Темных Звезд, который носит полный комплект древней Эмберианской брони. ##Прежде чем завербовать ее, вам нужно сначала найти ее. Вам следует спросить в Хэллоу Тауне; возможно, торговцы видели ее.||||
20|charEmberian|||||||||||||||||||Вы должны завербовать 'Эмбериан' - бывшего наемника Темных Звезд, который носит полный комплект древней Эмберианской брони. ##Хозяин таверны Шаткая Башка думает, что она остановилась в лесу, к западу. Возможно, кто-то еще знает больше. ||||
30|charEmberian|||||||||||||||||||Вы должны завербовать 'Эмбериан' - бывшего наемника Темных Звезд, который носит полный комплект древней Эмберианской брони. ##Торговец в Лавке Диковинок думает, что она разбила лагерь в лесу к западу, рядом с гигантской ржавой турбиной.||||
40|charEmberian||Yes||||LookingForEmberianKey|LookingForEmberian||||||||||||Вы поговорили с Эмбериан в ее лагере в лесу Хэллоушира, но она отказывается помочь вам. ##Возможно, вы сможете узнать больше о том, куда она направляется дальше, либо от нее, либо из ее лагеря.||||
50|charEmberian|||||40|LookingForEmberianKey|LookingForEmberian||||||||||||Вы поговорили с Эмбериан, которая отказывается помочь вам. ##Но вы нашли записку, указывающую на магазин с хрустальным шпилем, где она купила какой-то ключ. Вам следует найти этот магазин.||||
55|charEmberian||||||LookingForEmberianKey|LookingForEmberian||||||||||||Вы поговорили с Эмбериан, которая отказывается помочь вам. ##Она направляется в руины Эмбериан в Растбурге, с ключом, который она купила в магазине с хрустальным шпилем. Вам следует найти этот магазин.||||
60|charEmberian||||||NeedToBuyEmberianKey|LookingForEmberianKey||||||||||||Если вы собираетесь следовать за Эмбериан в ее квесте, вам нужен определенный ключ. ##Лавка Диковинок в Хэллоу Тауне имеет его - но торговец не отдаст его меньше чем за двадцать монет. ||||
70|charEmberian||Yes|||||NeedToBuyEmberianKey|rustburgKey|rustburgKey||||||||||Вы получили ключ, который позволит вам следовать за Эмбериан. ##Он открывает руины Эмбериан в городе Растбург, расположенном на юго-востоке Хэллоушира. ||||
80|charEmberian||||||||rustburgKey|||||||||||Вы нашли город Растбург на юго-востоке Хэллоушира. ##Ваш ключ должен открыть старые руины где-то в городе, куда как раз направляется Эмбериан... ||||
90|charEmberian|||||||||||||||||||Вы нашли Эмбериан в руинах Растбурга, отдыхающую у запечатанной двери. Возможно, вы сможете помочь ей открыть ее... ||||
100|charEmberian|||||||||||||||||||Вы открыли запечатанную дверь в руинах Растбурга. ##Возможно, с завершением ее квеста, Эмбериан будет более склонна помочь вам. ||||
110|charEmberian|||Yes|||||loreBoost|loreBoost|||2|||||||Вы успешно завербовали Эмбериан в свою команду, и она присоединилась к вам в старой крепости Велы, Ослепляющем Свете. ||||
120|charEmberian|||Yes|||EmberianRevengeVela,NeedToReportOrlaith||loreBoost|loreBoost|||2|||||||Вы успешно завербовали Эмбериан в свою команду, и она присоединилась к вам в старой крепости Велы, Ослепляющем Свете. ##Вы убедили ее искать мести против ее бывшего товарища, Велы. ||||
130|charEmberian|||Yes|||EmberianReconcileVela,NeedToReportOrlaith||loreBoost|loreBoost|||2|||||||Вы успешно завербовали Эмбериан в свою команду. ##Вы убедили ее, что может быть способ примириться с Велой.||||
140|charEmberian|||Yes|||EmberianOpposedToPlayer,NeedToReportOrlaith||loreBoost|loreBoost|||2|||||||Вы успешно завербовали Эмбериан в свою команду, но она не согласна с вашими заявленными мотивами помощи Веле.||||
charEndless|charEndless|FactionDarkStar|||||||||||||||||8|Герцогиня Вечных||||
0|charEndless|||||||||||||||||||Вы слышали о наемнике Темных Звезд, известном только как 'Герцогиня'.||||
10|charEndless||Yes||||LookingForDuchess|||||||||||||Джек Базальт рассказал вам о 'Герцогине' - одной из бывших членов команды Велы, которая является могущественной ведьмой Вечных. ##Базальт думает, что она вернулась в свой родовой дом в Землях Вечных; вам следует начать там.||||
20|charEndless||Yes||||LookingForDuchess|||||||||||||В поисках Герцогини вы узнали, что бывшая Темная Звезда проживает в своем семейном поместье на южной окраине Земель Вечных.||||
30|charEndless||Yes||||LookingForDuchess|||||||||||||В поисках товарищей Велы вы узнали, что бывшая Темная Звезда - Герцогиня - проживает в своем поместье на южной окраине Земель Вечных. ##Вы поговорили с ее управляющим, который предупредил, что путь преграждают скелеты и магические головоломки. ||||
35|charEndless||Yes||||LookingForDuchess|||||||||||||В заброшенном поместье на южной окраине Земель Вечных вы нашли ведьму, которая может быть бывшим товарищем Велы; Герцогиню. ##Вам следует поговорить с этой ведьмой и узнать больше. ||||
40|charEndless||Yes||||SpokenToDuchessManor,LookingForFleshBroker|LookingForDuchess||||||||||||Вы поговорили с Герцогиней, которая пообещала помочь вам в охоте на Велу, если вы найдете ее дочь. ##Вам нужно встретиться с контактом в Гнилом Гробу в Сепулькре, который носит полный комплект брони. Он может помочь вам дальше. ||||
45|charEndless|||||40||||||||||||||Вы поговорили с Герцогиней, которая пообещала помочь вам в охоте на Велу, если вы найдете ее дочь. ##Вы встретились с контактом в Гнилом Гробу в Сепулькре, который потребовал образец вашей плоти. Возможно, другого пути нет...||||
50|charEndless||||||FleshBrokerDone|LookingForFleshBroker|cadaverKey|cadaverKey,missingFinger||||||||||В поисках дочери Герцогини вы получили ключ, который откроет верхние уровни Крепости Кадавров. ##Крепость расположена на северной оконечности Земель Вечных.||||
60|charEndless|||||50|||cadaverKey|||||||||||В поисках дочери Герцогини вы прибыли в Крепость Кадавров на северной оконечности Земель Вечных. Ключ, который вы получили, должен активировать лифт где-то - доставив вас на остров, где держат дочь. ||||
65|charEndless||||||||cadaverKey|||||||||||В поисках дочери Герцогини вы нашли ее отрубленную руку на острове над Крепостью Кадавров - но вы не подобрали ее. ##Вам следует вернуться и забрать руку.||||
70|charEndless||||||||duchessDaughter|duchessDaughter||||||||||В поисках дочери Герцогини вы смогли найти только ее отрубленную руку. ##Вам следует вернуться к Герцогине, в ее поместье на южной окраине Земель Вечных, чтобы рассказать ей о том, что вы нашли.||||
80|charEndless|||||||||spectralFinger|||||duchessDaughter,missingFinger|||||В качестве компенсации за ваши усилия Герцогиня подарила вам призрачный палец. Вам следует поговорить с ней больше, чтобы завербовать ее в свою команду. ||||
90|charEndless|||Yes||||LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||Вы завербовали Герцогиню в свою команду, и она переехала в старую крепость Велы - Ослепляющий Свет.||||
100|charEndless|||Yes|||DuchessWantsTrueDeath,NeedToReportDuchess|LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||Вы завербовали Герцогиню в свою команду, и она переехала в старую крепость Велы; Ослепляющий Свет. ##Вы убедили ее, что, встав на сторону Велы, Вечные могут получить истинную смерть.||||
110|charEndless|||Yes|||DuchessWantsTrueImmortality,NeedToReportDuchess|LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||Вы завербовали Герцогиню в свою команду, и она переехала в старую крепость Велы; Ослепляющий Свет. ##Вы убедили ее, что, встав на сторону Велы, заклинание Вечных может быть исправлено, даровав истинное бессмертие. ||||
120|charEndless|||Yes|||DuchessWantsNoChange,NeedToReportDuchess|LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||Вы завербовали Герцогиню в свою команду, и она переехала в старую крепость Велы; Ослепляющий Свет. ##Вы убедили ее, что, противостоя Веле, она сможет выковать свое собственное будущее. ||||
charCaer|charCaer|FactionCult|||||||||||||||||10|Шепоты Призраков||||
5|charCaer||Yes|||||||||||||||||Вас посетил призрак, который, кажется, заинтересовался вашей ситуацией.||||
10|charCaer||Yes||||StartedCaerQuest|||||||||||||Вас посетил призрак, который утверждает, что знал Велу в ее прошлой жизни. ##Она говорит, что если вы хотите понять женщину, с которой связана ваша судьба, вам следует искать [[разрушенное поместье]] где-то на [[северо-восточной окраине Хэллоушира]].||||
20|charCaer|||||||||||||||||||Призрак пообещал раскрыть мотивы Велы. ##Вы последовали за ней к [[разрушенному поместью]] на [[северо-восточной окраине Хэллоушира]]; теперь все, что осталось, - это войти внутрь. ||||
30|charCaer||||||LearnedVelaSister|||||||||||||Призрак пообещал раскрыть мотивы Велы. ##Она попросила вас встретиться с ней в [[Бухте Воздушных Кораблей]] на [[западной окраине Земель Вечных]], где она продолжит свой рассказ. ||||
40|charCaer|||||||||||||||||||Призрак пообещал раскрыть мотивы Велы. ##Вы последовали за ней в [[Бухту Воздушных Кораблей]] на [[западной окраине Земель Вечных]]; теперь вам следует войти и услышать, что еще она может сказать. ||||
50|charCaer||||||LearnedVelaHideout|||||||||||||Призрак пообещал раскрыть мотивы Велы. ##Она попросила вас встретиться с ней на обломках [[Воздушного Корабля Черного Гоблина]], который дрейфует к [[северо-западу от Королевства Механизмов]].||||
60|charCaer|||||||||||||||||||Призрак пообещал раскрыть мотивы Велы. ##Вы на обломках [[Воздушного Корабля Черного Гоблина]], который дрейфует к [[северо-западу от Королевства Механизмов]]; теперь вам следует подойти к ней на носу корабля, чтобы она закончила свой рассказ. ||||
70|charCaer|||Yes|||LearnedVelaMutiny|||||||||||||Вас посетил призрак, который знал Велу в ее прошлой жизни. ##Она объяснила вам историю Велы и Темных Звезд, рассказав, что Вела движима смертью своей сестры, Изабет. ||||
highConfessor|highConfessor|QuestInq|||||||||||||||||10|Старый Друг||||
10|highConfessor||Yes||||HC_QuestStarted|HCQuest_Refused|godletDagger|godletDagger||||||||||Верховный Исповедник попросил вас разобраться с личным делом. ##Есть небольшой дом в [[западном лесу Хэллоушира]], в котором находится божественное существо. Она попросила вас убить его с помощью специального Вайд Скальпеля. ||||
20|highConfessor||||||SpokenToCaerGodletOutside||godletDagger|godletDagger||||||||||Верховный Исповедник попросил вас разобраться с личным делом и убить определенное божественное существо. ##Вы отправились в небольшой дом в [[западном лесу Хэллоушира]], но призрак уговорил вас не выполнять это дело.||||
30|highConfessor||||||KilledCaerGodlet,HCQuest_ReportBack,HC_QuestEnded||||||||godletDagger|||||Вы выполнили личное дело Верховного Исповедника, убив ее божественное существо, к большому сожалению собственного призрака Верховного Исповедника; Каер. ##Вам следует вернуться к Верховному Исповеднику в Ослепляющем Свете.||||
35|highConfessor|||Yes||||HCQuest_ReportBack|||||2||godletDagger|||||Вы выполнили личное дело Верховного Исповедника, убив ее божественное существо, к большому сожалению собственного призрака Верховного Исповедника; Каер. ||||
40|highConfessor||||||SparedCaerGodlet,HCQuest_ReportBack,HC_QuestEnded,HCGodlet_ReportIgnavius||||||||godletDagger|||||Верховный Исповедник попросил вас убить божественное существо, но вы отказались и вместо этого разбили его оковы. Призрак Верховного Исповедника - Каер - был благодарен. ##Вам следует вернуться в Ослепляющий Свет. ||||
45|highConfessor|||||||HCQuest_ReportBack|||||||godletDagger|||||Верховный Исповедник попросил вас убить божественное существо, но вы отказались и вместо этого разбили его оковы. ##Все это было испытанием на лояльность, которое Верховный Исповедник провалила; и она была уведена агентами Инквизиции. Вам следует поговорить с призраком, Каер. ||||
50|highConfessor|||Yes|||||||||2||godletDagger|||||Верховный Исповедник попросил вас убить божественное существо, но вы отказались и вместо этого разбили его оковы. ##Все это было испытанием на лояльность, которое Верховный Исповедник провалила; и она была уведена агентами Инквизиции. ||||
ignaviusTea|ignaviusTea|QuestMushroom|||||||||||||||||30|Чертовски Хороший Чай||||
10|ignaviusTea||Yes|||||||||||||||||Инквизитор Игнавиус попросил вас добыть немного [[Чай из скригриб]] из региона Пвилл. ##Если вы хотите угодить ему, вам следует отправиться в [[Деревню Пвилл]] и попытаться купить его. ||||
20|ignaviusTea||Yes|Yes||||||treasure|1||1|||||||Вы добыли немного Чай из скригриб для Инквизитора Игнавиуса, который объявил, что это [[чертовски хороший чай.]].##У вас внезапно возникло любопытное желание перечитать рассказ из журнала Двойные Скалы, написанный Д. Ханге. ||||
thievesOne|thievesOne|EmblemLock|||||||||||||||||31|Простая Доставка||||
10|thievesOne||Yes||||||innogenCrate|innogenCrate||||||||||Девушка дала вам ящик 'Шелков Бьонна' и попросила доставить его в Шаткую Башку. ##Там должен быть человек по имени Бардольф в маленькой комнате, слева при входе.||||
20|thievesOne|||||10|||innogenCrate|||||||||||Девушка дала вам ящик 'Шелков Бьонна' и попросила доставить его в Шаткую Башку. ##Там должен быть человек по имени Бардольф в маленькой комнате, слева при входе. ##По пути вас остановил стражник и попросил проверить ящик; но вам удалось избежать его.||||
30|thievesOne|||||10|innogenCargoLost||||||||innogenCrate|||||Девушка дала вам ящик 'Шелков Бьонна' и попросила доставить его в Шаткую Башку, но стражник конфисковал товары. ##Вам все равно следует посетить Бардольфа в Шаткой Башке и сказать ему, что вы потеряли доставку.||||
40|thievesOne|||Yes|||BardolphDialogue|||||20|1||innogenCrate|||||Вы успешно доставили ящик 'Шелков Бьонна' Бардольфу в Шаткую Башку. ##Он сказал, что вам следует посетить Потерянный Кошелек когда-нибудь; просто ищите подозрительный череп в заброшенном здании Хэллоу.||||
50|thievesOne|||Yes|||BardolphDialogue||||||1||innogenCrate||Outlaw|4||Вы сказали Бардольфу в Шаткой Башке, что его 'шелка' были конфискованы. ##Он сказал, что вам следует посетить Потерянный Кошелек когда-нибудь; просто ищите подозрительный череп в заброшенном здании Хэллоу.||||
thievesTwo|thievesTwo|EmblemLock|||||||||||||||||40|Из-под Его Носа||||
5|thievesTwo||Yes|||||||||||||||||Вы встретились с Инноген в Потерянном Кошельке. Вам следует поговорить с ней снова, когда будете готовы к работе.||||
10|thievesTwo||Yes|||||||||||||||||Инноген в Потерянном Кошельке попросила вас украсть ценный артефакт у Вернона Бервига, из Гильдии Крылатых Торговцев. ##Его дом можно найти на главной улице, но у него есть запертая комната, доступ к которой возможен только снаружи.||||
20|thievesTwo||Yes||||||||||||||Outlaw|4||Вы украли артефакт прямо из-под носа Вернона Бервига. Инноген в Потерянном Кошельке будет заинтересована в этом. ||||
30|thievesTwo|||Yes||||||||50|1|Yes|merchantLoot|||||Вы украли артефакт Вернона Бервига прямо из-под его носа и получили свою награду от Инноген в Потерянном Кошельке.||||
dreamJournal|dreamJournal|book|||||||||||||||||40|Случайно Уснуть||||
10|dreamJournal||Yes||||DreamJournalActive|||||||||||||Вы встретили странного человека, преследуемого снами. Он попросил вас найти его потерянный журнал. ##Вам следует узнать больше о том, где он может быть.||||
20|dreamJournal|||||||||||||||||||Вы встретили странного человека, преследуемого снами. Он попросил вас найти его потерянный журнал. ##Он думает, что его украли гоблины в горах, к востоку от близлежащей крепости.||||
30|dreamJournal||Yes|||||||||||||||||Вы нашли журнал, наполненный снами. Вам следует вернуть его его первоначальному владельцу. ||||
40|dreamJournal|||Yes||||DreamJournalActive||treasure|1||1|Yes|dreamersJournal|||||Вы вернули журнал снов его владельцу.||||
paeguthCargo|paeguthCargo|QuestHallow|||||||||||||||||40|Золотой Тифос||||
10|paeguthCargo||Yes|||||||||||||||||Вы слышали, что глава Гильдии Крылатых Торговцев ищет искателей приключений. Вам следует посетить дом в Хэллоу с вывеской воздушного корабля.||||
20|paeguthCargo||Yes||||GoldenTyphosAccepted|||||||||||||Вернон Бервиг, глава Гильдии Крылатых Торговцев, поручил вам найти его потерянный груз. ##Вам следует следить за его торговым судном, Золотой Тифос.||||
30|paeguthCargo||Yes|||||||||||||||||Вы поднялись на борт корабля Золотой Тифос и нашли странный артефакт в его трюме.##Вам следует посетить [[Гильдию Крылатых Торговцев]] в Хэллоу.||||
