cae|||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
coop32|Ах, Исповедник XVII! Я просто ((знал)), что вы выживете в этом штурме. Дроны были почти ((уверены)), что вы встретите ужасный конец, но вы показали им, а?||||
coop33|Приветствую, Исповедник! Вы заглянули на небольшую беседу? Как мило. ||||
coop34|<<Он ухмыляется.>> Инквизитор Игнавиус из Двенадцатого Инквизиционного Трибунала, рад познакомиться.||||
coop35|Ужасно неприятная история с Верховным Исповедником, а? Я всегда считал её чертовски хорошей женщиной, но кто бы мог подумать, что у неё такие ((скелеты)) в гробу? Э-э, то есть в шкафу. Неудачный выбор слов.||||
coop36|В любом случае, похоже, я теперь исполняющий обязанности Верховного Инквизитора этого трибунала, пока этот вопрос не будет решён. Немалая ответственность, а? Возможно, мне понадобится вино, чтобы успокоить нервы...||||
coop37|Что касается ((ваших)) обязанностей? Э-э... ну... я бы просто продолжил делать то, что вы делали, э-э... что бы это ни было. ||||
coop38|Исповедник, дроны сообщили мне, что на нижних палубах происходит много шума — как будто некоторые из наших гостей что-то ((готовят)). Но, конечно, я сказал им, что вы не могли ничего организовывать, так как наши приказы — оставаться на месте в обозримом будущем! ||||
coop39|В любом случае, просто потише, слышите? Я знаю, что это чертовски ((скучно)) ждать, но если бы вы могли держать свои странные увлечения ((подальше)) от корабля? Буду признателен. ||||
coop40|Ах, Исповедник XVII! Всё идёт хорошо, надеюсь? ||||
coop40b|Ах, Заключённый XVII! Всё идёт хорошо, надеюсь? ||||
p34|Я принёс вам немного грибного вина. ||||
coop41|Исповедник! Это совершенно неожиданно. Как любезно с вашей стороны.||||
coop42|<<Он достаёт из-за пояса крошечный металлический кубок. Откупоривает вино и аккуратно наливает, прежде чем сделать глоток.>>||||
coop43|<<Он хмурится и на мгновение замолкает.>> ##Исповедник, это... ((извините))...||||
coop44|...((Чёртовски)) хорошее вино! ||||
coop45|<<Он делает ещё один глоток.>> Я пробовал невероятное количество сортов за свою жизнь, и это — одно из лучших.||||
coop46|Моя жена будет в восторге. Пожалуйста, возьмите это в качестве компенсации.||||
p35|Насчёт миссии...||||
coop47|Ах, да! Что насчёт неё?||||
p36|Расскажите мне о Веле и Тёмных Звёздах. ||||
coop48|Вела Каллос. Вот ((это)) имя, от которого волосы встают дыбом.||||
coop49|Она — дочь старого Адмирала Каллоса из Флота Союза Вероотступников — но вместо того, чтобы пойти по стопам отца, она основала самую успешную наёмническую банду со времён Войны Богов.||||
coop50|Конечно, нынче она — самый разыскиваемый преступник в Союзе. Но надо отдать ей должное: долгие годы сам Союз поручал Веле и её Тёмным Звёздам ту работу, за какую Флот не желал — или ((не мог)) — браться сам. ||||
coop51|<<Он вздыхает.>> Жаль, что она свернула на столь тёмную дорожку. В последние годы Тёмных Звёзд их злодеяния намного перевесили благие дела. ||||
p37|Что насчёт злодеяний Тёмных Звёзд? ||||
coop52|Ну, был налёт на Астральный Колледж в Бьонне, где они унесли ((искусственную звезду)) среди других бесценных сокровищ. ##Затем было потопление торгового судна Попинджей, и все те заложники, убитые при Осаде Сараколко... ((Я могу продолжать)).||||
coop53|В конце концов, говорят, она сошла с ума. Начала болтать о каком-то ((рае)). Инквизиция постановила, что это равносильно культизму — ((Статья CXII, заявления религиозного характера)) — и выдала ордер на её арест.||||
coop54|Хотя, сдаётся мне, Полиматы в Риове желали от неё избавиться задолго до всего этого. Она слишком зазналась, и наконец-то им подвернулся повод. ##Даже ((собственные)) наёмники Велы так на неё осерчали, что подняли мятеж.||||
coop55|Она скрывалась здесь годами, но Инквизиция наконец получила добро на действия — так что вот мы здесь.||||
p38|Спасибо за информацию.||||
coop56|Конечно. Это всё?||||
p39|Почему вы используете таких заключённых, как я?||||
coop57|<<Он ухмыляется.>> Ах, потому что тяжёлый труд — это лекарство для ((ума))! ||||
coop58|Мы не похожи на какую-то обычную судебную систему в родных землях Союза, где заключённых бросают в яму с куском заплесневелого хлеба, независимо от их преступления.||||
coop59|<<Он стучит себя по лбу.>> Мы ценим ((извращённый ум)) наших гостей. И если нам удастся ((распрямить)) этот разум верно отмеренным карательным трудом — мир станет чуточку светлее.||||
coop60|<<Он откашливается.>> Мы также уполномочены использовать любые методы, которые у нас есть, когда миссия идёт... Э-э... как говорят в Слеве, ((вымя вверх)).||||
p40|Что вы думаете о Верховном Исповеднике?||||
coop61|<<Он поглаживает подбородок.>> Многие в Инквизиции считают ((трагедией)), что Исповедник — то есть заключённый, отбывающий наказание — получил контроль над целым Трибуналом. Обычно это была бы работа Верховного Инквизитора.||||
coop62|Действительно, есть также ((природа)) её преступлений, и то, как они связаны с самой преступницей, которую ей поручили арестовать...||||
coop63|Но лично? Я думаю, несмотря на её ((причуды)), она доказала, что является одним из самых успешных агентов в наших рядах.||||
p41|Это всё, что я хотел узнать.||||
coop64|Прекрасно. Было что-то ещё?||||
p42|У меня есть вопросы о Небесных Землях. ||||
coop65|Конечно, спрашивайте. ||||
p43|Расскажите мне о Союзе Вероотступников. ||||
coop66|<<Он оглядывает вас с ног до головы.>> Ну, вы же ((были)) там — в ((сердце)) Союза, я имею в виду?||||
coop67|Ну, Союз — самое ((цивилизованное)) место в Небесных Землях со времён Мирового Разлома. Вы можете не соглашаться, но на мой взгляд, это правда.||||
p44|Какова его история?||||
coop68|Последние четыреста лет Небесные Земли были во власти Викканских ковенов и их богов. Иные, может, и проповедовали терпимость — но другие были тиранами, что вгоняли своих несчастных последователей в жестокость и невежество. Этого не отрицать.||||
coop69|Видите ли, Викканцы вели себя не лучше худших Слевианских картелей. Они запрещали и шифрованную магию, и всякие здравые споры. Они заковывали нас в кровавые контракты с богами, что тормозили наше развитие.||||
coop70|Но сорок лет назад, во время Войны Богов, Вероотступники сбросили свои оковы. ##<<Он вздыхает.>> Это правда, что было пролито много крови — как смертной, так и божественной. Но теперь, на территории Союза, разум и дискуссия заменили невежество и страх.||||
p45|Каковы родные земли Союза?||||
coop71|<<Он принюхивается.>> Ну, зависит от того, куда вы отправитесь. Я из Лунделя — места, полного ветреных холмов, сырых болот и разрушающихся замков, окружённых синей нейронной звездой. У нас также есть... ((слабость)) к элю.||||
coop72|Есть также Бьонн, известный своими университетами и прекрасным вином, и Слев — суровая, влажная земля, где процветают криминальные элементы.||||
coop73|Но многие считают самой важной землёй Союза Вену. Это тёплый, прекрасный архипелаг, полный садов, омываемых жёлтым звёздным светом, и дом самого важного города Союза — Риовы.||||
coop74|Риова — это место, где собирается совет Полиматов Союза. Это город, полный парящих домов, соединённых мостами и верёвками, с гондолами, плавающими между ними. Когда вы находитесь в центре, говорят, что вы не видите ни кусочка неба; вокруг только здания.||||
coop75|Но куда бы вы ни отправились в родных землях Союза, нет места столь же сурового и ((дикого)), как это. ##<<Он делает глубокий вдох.>> Ах! Ни единой канализации на мили вокруг.||||
p46|Этого достаточно о Союзе.||||
coop76|<<Он кивает.>> Что-то ещё?||||
p47|Расскажите мне об Островах Грёз.||||
coop77|Ну, Острова Грёз — это архипелаг, на котором мы сейчас находимся. Он всегда был на окраине территории Союза, и только недавно здесь был установлен региональный совет в Хэллоушире.||||
coop78|Но есть также острова вне контроля Союза. На востоке лежит Королевство Механизмов, управляемое машинным монархом — а на западе находится довольно пугающее место с бессмертными душами, известное как Земли Вечных.||||
p48|Расскажите мне о Хэллоушире.||||
coop79|Хотя Хэллоушир технически находится под контролем Союза со времён Войны Богов, он был несколько... ((заброшен)) до недавнего времени. ||||
coop80|Это значит, что в холмах всё ещё прячутся культисты, которых ещё не выгнали. Есть даже слухи о ((богах)), скрывающихся в неприятных уголках.||||
coop81|Но не стоит беспокоиться. В Хэллоу Таун только что построили палату Совета Союза, и теперь здесь есть собственный Полимат! С таким почтенным образованием она быстро наведёт порядок.||||
p49|Расскажите мне о Королевстве Механизмов.||||
coop82|Хмф, ну, чем меньше говоришь об этом месте, тем лучше. Раньше оно было известно как [[Кардова]], и во время Войны Богов они помогли вероотступникам свергнуть Викканцев и их богов. Они даже построили крепость Ослепляющий Свет, а также множество других боевых машин.||||
coop83|Но они всегда были немного высокомерны. Несмотря на то, что у них были лучшие алхимики и эфиристы в Небесных Землях, они возомнили себя создателями какого-то ((магического утопии)), где каждый глупый крестьянин мог бы колдовать. Полная чушь, скажу я вам.||||
coop84|Только, какое-то время казалось, что у них действительно ((получается)). То, что выходило из новообразованного Королевства Механизмов, заставляло даже учёных из [[Академии Эрудитов]] краснеть от зависти!||||
coop85|По крайней мере, пока их механический Король не спятил и не вверг всё в хаос. Теперь это мёрзлая пустошь, полная сломанных роботов и гниющих посевов. ||||
coop86|Что ((чертовски)) обидно, потому что в Феррополисе была милая маленькая чайная, которую моя жена ((обожала)). Ах, ну что ж. ||||
p50|Расскажите мне о Землях Вечных.||||
coop87|Вы слышали истории о Крестовых Походах Кадавров? Возглавляемых теми мерзкими гулями, которые грабили живых, чтобы съесть их плоть? <<Он заметно дрожит.>>||||
coop88|Ну, оказывается, это были не просто истории. Эти монстры действительно ((существуют)), и у них есть своё маленькое королевство прямо там, управляемое их так называемой Королевой Серебра! Поверьте, такое не придумаешь. ||||
coop89|Последнее, что я слышал, они бросили всё это поедание плоти и начали выращивать какую-то... ((бездумную плоть)). Представьте — гули с совестью!||||
p51|На каком острове мы сейчас находимся?||||
coop90|О, этот маленький островок известен как [[Пвилл]]. Здесь всего несколько грибных фермеров, но его удалённое расположение всегда делало его убежищем для контрабандистов и пиратов.||||
coop91|Возможно, именно поэтому Вела пришла сюда зализывать раны после мятежа Тёмных Звёзд. ||||
p52|Это всё, что я хотел узнать об этих островах.||||
coop92|Очень хорошо. Было что-то ещё? ||||
p53|Расскажите мне о себе. ||||
coop93|Обо мне? О, тут нечего рассказывать — я всего лишь скромный слуга Союза Вероотступников. ||||
coop94|Когда-то я был советником, поверите ли. Только... один ((неловкий инцидент)) с потерянной партией галлюциногенных скригрибов привёл к моей... ((кхе)) понижению до менее публичной роли.||||
coop95|Так что вот я здесь, работаю на почтенную Инквизицию. Только, не могу не думать о домашнем уюте, а? У меня есть милый маленький домик в Лунделе с моей женой. Однажды я брошу всё это и вернусь к выращиванию шампиньонов в своём саду. ||||
p54|Это все вопросы, которые у меня были.||||
coop96|Отлично. Теперь, будет что-то ещё?||||
p55|Прощай.||||
coop97|Удачи там. ||||
p56|Я принёс вам немного Чая из скригриб.||||
coop98|Ах, Исповедник! Это именно то, что я искал. Как любезно с вашей стороны.||||
coop99|<<Он достаёт из-за пояса крошечный металлический чайник. Он насыпает немного рассыпного чая в фильтр, и, к вашему удивлению, вы замечаете, что в нём уже есть кипяток.>> ##Если вы будете так любезны подождать минутку, Исповедник — мне действительно нужно дать этому настояться.||||
coop100|<<Вы ждёте несколько неловких минут в полной тишине, пока Инквизитор смотрит на свой миниатюрный чайник.>> ##<<Наконец он кажется удовлетворённым. Он наливает жидкость в чашку и делает глоток.>>||||
coop101|<<Он хмурится и на мгновение замолкает.>> ##Исповедник, это... ((извините))...||||
coop102|...((Чёртовски)) хороший чай!||||
coop103|Моя жена будет в восторге. Пожалуйста, возьмите это в качестве компенсации.||||
coop104|<<Он делает ещё один глоток.>> Я пробовал невероятное количество чаёв за свою жизнь, и это — один из лучших. ##Моя жена будет в восторге. Пожалуйста, возьмите это в качестве компенсации.||||
coop105|<<На лбу Инквизитора появляются капли пота, и он, кажется, смотрит на что-то, что видит только он. Он бормочет себе под нос,>> ((Чёртовски хороший чай, действительно...)) ##<<Вы думаете, что, наверное, лучше оставить его в покое.>> ||||
coop106|Ах, Заключённый XVII, я полагаю, вас ждёт [[Верховный Инквизитор]]. Лучше не заставлять её ждать, да?||||
coop107|Но, конечно, возвращайтесь и поговорите со мной потом; нам есть что обсудить. ||||
p57|Насчёт того чая, который вы хотели...||||
coop108|Да — [[Чай из скригриб]], для моей жены. Его делают здесь, в [[Деревне Пвилл]], к югу от крепости Ослепляющий Свет. ||||
coop109|Ах, это очень любезно с вашей стороны, Исповедник — но давайте подождём, пока этот штурм не закончится, хорошо? Встретимся в [[Ослепляющем Свете]], когда мы схватим эту женщину Велу.||||
p58|Что это был за чай, ещё раз?||||
p59|Неважно.||||
agentCruel1|О, это ((вы.)). ##[[Верховный Исповедник]] хочет поговорить с вами, на платформе.||||
agentCruel2|<<Он бормочет себе под нос,>> ((Хотя что она видит в жалком заключённом, мне не понять.)).||||
agentCruel3|Итак, она дала вам звание [[Исповедника]], а? Ну, полагаю, мы будем работать вместе, тогда...||||
agentCruel4|Только помните — звание Исповедника пристанет к вам, как родимое пятно. Оно метит вас как ((заключённого)), что ищет искупления службой. Даже ((ей)) от этого клейма не уйти. ||||
agentKind1|<<Вы замечаете сияющую улыбку за визором агента.>> Ах, так это вы тот, кто столкнулся с Велой? И подумать только, мы держали вас в клетке!||||
agentKind2|<<Агент смеётся.>> Ну, вы действительно показали ((нам)), как это делается. ##В любом случае, я думаю, [[Верховный Исповедник]] хочет вас видеть. Я бы не заставлял её ждать...||||
agentKind3|О, если это не наш новейший Исповедник! <<Она вежливо кланяется.>>||||
agentKind4|Я бы с радостью помогла вам с вашей миссией, но у меня нет необходимого уровня доступа, чтобы знать все детали. Вам следует поговорить с [[Инквизитором Игнавиусом]], на платформе напротив Верховного Исповедника. ((Он)) знает, что делать. ||||
caerAgent1|Хмф, это вы тот, кого прислали из Двенадцатого Трибунала?||||
caerAgent2|Как я уже толковал своему начальству, это всего лишь божественная сущность класса F — ((наш)) трибунал с ней справится. Не пойму, к чему нам дожидаться какого-то дурня из вашего сброда заключённых и неудачников. ||||
caerAgent3|<<Он пожимает плечами.>> Я имею в виду, ((без обид)).||||
hc50|<<Верховный Исповедник отдаёт приказы агентам вокруг неё; указывает своими механическими конечностями и кричит между приступами кашля. В конце концов, она замечает вас.>>||||
hc51|Ах! Заключённый... XVII, не так ли? Наши дроны... следили за вами. Похоже, Вела сбежала.||||
p100|Я не смог её задержать. Я провалился. ||||
hc52|<<Высокий смешок раздаётся из её гроба.>> ##Вздор. Я была уверена... что вас изрубят в клочья. Поразительно, что вы зашли так далеко.||||
hc53|Но ваш приговор... всё ещё в силе. Вы всё ещё можете доказать свою полезность. ||||
p101|Я сыграл в вашу игру. Вы отпустите меня? ||||
hc54|<<Устройство угрожающе сдвигается в вашу сторону.>> ##Напомнить ли мне, ((заключённый)), что ваш приговор всё ещё не исполнен? ||||
hc55|Мы должны... выяснить, куда бежала Вела. К счастью для нас, я знаю... кого об этом спросить.||||
hc56|<<Она тихо смеётся себе под нос, но смех срывается в мучительные рвотные спазмы. Спустя мгновение вам кажется, что её, должно быть, вырвало.>> ## Прошу прощения. ||||
hc57|Острова Грёз являются домом для нескольких [[бывших наёмников Тёмных Звёзд.]] ||||
hc58|Моё начальство предпочло бы, чтобы я их ((казнила)), но... <<Она замолкает на мгновение.>> ##...Живыми они нам ((полезнее.)). И если кто и знает, куда подалась Вела, так это ((они)). ||||
hc59|Я бы начал с [[Джека Базальта]], бывшего капитана Флота, ставшего наёмником. Мы уже связались с ним и договорились о... встрече. ##Вы можете найти его в таверне [[Шаткая Башка]] в [[Хэллоу Таун]], в центре Островов Грёз.||||
hc60|Базальт пообещал... вывести нас на своих товарищей в обмен на Помилование Полимата. Он поможет вам отыскать... остальных. ||||
p102|Понял.||||
p103|Как добраться до Хэллоу Таун?||||
hc61|Следуйте по дороге на юг, через [[деревню Пвилл]], и перейдите [[Мостовые Ворота]]. Это приведёт вас в [[Хэллоушир]]. ||||
hc62|Вам понадобится [[Паспорт Союза Вероотступников]], чтобы пересечь мост. Жаль, что я не могу выдать его вам сама, но... у нас не хватает запасов. ##Возможно, местные жители в [[деревне Пвилл]] смогут вам помочь. ||||
p104|Почему ((я)), из всех ваших агентов? ||||
hc63|Тёмные Звёзды... глубоко не доверяют Инквизиции. Скажем так... в прошлом у нас бывали стычки.  ##А вы — один из самых новых и... ((податливых)) наших оперативников, так что у вас может выйти лучше, чем у других моих агентов. ||||
hc64|Хорошо. И будьте ((осторожны.)). Эти острова — самый край земель Союза Вероотступников. Тут могут таиться верующие, а то и ((малые боги)), бежавшие от чисток Союза. Единственное наверняка безбожное место — это [[Хэллоу Таун]]. ||||
hc65|А за рубежами Хэллоушира лежат... земли, куда не ступал даже сапог Союза. ##На востоке [[Королевство Механизмов]] охвачено настоящим кризисом. А народ [[Земель Вечных]], на западе, проклят вечной жизнью. ||||
hc66|Мой трибунал создаст командный пункт в этой крепости, [[Ослепляющий Свет]]. Возвращайтесь сюда для отдыха, если хотите. ||||
hc67|О, и ещё одно... ||||
hc67b|Отныне вас будут звать [[Исповедник XVII]]. Это не отменяет ни ваших преступлений, ни вашего приговора... но звучит приятнее, чем «заключённый», а? ||||
p105|Ладно, я пойду. ||||
hc68|Прощай... Исповедник. ||||
p106|У меня есть вопросы...||||
hc69|Очень хорошо.||||
hc70|С возвращением, Исповедник XVII. ||||
hc71|Итак, вы нашли капитана Базальта? Подумать только, что позор Флота Союза... теперь работает на Инквизицию. Если бы вы сказали мне это пять лет назад... <<Она смеётся.>>||||
hc72|Вы нашли Эмберианского Рыцаря? Молодец, Исповедник. Немногие... могут сравниться с её мастерством владения мечом. Она действительно будет полезной. ||||
hc73|Герцогиня прибыла, благодаря вам. Даже в этом устройстве я чувствую её силу. Шифр исходит от этой женщины... как свет от нейронной звезды. ||||
hc74|Вы нашли цену Какстона Фроста. Хорошо. Он уже начал... ремонтировать эту крепость. Очевидно, он... довольно хорошо знаком с её устройством.||||
p107|Насчёт моей миссии...||||
hc75|Что вы... хотите узнать?||||
p108|Что мне делать дальше? ||||
hc76|Вы должны поспешить в [[Шаткую Башку]] в [[Хэллоу Таун]], чтобы встретиться с Джеком Базальтом.||||
hc77|Следуйте по дороге на юг, через [[деревню Пвилл]], и перейдите [[Мостовые Ворота]]. Это приведёт вас в [[Хэллоушир]]. ||||
hc78|Теперь, когда вы поговорили с Базальтом... вы должны знать, где найти остальных трёх [[наёмников Тёмных Звёзд]]. Найдите их. Допросите их. И приведите... сюда. ||||
hc79|Эмберианский Рыцарь... была правой рукой Велы, и её боевые навыки... намного превосходили навыки опытного мечника. ||||
hc79b|Сообщения указывают на её местонахождение в Хэллоушире, так что... расспросите в [[Хэллоу Таун]].||||
hc80|Какстон Фрост был археологом... для [[Королевства Механизмов]], прежде чем продал свой интеллект Тёмным Звёздам. ||||
hc80b|Мы не нашли его... но он мог вернуться к своему Королю, далеко на [[востоке]].||||
hc81|Герцогиня... была могущественной шифровальной ведьмой. Проклятая вечной жизнью, как и все её родственники.||||
hc81b|У нас есть сообщения, что она вернулась... в [[Земли Вечных]], на [[западе]].||||
hc82|ПОДЗЕМЕЛЬЯ 1||||
hc83|ПОДЗЕМЕЛЬЯ 2||||
hc84|ПОДЗЕМЕЛЬЯ 3||||
hc85|КАТЕР 1||||
hc86|КАТЕР 2||||
hc87|КАТЕР 3||||
hc88|КОЛЫБЕЛЬ 1||||
hc89|КОЛЫБЕЛЬ 2||||
hc90|КОЛЫБЕЛЬ 3||||
p109|Расскажите мне о Веле Каллос. ||||
hc91|Это имя... внушает страх и почтение по всем Небесным Землям. Её наёмная банда... [[Тёмные Звёзды]]... свергала тиранов, разжигала восстания... ((убивала богов)). ||||
hc92|<<Она с трудом втягивает воздух.>> Даже та... что так важна для всего механизма Инквизиции, как я... способна питать ((восхищение)) этой девчонкой и её свершениями. ||||
hc93|<<Вы слышите глухой удар изнутри гроба.>> Но эта женщина ((предала)) нас. Она могла свершить... ещё ((большее)). Вместо этого она волокла нас по грязи в погоне... за тёмными, зловещими знамениями. ||||
