cae|||||
ID|English|French|German|Spanish|Italian
hc15|The Dark Stars were tolerated in the Union, until Vela became enthralled with... delusions of grandeur. Claimed she could create... some sort of ((heaven)). ||||
hc16|((Vela Callose?)) This is suicide! ||||
hc17|Not so. It is true that our agents have met with... fierce resistance. But my drones calculate a... one in three-hundred-and-sixty-four chance of success. It's ((entirely)) possible. ||||
hc18|Before you go, take this [[Inquisition Journal.]] ## <<A mechanical arm thrusts a peculiar device in your direction.>>## It will keep track of your mission. ||||
hc19|My [[drones]] can offer guidance. And closer to the Blinding Light, [[Inquisitor Ignavus]] can assist you further. ||||
hc20|Oh and... don't try to run. These [[flying islands]] are... unstable, and many a fool has fallen to their death.||||
coop1|<<As you approach, the Inquisitor takes in a deep breath of air.>> Do you ((smell)) that, Prisoner XVII?||||
p20|Uh... Engine grease?||||
coop2|<<He shakes his head.>> These Inquisition ships run on odourless cipher magic; state of the art from those boffins at the Erudite Academy.||||
coop3|No, I was actually talking about... <<he breathes in.>> ((mushroom spores)).||||
p21|Uh... The smoke of battle?||||
coop4|<<He sniffs exactly twice.>> I suppose there ((is)) a hint of that.||||
coop5|But I was actually talking about... <<he breathes in.>> ((mushroom spores)).||||
p22|Uh... Mushrooms?||||
coop6|<<He clicks his fingers.>> ((Exactly))!||||
coop7|<<He turns to you, a beaming smile across his face.>> ##I've never seen this many mushrooms in my ((life.)) ||||
coop8|Such wide stalks. Such healthy gills. <<He takes a long breath.>> Ah, and such ((potent)) spores! ##We have mushroom forests back home in Lundel, but nothing like this.||||
coop9|<<He waggles a finger at you, while turning his gaze back at the mushrooms.>> ##Prisoner XVII, if you get back alive, remind me to get a batch of [[Scryshroom Tea]] for my wife. They make it here in the Oneiric Isles, and I hear it's to ((die)) for.||||
p23|Um, okay.||||
coop10|<<He slaps you on the shoulder.>> That's damn good of you, Prisoner. ##Ah, but where are my manners?||||
p24|Um, no.||||
coop11|<<He frowns.>> You know, you're right, Prisoner. We've not even been introduced and I'm already asking for favours. That was damn impolite of me.||||
p25|Um, who are you?||||
coop12|<<He slaps himself on the forehead.>> Ah, where are my manners?||||
coop13|<<He holds out his hand in greeting.>> ##Inquisitor Ignavius of the Twelfth Inquisitorial Tribunal, pleased to make your acquaintance. ||||
p26|((Shake his hand firmly.))||||
coop14|<<He grips your hand with an equal firmness.>> I see I'm in good company, Prisoner. ||||
p27|((Slap his hand away.))||||
coop15|<<He laughs.>> A classic ((Slevian Slap)). Well, it'll do. ||||
p28|What are we ((doing)) here, Ignavius?||||
coop16|<<He pulls his hand back.>> Hmph, straight to business, eh Prisoner? So be it.||||
coop17|<<He points at the fortress ahead.>> That's the [[Blinding Light]] - the fortress of Vela Callose, leader of the Dark Star mercenaries. ||||
coop18|The High Confessor told me you'd be joining the assault. And not a moment too soon - we need all the help we can get.||||
coop19|I've sent all my agents, but so far none have reported back. We expected heavy fighting, but it seems those Dark Star ruffians are a tougher bunch than we gave them credit for. ||||
coop20|Your orders are to [[capture Vela alive]]. A tall order, I'll admit - but I think you're up to the job, Prisoner. ##So - any questions?||||
p29|How do I get to the Blinding Light?||||
coop21|Why, do you see that great big [[cannon]] looming overhead? That's part of the Blinding Light fortress, and is where you need to get to.||||
coop22|Just stride into that main gate, making sure to slay any pesky Dark Stars that get in your way. Once you're in the compound, find a [[lift mechanism]] that will take you up the [[battlements]]. That's where Vela has been holed up. ||||
p30|Is there a way I can avoid bloodshed?||||
coop23|Ah, the ((sneaky)) sort, are we? Well, you're in luck. My agents reported that there's a [[side entrance]] to the right of the fortress, which leads into a maintenance tunnel of some sort. I'm sure the Dark Stars laid plenty of [[traps]], but surely nothing you couldn't disarm with a deft hand, eh?||||
coop24|Once you're inside, you could try and [[avoid detection]] by keeping to the walls. These old God War forts have plenty of nooks and crannies, so just... <<he puts a finger to his lips,>> keep quiet and out of sight, yes? ||||
p31|What if I want to practise my combat skills?||||
coop25|Ah, well we established a small boot camp of sorts, just here! I always make sure to remind my combat echelon of the fundamentals before a tricky mission, so you'll find plenty of [[target dummies]] and [[tutorial signs]] just below.||||
p32|I need to know more about Vela and this mission.||||
coop26|<<He nods.>> Yes, I'm sure you have plenty of questions. What do you want to know?||||
p33|Okay, I guess I'll get going.||||
coop27|<<His smile beams.>> Ah, that's the spirit, prisoner. I'm sure you'll make short work of those ruffians.||||
coop28|And when you're done, be sure to [[check in with me]] after the mission. I've taken quite an interest in these Oneiric Isles of late, and I'm sure I can fill you in with plenty of [[useful tidbits.]]||||
coop29|<<He grins.>> Inquisitor Ignavius of the Twelfth Inquisitorial Tribunal, pleased to make your acquaintance.||||
coop30|As the Second Inquisitor of this tribunal, you can address me with any queries that may be too ((trifling)) for the High Confessor's attention. Together, I'm sure we'll catch this Vela scoundrel in a jiffy. ||||
coop31|<<He takes in a deep breath.>> And in the meantime, we can bask in this delightful countryside. There are such ((potent)) spores here! I bet the [[Scryshroom Tea]] is to ((die)) for.||||
coop32|Ah, Confessor XVII! I just ((knew)) you'd survive the assault. The drones were all but ((certain)) you'd meet a gruesome end, but you sure showed them, eh?||||
coop33|Greetings, Confessor! Have you stopped in for a little chat? How delightful. ||||
coop34|<<He grins.>> Inquisitor Ignavius of the Twelfth Inquisitorial Tribunal, pleased to make your acquaintance.||||
coop35|Terribly unfortunate business with the High Confessor, eh? I always thought she was a damn fine woman, but who'd have thought she'd have such ((skeletons)) in her coffin? Uh, I mean closet. Bad choice of phrase, there.||||
coop36|Anyway, it looks like I'm the acting High Inquisitor of this tribunal, while this matter is reserved. Quite the responsibility, eh? I might need some wine to steady my nerves...||||
coop37|As for ((your)) duties? Uh... well... I would simply carry on with what you were doing, uh... whatever that was. ||||
coop38|Confessor, the drones have informed me that there's been an awful lot of commotion in the lower decks - as if some of our guests have been ((preparing)) for something. But of course, I told them you couldn't possibly be organising anything, as our orders are to stand down for the foreseeable future! ||||
coop39|Anyway, just keep the racket down, you hear? I know it's terribly ((boring)) waiting around like this, but if you could keep your strange hobbies ((away)) from the ship? Much obliged. ||||
coop40|Ah, Confessor XVII! All going well, I hope? ||||
coop40b|Ah, Prisoner XVII! All going well, I hope? ||||
p34|I got you some Musroom Wine. ||||
coop41|Confessor! This is entirely unexpected. How thoughtful of you.||||
coop42|<<He removes from his belt a tiny metal goblet. He uncorks the wine and gently pours it before taking a sip.>>||||
coop43|<<He frowns, and is silent a moment.>> ##Confessor, this is... ((excuse me))...||||
coop44|...((Damn)) fine wine! ||||
coop45|<<He takes another sip.>> I've tried an extraordinary number of vintages in my time, and this - this is one of the best.||||
coop46|My wife is going to love it. Please, take this in recompense.||||
p35|About the mission...||||
coop47|Ah, yes! What about it?||||
p36|Tell me about Vela and the Dark Stars. ||||
coop48|Vela Callose. Now ((that's)) a name that'll make hairs stand on end.||||
coop49|She's the daughter of old Admiral Callose of the Apostatic Union Navy - but instead of following in her father's footsteps, she founded the most accomplished mercenary band since the God War.||||
coop50|Sure, she's currently the most wanted criminal in the Union. But you've got to hand it to her - for years, the Union itself relied on Vela and her Dark Stars to do the jobs the Navy were unwilling - or ((unable)) - to do themselves. ||||
coop51|<<He sighs.>> It's a pity she turned down such a dark path. In the later years of the Dark Stars, their number of villainous deeds far exceeded those of noble intent. ||||
p37|What of the Dark Stars' villany, then? ||||
coop52|Well, there was the Astral College heist in Byonne, where they made off with an ((artificed star)) among other priceless treasures. ##Then there was the sinking of the merchant freighter Popinjay, and all those hostages slaughtered at the Siege of Saracolco... ((I could go on)).||||
coop53|In the end, they say she lost the plot. Started yammering about some sort of ((heaven)). The Inquisition ruled this was tantamount to cultism - ((Article CXII, claims of a religious nature)) - and warranted her arrest.||||
coop54|Of course, I think the Polymaths over in Riova had wanted her gone long before all this. Got too big for her boots, and finally they had their warrant. ##Even Vela's ((own)) mercs got so riled up they mutinied against her.||||
coop55|She's been hiding out here for years, but the Inquisition finally got the go-ahead to make a move - so here we are.||||
p38|Thanks for the info.||||
coop56|Of course. Was that all?||||
p39|Why are you using prisoners like me?||||
coop57|<<He grins.>> Ah, because rigorous labour is a tonic for the ills of one's ((mind))! ||||
coop58|We're not like some common judiciary back in Union homeland, where prisoners are thrown in a pit with a scrap of mouldy bread, no matter their crime.||||
coop59|<<He taps his forehead.>> We recognise the ((twisted intellect)) of our guests. And if we can ((un))-twist that reason with the right application of punitive employment, we will have enlightened the world, just a little.||||
coop60|<<He clears his throat.>> We're also authorised to use any method at our disposal when a mission is going... Ah.. how do they say it in Slev? ((Udders up)).||||
p40|What do you think of the High Confessor?||||
coop61|<<He strokes his chin.>> Many in the Inquisition think it a ((travesty)) that a Confessor - that is, a prisoner still serving their penance - has been granted control of an entire Tribunal. Normally, it would be the job of a High Inquisitor.||||
coop62|Indeed, there's also the ((nature)) of her crimes, and how they relate to the very criminal she has been tasked to apprehend...||||
coop63|But personally? I think, despite her ((quirks)), she's proved herself as one of the most accomplished agents within our ranks.||||
p41|That's all I wanted to know.||||
coop64|Splendid. Was there anything else?||||
p42|I had questions about the Skyrealms. ||||
coop65|By all means, ask away. ||||
p43|Tell me about the Apostatic Union. ||||
coop66|<<He glanced you up and down.>> Well surely you've ((been)) there - Union ((heartland)), I mean?||||
coop67|Well, the Union is the most ((civilised)) place in the Skyrealms since the World Rend. You may not agree, but to my mind it's the truth.||||
p44|What's its history?||||
coop68|For the past four hundred years, the skyrealms have been under the control of the Wikkan covens and their gods. It may be true that some preached tolerance - but others were tyrants who twisted their poor followers into cruelty and ignorance. This you cannot dispute.||||
coop69|You see, the Wikkans acted no different from the worst Slevian cartels. They forbade the weaving of cipher magic and the advancement of reasoned debate. They locked us in blood-contracts with gods who stunted our advancement.||||
coop70|But forty years ago, in the God War, the Apostatics cast off our shackles. ##<<He sighs.>> It's true that a lot of blood was spilled - both mortal and divine. But now, in Union territory, reason and discourse have replaced ignorance and fear.||||
p45|What's Union heartland like?||||
coop71|<<He sniffs.>> Well, depends where you go. I'm from Lundel - a place full of windswept hills, soggy marshes and crumbling castles, circled by a blue neuron star. We also have a... ((weakness)) for ale.||||
coop72|There's also Byonne, known for its universities and fine wine, and Slev - a rugged, wet land where criminal elements are rife.||||
coop73|But many would consider the most important Union realm to be Vena. It's a warm, beautiful archipelago full of orchards bathed in yellow starlight, and home to the Union's most important city - Riova.||||
coop74|Riova is where the Union council of Polymaths meet. It's a city full of floating houses all strung together with bridges and ropes, with gondolas drifting between them. When you're in the middle, it's said you can't see a hint of sky; there's buildings in every direction.||||
coop75|But wherever you go in the Union heartlands, there's nowhere as rugged and ((wild)) as this. ##<<He takes a lungful of air.>> Ah! Nary a sewer for miles.||||
p46|That's enough about the Union.||||
coop76|<<He nods.>> Anything else?||||
p47|Tell me about the Oneiric Isles.||||
coop77|Well, the Oneiric Isles are the archipelago we're on now. It's always been at the fringe of Union territory, and has only recently had a regional council installed in Hallowshire.||||
coop78|But there are also islands outside of Union control. To the east lies the Clockwork Kingdom, ruled by a machine monarch - while to the west lies a rather frightful place of undying souls, known as the Endless Realm.||||
p48|Tell me about Hallowshire.||||
coop79|Though Hallowshire has technically been under Union control since the God War, it's been somewhat... ((neglected)) until recently. ||||
coop80|That means there's still cultists lurking among the hills, not yet flushed out. There are even whispers of ((gods)) lurking in nasty nooks and crannies.||||
coop81|But, no need to worry. A Union Council chamber has just been built in Hallow Town, and this place now has its very own Polymath! With such an esteemed education, she'll have this place sorted out in no time.||||
p49|Tell me about the Clockwork Kingdom.||||
coop82|Hmph, well the less said about that place, the better. It used to be known as [[Kardova]], and during the God War they aided the apostatics in overthrowing the Wikkans and their gods. They even made the Blinding Light fortress, as well as many other war machines.||||
coop83|But they always were a little big for their boots. Despite having the best alchemists and aetherists in the Skyrealms, they got the mad notion of making some sort of ((magical utopia)) where every foolish peasant could cast a spell. Utter nonsense, I say.||||
coop84|Only, for a while it seemed like the buggers actually got it to ((work)). The stuff that was coming out of the newly formed Clockwork Kingdom was making even the Erudite Academy scholars blush with envy!||||
coop85|At least, until their mechanical King went mad, and threw the whole place into chaos. Now it's a frozen wasteland full of malfunctioning robots and rotting crops. ||||
coop86|Which is a ((damn)) shame, because there was a lovely little teahouse in Ferropolis that my wife ((adored)). Ah, well. ||||
p50|Tell me about the Endless Realm.||||
coop87|Did you ever hear the stories of the Cadaver Crusades? Led by those nasty ghouls that plundered the living to eat their flesh? <<He visibly shivers.>>||||
coop88|Well, turns out those weren't just stories. Those monsters actually ((exist)), and have a little kingdom right over yonder, ruled by their so-called Queen of Silver! I tell you, you couldn't make it up. ||||
coop89|Last I heard, they packed in all that flesh-eating business, and started farming some sort of... ((mindless meat)). Fancy that - ghouls with a conscience!||||
p51|What island are we on now?||||
coop90|Oh, this little isle is known as [[Pwyll]]. Just a handful of mushroom farmers here, really - but its remote location has always made it a haven for smugglers and pirates.||||
coop91|Perhaps that's why Vela came here to lick her wounds, after the Dark Start mutiny. ||||
p52|That's all I wanted to know about these islands.||||
coop92|Very good. Was there anything else? ||||
p53|Tell me about yourself. ||||
coop93|Me? Oh, there's not much to tell - I'm just a humble servant of the Apostatic Union. ||||
coop94|Time ago I was a councillor, would you believe. Only... a rather ((embarrassing incident)) involving a lost shipment of hallucinogenic scryshrooms saw me... ((ahem)) demoted to a less public facing role.||||
coop95|So here I am, working for the esteemed Inquisition. Only, one can't help if their thoughts often drift to home comforts, eh? I have a lovely little cottage back in Lundel with my wife. One day I'll pack all this in, and get back to growing button caps in my garden. ||||
p54|That's all the questions I had.||||
coop96|Excellent. Now, will there be anything else?||||
p55|Goodbye.||||
coop97|Best of luck out there. ||||
p56|I got you some Scryshroom Tea.||||
coop98|Ah, Confessor! This is exactly what I was looking for. How thoughtful of you.||||
coop99|<<He removes from his belt a tiny metal teapot. He slips some loose tea in the filter, and to your surprise, you notice it already contains boiling water.>> ##If you would be so kind as to wait a moment, Confessor - I really must let this brew.||||
coop100|<<You wait for an uncomfortable few minutes, in total silence, while the Inquisitor stares at his miniature teapot.>> ##<<Finally he seems satisfied. He pours the liquid into a cup and takes a sip.>>||||
coop101|<<He frowns, and is silent a moment.>> ##Confessor, this is... ((excuse me))...||||
coop102|...((Damn)) fine tea!||||
coop103|My wife is going to love it. Please, take this in recompense.||||
coop104|<<He takes another sip.>> I've tried an extraordinary number of teas in my time, and this - this is one of the best. ##My wife is going to love it. Please, take this in recompense.||||
coop105|<<Beads of sweat appear on the Inquisitor's forehead, and he seems to be staring at something only he can see. He mutters to himself,>> ((Damn fine tea, indeed...)) ##<<You think it is probably best to leave him be.>> ||||
coop106|Ah, Prisoner XVII, I believe you are wanted by the [[High Confessor.]] Best not to keep her waiting, yes?||||
coop107|But by all means, come back and speak to me afterwards; we've much to discuss. ||||
p57|About that tea you wanted...||||
coop108|Yes - [[Scryshroom Tea]], for my wife. They make it here in [[Pwyll Village]], just south down the road from the Blinding Light fortress. ||||
coop109|Ah, that's very good of you, confessor - but let's wait until this assault is over, yes? Come meet me in the [[Blinding Light]] once we've apprehended this Vela woman.||||
p58|What was that tea, again?||||
p59|Never mind.||||
agentCruel1|Oh, it's ((you.)) ##The [[High Confessor]] wants to speak with you, up on the platform.||||
agentCruel2|<<He mutter under his breath,>> ((Though what she sees in a wretched prisoner is beyond me.))||||
agentCruel3|So, she gave you the rank of [[Confessor]], eh? Well, I suppose we'll be working together, then...||||
agentCruel4|Just remember - the rank of Confessor will stick to you like a birthmark. It marks you as a ((prisoner)), seeking penitence through duty. Even ((she)) cannot escape that tainted rank. ||||
agentKind1|<<You catch a beaming smile behind the agent's visor.>> Ah, so you're the one who squared up to Vela? And to think, we had you locked in a cell!||||
agentKind2|<<The agent chuckles.>> Well, you really showed ((us)) how it's done. ##Anyway, I think the [[High Confessor]] wants to see you. I wouldn't keep her waiting...||||
agentKind3|Oh, if it isn't our newest Confessor! <<She bows her head politely.>>||||
agentKind4|I'd love to help you with your mission, but I don't have the security clearance to know all the ins-and-outs. You should speak with [[Inquisitor Ignavius]], on the platform opposite the High Confessor. ((He'll)) know what to do. ||||
caerAgent1|Hmph, you the one they sent from the Twelfth Tribunal?||||
caerAgent2|Like I told my handler, it's just a Class F godlet - ((our)) tribunal has this under control. No idea why we have to wait for some fool from your bunch of prisoners and misfits. ||||
caerAgent3|<<He shrugs.>> I mean, ((no offence)).||||
hc50|<<The High Confessor is giving orders to the agents around her; pointing with her mechanical limbs and shouting between bouts of coughing. Eventually, she notices you.>>||||
hc51|Ah! Prisoner... XVII, wasn't it? Our drones... have been tracking you. It seems that Vela has escaped.||||
p100|I couldn't apprehend her. I failed. ||||
hc52|<<A high-pitched laugh reverberates through her coffin.>> ##Nonsense. I was certain... you would be cut into tiny pieces. It's astounding you made it this far.||||
hc53|But your sentence... still stands. You may yet prove your usefulness. ||||
p101|I played your little game. Will you let me free? ||||
hc54|<<The device shifts ominously towards you.>> ##Need I remind you, ((prisoner)), that your sentence remains unfulfilled? ||||
hc55|We must... ascertain where Vela has fled to. Luckily for us, I know... just who we can ask.||||
hc56|<<She laughs to herself, but this turns into a pained series of retches. After a moment, you think she may have vomited.>> ## Excuse me. ||||
hc57|The Oneiric Isles are home to a number of [[former Dark Star mercenaries.]] ||||
hc58|My superiors would rather I ((executed)) them, but... <<She is silent a moment.>> ##...They are of more use to us ((alive.)) If anyone knows where Vela went, ((they)) will. ||||
hc59|I would start with [[Jack Basalt]], a former Navy captain turned sellsword. We have already contacted him and arranged... a meeting. ##You can find him at the [[Wobbly Noggin pub]] in [[Hallow Town]], in the centre of the Oneiric Isles.||||
hc60|Basalt has promised... to direct us towards his comrades, in exchange for the Polymath's Pardon. He can help you find... the others. ||||
p102|Got it.||||
p103|Which way is it to Hallow Town?||||
hc61|Follow the road south, through the [[village of Pwyll]], and cross the [[Gatebridge]]. This should get you to [[Hallowshire]]. ||||
hc62|You will need to acquire an [[Apostatic Union Passport]] to cross the bridge. I wish I could grant you one myself, but... we are undersupplied. ##Perhaps the locals in the [[village of Pwyll]] could help you. ||||
p104|Why ((me)), of all your agents? ||||
hc63|The Dark Stars... are deeply mistrustful of the Inquisition. You could say... we've had a few run-ins in the past.  ##As one of our newest and most... ((amenable)) operatives, you may have better luck than another of my agents. ||||
hc64|Good. And be ((careful.)) These islands are on the very fringe of Apostatic Union territory. There may be worshipers, or even ((minor gods)) who have fled the Union's purges tucked away here. The only assuredly faithless place is [[Hallow Town]]. ||||
hc65|And beyond Hallowshire's borders, there is... ground even Union boots won't tread upon. ##To the east, the [[Clockwork Kingdom]] is in full-blown crisis. While the people of the [[Endless Realm]], to the west, are cursed to never die. ||||
hc66|My tribunal will establish a command post in this fortress, the [[Blinding Light.]] Return here to recuperate, if you wish. ||||
hc67|Oh and, one more thing... ||||
hc67b|From now on, you'll be known as [[Confessor XVII]]. This doesn't change your crimes, or your sentence... but it sounds a little better than 'prisoner', eh? ||||
p105|Okay, I'll be going. ||||
hc68|Farewell... Confessor. ||||
p106|I have some questions...||||
hc69|Very well.||||
hc70|Welcome back, Confessor XVII. ||||
hc71|So you found Captain Basalt? To think that the shame of the Union Navy is... working for the Inquisition. If you had told me five years ago... <<She chuckles.>>||||
hc72|You found the Emberian Knight? Well done, Confessor. There are few... that can match her swordplay. She'll be an asset indeed. ||||
hc73|The Duchess has arrived, thanks to you. Even in this thing I can sense her power. Cipher radiates from that woman... like light from a neuron star. ||||
hc74|You found Caxton Frost's price. Good. He has already set about... repairing this fortress. Evidently he is... quite familiar with its workings.||||
p107|About my mission...||||
hc75|What do you... want to know?||||
p108|What do I do next? ||||
hc76|You must hurry to the [[Wobbly Noggin]] in [[Hallow Town]], to meet with Jack Basalt.||||
hc77|Follow the road south, through the [[village of Pwyll]], and cross the [[Gatebridge]]. This should get you to [[Hallowshire]]. ||||
hc78|Now that you've spoken with Basalt... you should know where to find the other three [[Dark Star mercenaries]]. Find them. Interrogate them. And bring them... back here. ||||
hc79|The Emberian Knight... was Vela's second in command, and possessed combat skills... far beyond a seasoned swordsman. ||||
hc79b|Reports place her in Hallowshire, so... ask around [[Hallow Town]].||||
hc80|Caxton Frost was an archaeologist... for the [[Clockwork Kingdom]], before he sold his intellect to the Dark Stars. ||||
hc80b|We've no sign of him... but he may have returned to his King, far to the [[east.]]||||
hc81|The Duchess... was a fearsome cipher witch. Cursed with an endless lifespan, like all her kin.||||
hc81b|We have reports that she has returned... to the [[Endless Realm]], in the [[west]].||||
hc82|UNDERLANDS 1||||
hc83|UNDERLANDS 2||||
hc84|UNDERLANDS 3||||
hc85|CUTTER 1||||
hc86|CUTTER 2||||
hc87|CUTTER 3||||
hc88|CRADLE 1||||
hc89|CRADLE 2||||
hc90|CRADLE 3||||
p109|Tell me about Vela Callose. ||||
hc91|That name... commands fear and respect, across the skyrealms. Her mercenary band... the [[Dark Stars]]... have toppled tyrants, spurred uprisings... ((killed gods)). ||||
hc92|<<She takes in a strained breath.>> Even someone... as integral to the machinery of the Inquisition as I... can muster ((admiration)) for that girl, and her achievements. ||||
hc93|<<You hear a thump from within the coffin.>> But that woman ((betrayed)) us. She could have done... even ((greater)) things. But she dragged us through the mud chasing... dark and ominous portents. ||||
hc94|Her delusion... of making some ((heaven)) in these skyrealms... will be the end of us all. The Union Navy wants her apprehended. ##But if I... get my claws on her... she will not survive 'till the morrow. ||||
p110|Tell me about the Inquisition.||||
hc95|We are an elite arm of the... Apostatic Union. Specialising in... espionage, intelligence and... counterworship. ||||
hc96|As you know, to be apostatic is to... renounce one's faith. We threw off the shackles of our gods... in the [[God War]], some forty years ago. ||||
hc97|But though the flames of war... have subsided, there are still lingering threats. Wikkan covens... lurk in dark corners of the Union. Their priests... nurture shrivelled godlets and perform... foul consecrations.||||
hc98|Each division of the Inquisition... is known as a tribunal. One hundred operatives, plus... serving prisoners and drones. We have full authority... to enforce Union law, how we see fit. ||||
p111|That's all.||||
hc99|Very... good. ||||
p112|I wanted to ask you something.||||
hc101|Very well, but... <<With a shudder, the machine squats slightly. >> ## You'll have to speak up. It is most... echoey in here. ||||
p113|What's with this fortress?||||
hc102|Its name... is the [[Blinding Light]]. ##It was a God War fortress, some forty years ago. A marvel of Kardovan engineering. That giant cannon... blasted voidsteel spears through the heart of many a god. ||||
hc103|At the height of the Dark Stars' infamy, Vela Callose procured... this fortress. Restored it... from a heap of scrap. For the past few years, since the Dark Stars mutinied against one another, Vela has been hiding here. ||||
hc104|Believe it or not... I have been here before, long ago. It is... strange, to be back.||||
p114|Why are you in that metal coffin? ||||
hc105|You are not... the only member of this tribunal... to have betrayed the Apostatic Union. ||||
hc106|In my former life I committed... heinous crimes. <<She lets out a metallic sigh.>> ##Unlicenced... spellweaving. Conversing... with gods. Abetting... armed conflict. I could go on. ||||
hc107|This iron coffin is an honour, a ((privilege)). The pain it delivers... the ((exquisite)) torment... sharpens my reason. ||||
hc108|And... it was specially designed... to insulate my mind. Lest I hear the gods' cruel whispers... and forget my penance. ||||
p115|If I say I saw a ((ghost)), would you think I was crazy?||||
hc109|<<The machine hesitates.>> What... did it look like?||||
p116|A young woman, in a cloak.||||
p117|Very... spectral. ||||
hc110|<<The High Confessor is silent for a moment. When she speaks, she speaks slowly.>> ##Ghosts are traces... of trauma. Remnants of human suffering, lingering in the air...||||
hc111|...and the Oneiric Isles have known much hardship. The Endless Realm in particular... is infested with spirits. ||||
hc112|I would not... pay any heed... to the words of apparitions. They are tormented things and will... lead you astray.  ||||
p118|There's a ((god)) in this fortress. ||||
hc113|god1||||
hc114|god2||||
hc115|god3||||
p119|That's all.||||
hc116|Very well, Confessor. ||||
p120|I'll be going.||||
hc117|<<The machine nods jerkily, which you take to mean goodbye.>>||||
hc120|My... haven't you been busy? All of the former Dark Stars... have returned. ##<<She cackles and coughs.>> Just like... old times. ||||
hc121|Together we've conceived... a plan. According to Orlaith, Vela has fled to the [[Underlands]], and what's more, she knows ((where)). ##You will take these Dark Star criminals as your... companions. You will pursue Vela. You will ((not)) fail.||||
p121|I'll not go to the Underlands! That's a death sentence. ||||
hc122|<<She jabs a mechanical limb in your direction.>> And so what if it ((is))? Must I remind you... that you are still my ((prisoner))? ##You have explored these islands as ((penance)) for your crimes. And if I send you to your certain demise, you will do so gladly. ||||
p122|What's down there, exactly?||||
hc123|Centuries ago, the Emberians... built an empire of metal and magic, in defiance of the gods. It stretched across the world's surface... and humanity ((prospered)). <<She spits the word.>>||||
hc124|But four hundred years ago... the [[World Rend]] blasted that empire to dust. Only the Skyrealms... survived. All that's left down there... are cursed ruins, haunted by ghosts... and patrolled by mechanical horrors. ||||
hc125|The very air is poisoned... with a thick miasma. Traversing that place will be.. difficult. But I have the utmost faith that you will die nobly for our cause. You may even... ((succeed)).||||
p123|Okay. So how will we do it? ||||
hc126|Caxton Frost has finished repairing the [[Blinding Light]]. We can launch a small [[cutter airship]]... on an expedition to the Underlands. ||||
hc127|But first... I will let you do the honours... of [[activating the Blinding Light]]. ##Go to the main control panel... and set the alert... for battle stations. ||||
caer1|What do we have here? Another wretched soul caught in the Inquisition's web, no doubt.||||
caer2|Tell me, has your High Confessor sent you off to die?||||
p501|Yes.||||
caer3|<<A melancholic smile spreads across her lips.>>##She can be terribly cruel, can't she? ||||
p502|No.||||
caer4|So you're loyal to that absurd institution? You really are a lost cause. ||||
caer5|Before long, those Inquisition bastards will have locked up half the Skyrealms. And for what? Praying to a family deity? Having a little ((hope))?||||
p503|Are you... a ghost?||||
caer6|<<She smiles, gesturing at herself.>> Are you ((shocked)) by a little apparition?||||
caer7|<<Her gentle laugh seems to echo around you.>> My, my, you won't get far if that's the case. ||||
caer8|<<She gazes into the distance.>>||||
caer9|<<She gazes into the distance.>> ##Well stranger, you'd best watch yourself out there. Mark my words, something's brewing on these islands. The stage is set, the curtains drawn; and the performance is set to bring the house ((down)).||||
