NPC Name:|HallowQuests||||
vil1|Hmph. We don't get many travellers these days. Heed my words; I'd not tarry here long. Something is... amiss, here.||||
vil2|Most of the village died of plague, a while back. Since then, folk've been acting strange.||||
p40|What do you mean, strange? ||||
vil3|I mean strange. Folk started hearing things. Started ((seeing)) things. Some even started to... ((change)). Most have left for good.||||
p41|Who lives in that castle, up there?||||
vil4|That'd be the Duke. He used to be a fine fellow - but after the plague, folk saw him wandering alone at night in full armour, howling to himself like a beast. About a year ago, he locked himself in his castle and 'aint been seen since.||||
p42|Thanks. Farewell.||||
vil10|<<The villager's eyes are wide as he strokes his arms.>>||||
vil11|Do you see? Do you see what I've become? ## ... disgust myself.||||
vil12|There's something in the air. That disguises the truth. ##But... Jitterseed and Paradoxius. Blend them together - then your eyes will be truly open.||||
vil13|The nightmare has stopped. Is... is it finally over?||||
wik1|<<Tired eyes peer from a weathered face. The man wears the garb of a Wikkan priest, old and tatty.>>||||
wik2|Wh- what's this, an intruder? How did you get into the keep?||||
p43|There wasn't exactly anyone to stop me.||||
wik3|But, the royal guard...? Bah, deserters, deserters all. Then... I suppose the ruination of this place is complete.||||
p44|I've come to end this madness.||||
wik4|So, the facade has finally crumbled? I suppose I knew this day would come. The ruination of this place is complete.||||
wik5|I tried to wreathe this place in [[illusion magic]], to conceal  the decay, but... there is only so much a simple charm can do.##The castle rots, its bones laid bare.||||
p45|How fares the castle?||||
wik6|So, the Duke's son offered to bear the sacrificial burden? This brings me much sadness; he is a kind soul, not deserving of such torment.||||
wik7|But perhaps... It is for the best. Even now, the villagers return to normality.||||
wik8|The Duke is dead? So then, the contract with Paeguth is severed. The madness has ended, but I fear the plague will take an even heftier fee.||||
p46|What's wrong with this castle?||||
wik9|<<The man lets out a long, haggard sigh.>> ##A dread bargain. It was supposed to save these people, not to... <<he gulps.>> Not to doom them.||||
wik10|Some years ago, this castle was beset with a terrible plague. Even the Duke's son was afflicted. The Apostatic Union wouldn't help, so the people turned to a local god. But Paeguth demanded tribute...||||
wik11|...so, my coven sent me to facilitate a contract. Paeguth's spell would be sustained by a sacrifice. ##A sacrifice not of life, but of ((pain)).||||
wik12|The Duke obliged. Even now, a poison engulfs him in perpetual agony, so that the plague may be kept at bay. But his life force weakens, the god's spell finds new ways to take due payment, and the isle grows ever more cursed.||||
wik13|I have deliberated for many months on what to do. My conscience is heavy with the weight of it. But for things to change, something awful must occur.||||
p47|There must be a way to resolve this curse.||||
wik14|Hmph. Resolution? It is a... comforting thought, I admit. ||||
wik15|Behind that painting lies a secret room. It holds a [[sacrificial poison]], the same one that flows through the Duke's veins.||||
wik16|The dosage is exact. An overdose would be lethal. If the Duke were to drink more, he would die, voiding the contract entirely.  ##The madness would end, but the plague would return. ||||
wik17|But there is an alternative. If a second sacrificial victim could be found, the god would be satiated. Equilibrium could be established once more, though Paeguth's taint would never fully vanish.||||
wik18|But I grow weary of this business. I do not have the heart to inflict more pain.||||
p48|@@I could administer the poison, on your behalf.||||
p49|I found the poison. I could administer it, on your behalf. ||||
wik19|%%<<He is silent a while.>> ##Perhaps... perhaps that is the wisest choice?||||
wik20|My indecision has let this castle rot. Perhaps you could be the one to save it. Very well, I will open the door to the poison. ##The Duke is at the top of the keep. To enter, you must walk through an illusory wall.||||
wik21|&&A kind offer, but this burden is mine alone. I could not in good conscience let you do this.||||
p50|You're a Wikkan, no? Why are you here?||||
wik22|Hmph, well I suppose there's no point in hiding it. That would be an insult to us both.||||
wik23|I am an emissary of the Wikkan Coven of the Worm, sent to oversee godly contracts. Even a simple prayer to a lowly deity can be a dangerous thing, and a Wikkan priest can act as a... middleman, of sorts.||||
wik24|Of course, these days it is a dangerous business. Since the God War our covens are scattered and secretive. Each one of us could face a terrible death were the Union to find us.||||
wik25|Unless things change, it is only a matter of time before the inquisition finds me here. I will, of course, be tortured. I will, of course, tell them everything. If I had the courage I would end my life now, but I am a coward.||||
wik26|Ahem. Was there anything else?||||
p51|Farewell. ||||
duke1|<<Pained groans emanate from the helmet. The man writhes, clearly in agony. He does not seem to notice your presence.>>||||
duke2|<<Seeing you, the man lets out a dreadful howl, which reverberates through the castle walls.>> ##You... condemned my son... to this fate?||||
duke3|I would... kill you... if I could.||||
p52|Uh... Greetings?||||
duke4|<<The man inhales sharply, his head slowly turning towards your own.>> ##I am... the Duke of Hallowshire. State... your business.||||
p53|What's wrong with you?||||
duke5|<<For a moment, the Duke simply releases a pained moan.>>##I am... offering a sacrifice, of my own... ((pain...)) so that my dukedom, and... my son... may live.||||
p54|Uh, can I help?||||
duke6|Only... that bastard Wikkan... may help me now.||||
p55|I have the Wikkan's poison. I could end your pain.||||
duke7|<<For a moment there is silence, but for the Duke's hoarse breathing.>>||||
duke8|For so long... have I ached for death. Though it may doom my dukedom... I am too weak... to refuse. ##Please... kill me.||||
p56|<<Poison the Duke.>>||||
duke9|<<You slip the vial past the Duke's helmet and let the liquid trickle past his lips. After a moment he begins to shake violently, his armour rattling.>>##<<And then he is still. >>||||
p57|Actually, I've changed my mind.||||
duke10|Damn... you...||||
p58|You're... clearly busy. Farewell.||||
dson1|Greetings. I don't often get many visitors up here. ||||
dson2|I am Thomas Harwicke, son of the Duke of Hallowshire. Pleased to make your acquaintance. ||||
p59|There is something very wrong here.||||
dson3|Indeed. We are trapped in a spell - a contract with the god Paeguth, negotiated by the Wikkan in this castle. So long as my father bears a burden of sacrificial pain, the castle and the surrounding village will be free from the plague.||||
dson4|Except... the spell has changed over time. As my father weakens, his subjects develop increasingly bizarre habits and deformities. Not dissimilar... to those monsters that roam the ruins to the west.||||
dson5|I'm fearful of the future. If I could lend my aid in some way, I would do so gladly. Even if it would mean bearing the pain that my father endures.||||
p60|I have a vial of poison, from the Wikkan.||||
dson6|Oh my... is this... the sacrificial poison? ##<<He studies the vial with curiosity.>>||||
dson7|Every day, I watch my father suffer. I feel useless by his side, unable to help. But with this... perhaps our conjoined sacrifices would repair the spell. Perhaps the land would be free from both plague ((and)) corruption.||||
dson8|I beseech you - let me partake of this poison. I would do my duty - to my father, and his subjects.||||
p61|<<Give him the poison.>>||||
dson9|<<The vial in his hand, he hesitates for a moment. Then, he drinks it in a single gulp.>>||||
dson10|<<For a moment, nothing happens. Then, he lets out a piercing scream.>>||||
dson11|Oh, Paeguth! What pain is this? The agony! The... aaarghh! ##Is this... what my father has endured? It is... unbearable. Unbearable!||||
p62|No, the burden would be too great. ||||
p63|Thanks. Farewell.||||
dson12|<<The man looks deathly pale, and boils cover his skin. He lets out a burst of coughs as you approach.>> ##Please... stay back. I am not well.||||
dson13|With my father's death, the curse has been lifted. But the plague... that has lain dormant in my blood... has returned.||||
dson14|Still... perhaps this is for the best. I would rather die free... than live cursed.||||
p64|Actually, I wanted to ask something else. ||||
dson15|Was there anything else?||||
dson16|I see...||||
servant1|Greetin's, stranger. If I were you, I'd leave this accursed place. Leave and not look back.||||
p65|What's wrong with this castle?||||
servant2|Can you not sense it? Hallow Castle has been stricken with a terrible curse. Foul creatures stalk the land while our Duke writhes in agony.||||
servant3|It all started when that [[damned Wikkan]] came to our aid. I'll tell ya, the ((plague)) was better than this...||||
servant4|If you insist on lingering, a word of advice: things are not what they seem. [[Those large paintings]] are mere illusion; you can walk right through them.||||
servant5|If you have some [[Jitterseed]] and [[Paradoxius]], you could brew a potion to see through the illusion. ||||
p66|Who are you?||||
servant6|Just a humble servant. The last in the Duke's employ, it would seem. Anyone with any sense has already fled.||||
p67|I'll be going.||||
servant7|Remember, stranger; [[The paintings]] are not what they seem.||||
servant8|So, the Duke is dead? ##At least his howls of pain will haunt these halls no more.||||
servant9|The horrors have subsided, of late. Did you have a hand in that, stranger? ##Though, these halls still echo with agonised cries. I fear we will never be truly free.||||
dstarDrunk1|<<The Dark Star mercenary languishes, an ale in one hand. She barely registers your presence.>>||||
dstarDrunk2|Hmph. So are you with the inquisition? Or some petty thief come to pick at our corpses?||||
dstarDrunk3|Hmph, back again?||||
p70|I'm hunting your leader - Vela Callose.||||
dstarDrunk4|Do as you please; I'll not hamper you. That wench has led us into enough trouble. ##<<She swigs the ale, most of it splashing down her face.>>||||
p71|I'm just passing through; I've no quarrel with you.||||
dstarDrunk5|Damn straight. Any funny business and I'll lop off your head. ##<<She swings an arm in a vague gesture, spilling her ale in the process.>>||||
p72|What can you tell me about Vela Callose?||||
dstarDrunk6|<<she squints at you, her head swaying from the booze.>> ## ...you can keep a secret, right?||||
dstarDrunk7|She leads the Dark Star Mercenaries, and so I'm supposed to tip my hat and call her 'boss'. But between you and me, she's gonna get us all killed. Maybe already has.||||
dstarDrunk8|She speaks of mad prophecies. Of breaking reality itself, to make some sort of deathless heaven. Nonsense and lies, the lot.||||
p73|@@If you don't care for Vela, let me in the storeroom below. ||||
dstarDrunk9|%%You know what - why do I always get the shitty jobs? Sure, you can loot the whole place, for all I care. That'll show Vela a thing or two. ((Hic.))||||
dstarDrunk10|&&It's true I've  no love for Vela; but it's another thing to betray the Dark Star company. They're still my... ((hic)) ...brethren. ||||
p74|I'll leave you to your ale.||||
shroomMan1|Breathe deep, stranger. Let the earthy scent fill your lungs...||||
p80|Smells awful.||||
p81|Uh... what am I smelling, exactly?||||
shroomMan2|How dare you! This is the finest scent in all the skyrealms. ||||
shroomMan3|Spores fill this place. I cultivate mushrooms - the most ancient and beautiful thing that grows from this earth. ||||
shroomMan4|With one shroom cap I could grant you wondrous visions. With another - an agonising death. It's no wonder the Wikkans covet them so. ||||
shroomMan5|Ah, the mushrooms foretold you would return. ##Although, they also foretold I'd give birth to my own father.||||
p82|Do you have any shrooms for sale?||||
p83|@@Can I see your mushrooms?||||
shroomMan6|%%Ah, a fellow connoisseur, I see? I'll unlock the door for you. Just don't go tamperin' with the lil' orange ones, unless you want your fingers to fall off. ||||
shroomMan7|&&Sorry, stranger. I can't just let anyone go rootin' around in my shroom farm. ||||
p84|What can you tell me about mushrooms?||||
shroomMan8|Before the World Rend, mushroom forests covered the planet; thriving in the dank shadows of the flying isles.||||
shroomMan9|They entwine together underground, formin' great colonies. When you look upon a vast mushroom forest, you might just be looking at a single, giant shroom.||||
shroomMan10|It's why the Wikkans used them to communicate with the gods. In the old times, they'd hollow out the greatest of them; using them as temples... spaces of truths and terrors. ||||
p85|I'll leave you to your shrooming. ||||
troll1|<<The creature looks at you from sunken eyes. It shifts behind its massive jaw; it appears physically incapable of lifting its head.>>||||
troll2|Be still, human. Only those who embrace their wretchedness may claim their second self. ||||
p90|Wait, what's a second self?||||
troll3|Long ago, the goblins of this forest perpetrated a heinous evil. To this day, their kind still bears the burden of this guilt.||||
troll4|So they carve themselves a new self, in the form of a mask. When the goblins wear these, they appear to be... altered. If it is by some magic, or merely an act, I cannot say.||||
troll5|We all carry some guilt, human. If you wish to acknowledge your own wrongdoings, you may claim a mask for yourself. ||||
p91|@@I have embraced my wretchedness. May I pass? ||||
troll6|%%You seem sincere in your penance. Very well, you may claim your second self. The door is open.||||
troll7|&&It is one thing to say the words, it is another to truly comprehend their significance. I do not believe you are ready, human.||||
p92|Who are you?||||
troll8|I am... one of the last of my kind. Most of us were killed long ago, and those of us that survived are... forever cursed. ||||
troll9|As you can see, I possess no grace. If I were to stand straight, my neck would snap. Moving even small distances is... difficult.||||
troll10|But still - I breathe, and that is enough. I have found peace in this forest, and the goblins protect me. ||||
orderMan1|<<The old man coughs violently, his body lurching with each expulsion. He spits blood and phlegm on the floor.>>||||
orderMan2|My life flickers, my vision is gone... who goes there? ##Are you the Third, come to relieve me?||||
p100|Who are you?||||
orderMan3|Oh, no, no... we cannot tell... cannot divulge. That would betray the code. Betray the order.||||
orderMan4|There are always three, you see - three and one. One to lead, the others to follow. But we cannot divulge our true names. No, we work in secrecy.||||
orderMan5|I have travelled the skyrealms for the Order, you see. Finding contacts, seeking buyers - striking trade deals...||||
orderMan6|I have visited lands scorched by the brightest neuron stars and desolate islands made of the most brilliant, beautiful ice. All in the name of profit. For the Order of Three and One.||||
orderMan7|<<The old man is still for a while - silent except for his strained, wheezing breath.>> ## ...I'm sorry, I must have dozed off. What was the question?||||
p101|@@Yes, I am the Third.||||
orderMan8|%%Then it is time. The One has finally replaced me. I will unlock the door, and you can claim your new guise.||||
orderMan9|&&Ah, but how can I be sure? Was there a password, or somesuch? Oh, damn this memory of mine...||||
p102|Rest easy, old man.||||
chainedGod1|Welcome to my prison, human. ## <<The words smash against your skull with dread portent. There's no mistaking it; you're speaking to a god.>>||||
chainedGod2|Ah, I sense it in you. That abject horror; that searing shock. Your heart beats so fast it might burst, human...||||
p110|Wait, did I... am I dead?||||
chainedGod3|<<The entity laughs; great pulses of eldritch energy reverberate through your bones.>> ##No, human - you are not dead. Not yet.||||
p111|How did I get here?||||
chainedGod4|You were moments from death. I plucked you from certain peril, as easily as your kind would pull a weed. ||||
chainedGod5|But it was not an act of kindness. I require something in return.||||
p112|I did not ask to be saved. ||||
chainedGod6|And I did not seek your consent. Make no mistake, human - your life means little. Without me, you would be just another pile of bones sinking into the dirt. ||||
chainedGod7|You will help me, or you will perish. ||||
p113|So what do you want?||||
chainedGod8|Vela Callose, in her ((arrogance)), chained me here in shackles of voidsteel. I wish to be free, and so she must die. ||||
chainedGod9|You hunt Vela, correct? Without my aid, your mission is futile; you will surely meet a gruesome demise.||||
chainedGod10|So I will save you. I will pluck you from the precipice of oblivion, again and again, until the deed is done.||||
chainedGod11|Welcome back, human.||||
p114|Who are you?||||
chainedGod12|How times have changed, that a human would ask such a thing.||||
chainedGod13|There were times, in ages past, when my shrines were in a thousand settlements. When every Wikkan knew my name. When my mind rang with the prayers of your kind.||||
chainedGod14|I will not stoop to introducing myself. But know this; There are still those loyal to me, who preserve my hidden shrines. It is to these places that I will summon you, should your death be imminent. ||||
p115|Why did Vela capture you?||||
chainedGod15|Why else? She craved my power. I am unique in the pantheon of major gods, as I can sense the moment of one's demise... and steal them from their fate.||||
chainedGod16|But in her arrogance, this was not enough; for I cannot revive someone who is long dead. There are no gods who can, save - perchance - the dreamers themselves.||||
chainedGod17|So she kept me chained here. Such is the sorry state of the world, that no followers came to save me. Not even the Wikkans came to my aid. ((Damn)) that cursed God War. ||||
p116|Farewell.||||
chainedGod18|Remember our bargain, human. ||||
paganScribe1|Did you see the huge statue, outside?||||
paganScribe2|It's an ancient Wikkan artefact. It was built long ago, before the World Rend. Back when only mad occultists dared set foot in the skyrealms.||||
paganScribe3|They may have been erected to mark important Wikkan ritual sites but... that is only a theory.||||
paganScribe4|Wikkans often [[disguise the truth of things]] with powerful magic, so it's incredibly hard to tell for sure.||||
bina1|<<The woman looks aged beyond her years, as if weighed down by an exhaustion that sleep can't cure.>> Are you fleeing Hallowshire too? We had the same idea, until our damned Steward went kaput.||||
p120|That I am. Do you know the best route out?||||
bina2|Wish I did, stranger. We're hoping anywhere is better than here. I'd offer you a ride, but... <<She gestures hopelessly at the machine.>> ##Maybe the Endless will take us in, though the tales we've heard of them chill the blood.||||
p121|Why would I be fleeing Hallowshire?||||
bina3|You're braver than we are, stranger. Or maybe you're new here? ##If it were only this [[famine]], we could manage. But between the Inquisition's crackdown and the anger they've stirred... <<she shivers.>> No, no. We've seen how this goes.||||
bina4|We came here six years ago from the [[Clockwork Kingdom]]. Leaving was the hardest decision of my life. We hoped Hallowshire would be a safer place for our children... and it was, for a little while. ##<<She sighs.>> I just wish...||||
bina5|<<A child's voice calls from inside the cart: "Ma! Ishtar's hidden Gobbie again!">> ##<<The woman shouts over her shoulder.>> Ishtar, you give that doll back right now or I'll come in there and make you conjugate Emberian! <<Another child laments: "Aw, Maaa...!>>||||
bina6|<<The woman looks back at you with a tired smile.>> Children are a gift, eh? ##Oh, where are my manners? I'm Bina, and my husband there is Youssef. If you're resting for a tick, can I offer you some tea?||||
p122|I would love some tea.||||
bina7|Right you are. <<She turns and opens a panel on the cart, revealing a samovar with many valves and pipes. She bangs it a few times, then fills two fine old porcelain cups with steaming tea and hands you one.>>||||
p123|Thank you, but I'm all right.||||
bina8|You won't mind if I get myself some, eh? <<She turns and opens a panel on the cart, revealing a samovar with many valves and pipes. She bangs it a few times, then fills a fine old porcelain cup with steaming tea.>>||||
p124|Alas, I can't stay. Good luck.||||
bina9|I can tell you're a curious sort, so ask anything you like. It's not as if we're going anywhere for a while.||||
bina10|Ask anything you like. We're not going anywhere for a while.||||
p125|What is that thing, exactly?||||
bina11|The Steward? I suppose they're not exactly common here. An engine of iron and brass, animated by cipher magic. The Clockwork Kingdom built dozens of them, but you'd have to ask Youssef about the details. He's the engineer; I'm only a simple translator.||||
p126|What do you translate?||||
bina12|Ancient Emberian, would you believe? It was much in demand in the Kingdom. Some of our... I mean, ((their)) most wondrous machines are based on old Emberian knowledge. They've gotten closer than anyone to reclaiming what was lost.||||
p127|Why did you leave the Clockwork Kingdom?||||
bina13|Where to begin? At first, the [[Clockwork King]] worked wonderfully. Food and drink and fuel, and luxuries my parents never imagined, available to all... like one of those fairytales where some woodcutter finds a god in a cave that grants all their wishes.||||
bina14|Later, the King became... erratic. Perhaps the Machinists misinterpreted its commands, or fed it the wrong counsel... ##<<You realise she is reluctant to criticise the King directly, even now.>> Then people started vanishing, and everyone would act like they never existed.||||
bina15|<<She sighs heavily.>> Last year was when I finally stopped keeping one eye on the exit. I'd actually started to feel at home here, you know?||||
p128|How did you get out?||||
bina16|It wasn't easy. We scoured the black market for Apostatic Union passports, then a friend connected us to a sky smuggler. We left in the dead of night, like thieves.||||
bina17|We were lucky. We had enough money to bring most of our belongings. Some arrive in Hallowshire with naught but the clothes on their backs. We try to help them when we cross paths, but there's only so much we can spare.||||
bina18|I never liked to think of myself as a refugee. Some kind of twisted pride, perhaps. But now that it's happening all over again, how can I deny it?||||
p129|I'm sorry.||||
p130|Right.||||
p131|Is your husband all right? He looks like he's seen a ghost.||||
bina19|<<Care and distrust wrestle for a moment behind her eyes. Care wins.>> Honestly? I don't know. We got robbed by [[deserters]] a few nights ago, and he's still shaken, but there's something deeper too.||||
bina20|Between you and me, he's been spending more and more time in bottled visions – distilled dreams exported from the Kingdom. Under the circumstances I don't blame him, but I do worry. ||||
bina21|I think he's looking for something in those visions. I wish he'd tell me what.||||
p132|I'd better get moving. Good luck.||||
yous1|<<The man looks anxious and haunted, as if pursued by something that can't be outrun. He is examining the strange machine, oil-stained hands on his hips.>> ##Ach, first the famine, then the robbers, now this... when does it end?||||
p140|Can I help you?||||
yous2|No offence pal, but I doubt it. I've been an engineer for decades, and even I barely understand this contraption. Unless you've a spare aetheric voidsink on you? ||||
p141|I have no idea what that is.||||
yous3|King's truth, me neither. And if you ask me, nor do the arseholes who designed it. ||||
p142|I left it in my other coat.||||
yous4|Hah! Some coat that must be. I hope it's lined with lead.||||
p143|What ((is)) that thing?||||
