0: stringID|1: imageID|2: English Title|3: English Text|4: French Title|5: French Text|6. German Title|7. German Text|8. Spanish Title|9. Spanish Text|10. Italian Title|11. Italian Text
islandGuide4|bk_cipher1|text|text||||||||
godWarMemoir|bk_godWar|Recollections from the God War, by Juliana Liddell - 1412|Before our airship rose a writhing mass of flesh. Taller than any tree, any structure, any living thing; it filled the horizon with its ghastly form. A hand rose to thwart us - or should I say, many hands - for the thing's flesh bubbled and boiled with minute approximations of the whole. Its arm was made from many arms. Its screaming face had countless gaping mouths. ##The captain's voice bellowed across the deck. Being no navy woman, I cannot recount these orders, but the ship began to lurch to the side - a futile attempt at evasion. ##With an almighty crash I was flung against the ship's bow. We spun in freefall. Through splinters and dust I could see the other half of the ship; we had been split in twain and the ground was rushing to meet us. ##The ship exploded into fragments as it struck land, but I did not feel the impact. I levitated just inches from the wreckage, a glow encircling me. I could see the hand of an Erudite Academy scholar buried in the rubble - it twitched, the glow flickered, and I fell safely to the ground. I know not who saved my life in place of their own - but I think of them often.##The creature towered above me, staring with many eyes; howling with many mouths. These were the closing months of the God War, and the Wikkans had become desperate. Faced with their annihilation, they had embraced practices that had long been forbidden. Whatever lurched towards me had once been a god - though it could not be called that any more. ##As it raised its arms to strike me, its bulk blocked the light of the neuron star. Against my better judgement, against the very ideology to which I had committed myself, I uttered a prayer to my family's patron god. A god I had seen cut to pieces not a month before. ##Who knows - maybe some vestigial remnant of that god yet remained, and took pity on me?##A hideous noise erupted from the monster. Its flesh had always shifted in some eldritch pattern, but now it appeared to flow like liquid. Huge chunks of it began to drop to the ground, exposing glimpses of a skeleton. Whatever spell the Wikkans had cast, whatever power flowed through this entity - it was failing.##At that moment, our sister ship burst from the clouds at blistering speed. A dozen cannons erupted into fire and the creature rippled with explosions. A voidstone lance - itself the size of a small vessel - was flung directly into the monster's skull. ##The thing buckled and bent under its own weight. It appeared to be melting. The skin tore around its neck, and its head bent back in an unnatural way - eventually dropping to the ground (I would later discover that it crushed a nearby pub). After a few moments all appeared to be left was a steaming mound of flesh and bone.||||||||
emberianVoyage|bk_cipher2|A Foolhardy Voyage, by Stultus Navigatio - 1426|As I write this account, my quill wavers in my hand. I can see the skin peeling and flaking from my fingers; blood and pus seeping from the cracks. Before the sepsis sets in, I hope to recount my fateful voyage to the Emberian city of Nodlem. It was my final voyage, and these will be my final words.##The expedition was funded by the Erudite Academy. They had us sign numerous documents and waivers, no doubt written from the safety of some Riovan legal office, clearing them of any accountability. I was not perturbed; I thought our success was assured.##The vessel we travelled in was outfitted with the latest in cipher-technology. We had hired an aetherist, who hermetically sealed the thing with numerous cipher-wards and provided us with the finely crafted garments that allows one to survive in the outer-reaches of the cosmos. But when I asked the aetherist to accompany us (for a healthy salary, no less), he replied:##'The underlands? Nay. I have flown into the cosmos on six occasions, and stared into its inky blackness. I have delved into the dread depths of Slev's poison lake, and escaped unscathed. I have been to unspeakable places, but the underlands? I will not go there.'##We anchored our galleon in the southernmost skies of the Apostatic Union, close to the near-lawless archipelago of the Oneiric Isles. The galleon's captain was wary of pirates, but I insisted we would be back before the nearby neuron star withdrew its reddish glare.##Our shuttle detached itself from the galleon, shaking as we made our descent through the clouds. My crew sat uneasy as the light faded. In the four hundred years since the World Rend, few have visited the world's surface and lived to recount it.##But our landing was uneventful enough. We opened the hatch to find the glistening bones of a city stretching towards the sky. Huge metal structures arched overhead, supported by girders of an impossible scale, that no living blacksmith could reproduce. ##We set to work examining the ruins. Legend describes how the Emberians wrote nothing with ink; they stored their knowledge in vast networks of cipher, accessible to any citizen, so that each and every person was as learned as a great scholar or polymath. Lamentably, this proved to be true - for we could find no book, no page, no scrap of writing to shed light on the mystery of their culture. ##What we found were towering halls, once used for some inscrutable bureaucratic purpose but which now lay overtaken by fungi. We saw evidence of the rail-ships that hauled cargo of unimaginable weight, and the great portal-relays that are said to have connected every corner of the world. ##We stared, bewildered, through the eye-goggles of our protective hoods. My faith in the wonders of aetherist technology was well founded; the accursed earth could not infect us with its taint. So long as our suits remained intact, we were safe -but there was just one factor I had not accounted for.##The scream echoed through the halls. We spun to see one of our crew collapsed on the floor; blood gurgling from his suit. As we made our way to investigate, I caught something in my periphery - too quick to see - and I turned to see another of us standing plainly with no head upon her shoulders. She crumpled into the darkness without making a sound.##So, we ran. ##The suits were cumbersome and the air thick with spores. I cannot say how the other crew met their fate; I heard cries, but did not falter in my flight. In my arrogance I had assumed tales of monsters were but fictions of dying men; for what could survive down here in this wasteland? But as I neared the shuttle, exhausted and terrified, one of the creatures appeared plainly before me.##I have heard tales of ghosts, but this was not one. It was a shadow incarnate; a swirling amorphous presence. A spectral arm emerged from that dread mass, which became a scythe as it swung towards me. I ducked and sprinted to the shuttle, narrowly escaping its ephemeral blade. As I closed the shuttle's hatch I could see the creature in chase, and I swear I saw a face there - staring at me not with rage or malice, but with a terrible sadness in its eyes.##When I returned to the safety of the skyrealms, it became clear that the creature had torn a large gash in my protective suit. Over the coming days I became rapt with terrible agony as my skin blackened and split. I exist now, a week since our voyage, in a state of prolonged decay - my consciousness being the last remnant of humanity left in this revolting husk of a body. It will not be long until I succumb fully to the Death Veil curse. ##Let this be a warning to those who wish to follow in my footsteps. The Emberian civilisation, which ruled every corner of the world some four-hundred years ago, is forever lost - and to go in search of its secrets is to meet a terrible fate.||||||||
cadish1|bk_cadish1|Cadish Rakehill Volume 1, by John Phlegming |Cadish Rakehill awoke to a cornucopia of pain. His joints ached, his eyes stung and his head felt as if it had been dragged down a flight of stairs. He felt his lip; swollen and bloody. He checked his purse; completely empty. He probably should have been alarmed, but Cadish was worryingly acclimatised to waking in such a state. Except for being in the branches of a giant tree - this was new. ##And it was, indeed, a very large tree. Its trunk, enormous in girth, was home to numerous dwellings; houses that clung to its bark like insects. He glanced downwards and saw nothing but clouds; and when he looked up, a crooked castle rose above a mountain of leaves. ##Ah, a castle on top of a tree. Now he remembered. He was in the forest city of Kruve, in the northern reaches of Lundel. The only place crazy enough to build a castle on top of a fucking tree. ##He remembered getting very drunk in a gambling den in Rorke, and losing a lot of money to some scoundrel who claimed to be a princess. He had bet a considerable sum on the notion that she was definitely not a princess; and, to prove him wrong, she had taken him in an avian taxi to Kruve. He must have fallen asleep in the bird's back-mounted cabin, for the next thing he knew, he was in the stone walls of a rather dingy castle.##It turned out that the scoundrel was, in fact, a princess - and she wanted Cadish to pay up. He refused on the grounds that, being in such a decrepit castle, she can't have been a very good princess. The last thing he remembered was a princess punching him in the face. ##He looked down the branch. A couple of well-armed guards blocked the exit - ah, so this branch was, in fact, a prison. He had to admit, it was one of the more pleasant prisons he had found himself in.##He sat nursing his head for some time. The blue neuron star of Lundel was distant here; it kept the tree in a greyish half-light. This was unlikely to change anytime soon, seeing as the sluggish orbit of Lundel's star made a single day as long as a Riovan month. Most citizens would toil in labour for much of the long-day, and get drunk in equal measure for most of the long-night. Cadish, of course, got drunk during both. ##Suddenly, he realised a figure was standing in front of him. He had not noticed her appear, and yet it felt as though she had been there a long time. She was clothed in a sari of brilliant red -  a garment from the distant island of Puria - and a veil of glinting gold obscured all but her eyes.##"Cadish Rakehill, I presume?"##Cadish sat there - dumbfounded - for a good few moments until he remembered to nod. ##Her eyes creased into a smile. "I have heard much of your adventures, Cadish. You are said to have acquired a treasure from every corner of the skyrealms in your time as a mercenary." ##He nodded again, not mentioning that he had lost just as many treasures in various gambling halls of disrepute.##"I have a job for you, Cadish. Do you remember the pirate captain Jinesh?"##He swallowed. He remembered Jinesh. He remembered the man's contemptible grin. He remembered the man's gleaming sabre, held against his neck. ##"Jinesh wants to meet with you. I can make this happen." ##Cadish frowned. "You said this was a job. So, what's the pay?"##The woman drew a serpent-like creature from her sari. Its segmented body was like that of a giant, glistening maggot - but its head was full of rows upon rows of sharp teeth. It was a vampiric parasite. ##"The payment is your life", she said, as she flung the creature towards him.##Before he could move, it whipped itself around him and its head forced itself into his mouth. Its slimy body lurched down his throat, shifting and wriggling, until it was completely inside him. His stomach writhed as he retched to no avail. ##"Don't worry Cadish Rakehill," she said. "It will all be over soon."##She snapped her fingers and, just like that, he fell into a dark stupor. ##||||||||
cadish2|bk_cadish2|Cadish Rakehill Volume 2, by John Phlegming |text||||||||
cadish3|bk_cadish3|Cadish Rakehill Volume 3, by John Phlegming |text||||||||
endlessRemember|bk_wyrm|On Remembrance, by Chirrius - 1278|When I was just ten and two years of age, while exploring in the forests of Verdant, my brother and I stumbled upon a clearing full of fleeting starlights - that long extinct flower that bloomed just once a year. ##My brother stood smiling amid those flowers. In one smooth motion they rippled around him, each unfurling their petals in some ancient rhythm. Tiny droplets, emitting a pale white light, drifted upwards like frozen tears. For a moment the whole forest seemed to be full of them; glittering in union, reflected in my brother's eyes.##But this memory, like so many others, is little more than a dream. I can recount colourful prose, but further details escape me. What was the colour of my brother's hair? What did his face really look like? What was his name? ##For all of us endless, Verdant exists in this dream-state. We fill our memoirs with elegant prose but we argue over the details. It has been hundreds of years since our lungs could swell with that sweet air, and between then and now - between Verdant and the Realm of the Endless - there is trauma that stains our minds like spilled ink. ##I can recall another memory of my brother. I see his face, covered in blood. I see his mouth, locked in a silent scream. I see raging fires reflected in his eyes. For that was the day I devoured his still-living body.##If Verdant is our dream, the Years of Devouring are our nightmare. Though we stage plays and write novels of what happened then, few speak of our personal guilt. That hunger, that rage, that blood mist; the remembrance comes to us in pangs of sorrow. ##But there are yet others who deny its tragedy. Who justify their hunger and their deeds with flimsy arguments. Those who would revive the Cadaver Crusades, and see us feast upon flesh once more. Those who have allowed themselves to forget. ##So reader, I beseech you; do not languish in the sweetness of your dreams if you are not willing to recall the horrors of your nightmares. We all carry a burden of guilt. To deny it is to relinquish the last shred of our humanity - and then we are truly lost.||||||||
endlessCrusade|bk_buriedHead|Buried Guilt, by Vleklum - 1156|Ethur spurred the gelatinous flank of his steed, but to no avail. The creature still floated at the same sluggish pace, its tentacles trailing through the grass. He had no idea where Lord Arded had found such a creature, but it was little better than a silkslug. ##It swayed at an erratic pace that made Ethur's armour shift and chafe against his ancient skin. His body was always wracked with an assortment of pains and aches - such was the fate of being endless - but this constant irritation caused chunks of his flesh to come away when he itched. Flesh that would never grow back. ##As Ethur crossed a waybridge he glanced below. Miles downward, past floating islands and drifting clouds, he saw clusters of artificial lights - throbbing and pulsing in the gloom of the world's surface. For this story, dear reader, takes place in the first Cadaver Crusade, when Emberian cities still thrived.##Ethur's steed had stopped. He looked up to see a humble dwelling, not a few decades old. Smoke rose from its chimney, betraying its mortal inhabitants. Lord Arded would be pleased. ##He dismounted and drew his sword. Though his stomach growled, he would not feed today. Fresh meat was to be procured and returned to the war party; rations were then distributed fairly. That said, Ethur had long suspected that his Lord liked to keep his troops hungry, to cloud their judgement and foster their rage. ##The door buckled behind his weight easy enough. A boy stood before him, bewildered. Ethur's sword slid gently between the boy's ribs and he crumpled to the floor. Somewhere, a woman screamed; a familiar sound of late.##An old man burst forth and impaled Ethur with a spear. This was somewhat irritating, as his chest was already so full of holes that it whistled in strong winds. Ether grabbed the man by the throat and raised his sword to strike. ##But something stopped Ethur. As he looked at the man, he felt a stirring inside him. Something about those eyes; it was like looking into a cloudy mirror. Could it be?##The old man had stopped struggling against Ethur's grip, for the same distant recollection had dawned upon him as well. ##The old man swallowed, stuttered, then croaked: 'Father?'##Ethur's grip relaxed. He dropped the man, he dropped his sword. A horror engulfed him; the first glimmer of true emotion he had felt in a long time. ##Before he knew what was happening, a woman had picked up his sword and chopped off his head. The world rushed to meet him with a thud. He lay there, blinking slowly, as his family hacked his body into pieces. ##They buried Ethur in the garden, in a gesture of undeserved respect. He kept his face motionless, so they thought him truly dead; he was too cowardly to do otherwise. ##It was a shallow grave and sounds of the forest filtered down to him. When the guilt and shame subsided, he felt a kind of peace; being so close to those he once loved. Family. Son. He mouthed the words in the dirt, to an audience of worms and insects. ##But one day (or night, he knew not), he awoke from his mindless stupor to the sound of flames and screams. He listened to the cries, the carnage, the terror; but the silence that followed was worse. ##Then, voices; movement; a dazzling light. He was pulled from the dirt by his hair, held aloft by the grip of Lord Arded himself. The bastard's grin was a gash that spread from ear to ear.##'Well well", he said. "What've we found 'ere?'##Ethur looked past his Lord, to the smouldering house in the distance. Three fresh corpses were lined neatly in a row. ##||||||||
posterManor|bk_cipher1|TO BE SOLD: Thornwood Manor|A two hundred year manor, once stately and fine, that has fallen into disrepair. ##The manor grounds comprise an entire island, just off the south of Hallowshire. With the right investor this could be a thriving estate once more. ##For inquiries, visit the clerk in Hallow Town council.||||||||
posterEndlessHouse|bk_cipher1|HOUSE FOR SALE: Sepulchre|Tired of living in a tomb? Sick to death of rats nibbling at your feet? Look no further than the BUSTLING housing market of Sepulchre. Don't worry about that gaping void above; that's just the 'sky'. ##A charming single-storey house is available to purchase from the Mouldy Cauldron shop on the Sepulchre High Street. Though in need of renovations, the property could be upgraded to rival even the best mausoleum tombs.||||||||
mapOrlaith|bk_orlaithMap|No Text|No Text||||||||
cwkLostCityNote||Dear Sis,|I am wons again dicktating this letter to wee Faizal, and if he fucks I mean screws it up you must tell me and I will box his ears. Probly you will never get this but it makes me feel better to imajin you reading it so here go's nothing. ##Thank you for arsking around about all the Guns that the King was having us make. I still think the King is preparing for war, but if even your mashinist friend dosny ken about it then maby I am just talking Shyt. Unfortantly sense your last letter we have bigger problems and I fear we are royally fucked I mean screwed. ##I reckon you have probly herd about Corrupshun even tho we are not suppoaz to talk about it. Well now this hole town is full of it and nobody is aloud to leav.##The Royal Factor plus most of the Mashinists are Ded apart from that wee Cunt Pew spelt P-U-G-H who was always hanging round at the Factory getting in the Way. Now hes lockd himself insyd with all the Milisher and isny letting anywon in. ##Weave turned the [[schoolhouse]] a.k.a. the Old Gods Tempol into a meeting plays and are locking any won who gets Cursd inside there House, and boarding up the Door and paynting it with a magic Symbol. Sum try to fyt us but most say it is fair enuff.##I am keeping track of our Supplys and running a regular talent show to keep spirits up but I am always getting grumpy at pepol because I feel like Shyt all the tyme even tho every won thinks I am sum kind of Leader.##I wish you wer here so you coud show me that breathing Thing that I said was stupid. ##I had better go becos there is Shouting which probly means I hav to calm some wun down by threatning to hed butt them or maby saying There There.##I suppoaz I may never learn my Letters now but I promiss that if I dont die I will sit down with you and let you teach me and only call you a Cunt if I get really frust rated. ##Luv, Zayneb spelt Z-A-Y-N-E-B||||||||
