Dialogues:|Clockwork||||
lludd18|Further up the hill is the [[mayor's house]]. That's where my mother - uh, I mean the ((mayor)) lives. She sometimes has work going. ##And further up is the old [[sacred shroom]]. Only, uh, it's dead. ||||
p22|What does the weighmaster do?||||
lludd19|Oh, Culwych? He's pretty important. He went to Riova - the capital city of the Apostatic Union, that's ((really)) far away - to get certified as a weighmaster.||||
lludd20|He weighs things for merchants and buyers to make sure the price is fair. Might not seem like much, but for a small town like us, it means we can trade with realms like Vena, Byonne and L-L-Lundel.||||
lludd21|<<He leans closer, eyes wide.>> But he also weighs ((people)). Lately he's been real worried about [[Wikkan sympathisers]], and he has magic cipher scales that can ((tell)) if you're ((evil)).||||
lludd22|<<He looks sheepish.>> He's not weighed me though. I guess he doesn't think I'm t-t-tough enough to be a criminal. ||||
p23|Tell me about the Scryshroom Company.||||
lludd23|Well, it's run by Dwynn, whose family's been growing scryshroom for generations. Without his company the town wouldn't really exist, mushrooms are kinda all there is around here. ||||
lludd24|Mother won't let me drink the scyrshroom tea, even though ((she)) does all the time. She s-s-says it's too intense. That you have to be a responsible adult to see the future.||||
lludd25|I don't see the big deal, though. She mostly just hallucinates about having a bigger garden. ||||
p24|So your mother is the mayor?||||
lludd26|<<He nods.>> Not everyone likes her, because she comes from all the way over in Lundel. That's a faraway place with castles and windswept moors, in Union heartland. ||||
lludd27|I was born here, so I've never been. <<He sniffs.>> ||||
p25|Why is the Sacred Shroom dead?||||
lludd28|Oh! Well that's because Culwych killed our god, of course. ||||
p26|Of course. ||||
lludd29|<<He nods.>>||||
p27|Uh, would you care to elaborate?||||
lludd30|Oh, um, I'm sorry, I forget not everyone knows about it! <<He chuckles meekly.>> ##Our old god was Aenguin and he was really mean. Like he wanted people to sacrifice themselves at the Sacred Shrooms to make the scryshrooms grow good. ||||
lludd31|So in the God War, Culwych and a few others sailed a huge Kardovan skyship and speared Aenguin in the eye. Because he was part of the Sacred Shroom on the hill, the mushroom died along with him.||||
lludd32|<<He sniffs.>>But, that's also why the harvests are bad. Really, the only reason we had scryshrooms in the first place is because of our god. There's only one Sacred Shroom left, and if that goes we're... well... ((I'm not allowed to use that word.))||||
p28|That's all I wanted to know.||||
lludd33|<<He nods.>> I hope I didn't w-w-waffle too much. ||||
p29|I've gotta get going, kid. ||||
lludd34|Oh, um, of course. B-b-bye. ||||
lludd35|Oh, hello again. Did you want me to p-p-point you around Pwyll? Or... I don't suppose... you're here to help with our problems? ||||
lludd36|Oh, hello again. Was there s-s-something you wanted to ask?||||
p30|Do you know anything about these Wikkan sympathisers? ||||
lludd37|<<Lludd suddenly looks very pale.>> Oh, you mean people who are ((cavorting)) with ((god-worship))? ##<<A bead of sweat rolls down his face.>> T-t-they say it's a ((criminal act)), right? That you could be locked up forever?||||
lludd38|<<He shakes his head.>> I'm sorry, but I don't know anything about it. You could try [[Nudd]], who's usually in the [[Scryshroom Company House]]. He used to be a mercenary and stuff. I'm sure he knows about such things. ||||
lludd50|<<The nauseating stench of bile engulfs the flesh-chamber. Before you, a huge digestional tract pulsates and throbs with corrosive acid. ##It would seem as though this mushroom has ((organs.))>>||||
lludd51|<<Lludd writhes behind the digestive membrane, clearly in agony. When he sees you, he looks shocked.>> ##Y-y-you! ||||
p41|We need to get you out of there.||||
lludd52|((No))! <<A look of determination seizes Lludd.>> If I don't ((do)) this, the village w-w-will ((perish))! ||||
lludd53|And if you cut me free, you'll be slicing into the mushroom's organs. You could [[kill it]]!||||
p42|But you'll ((die)).||||
lludd54|D-d-don't you think I ((know)) that? ||||
p43|Suit yourself. ||||
lludd55|Even ((y-y-you)) don't take me seriously! ||||
p44|Who did this to you? ||||
lludd56|((Nobody))! <<A look of determination seizes Lludd.>> ||||
lludd57|Everyone assumes I'm just some stupid k-k-kid. Just the mayor's idiot son. They don't take me ((seriously))! ##But now I can show I'm w-w-worth something. I can ((save)) the village, all by myself. ||||
lludd58|I found the old Wikkan contract-rites, stashed in my mother's basement. I convinced Emyr to help me set it up, but it was ((me)) who whispered to Aenguin and felt his reply echo through my b-b-bones.||||
p45|The village isn't worth ((dying)) for, kid. ||||
lludd59|S-s-says ((who))? Culwych is always talking of his war buddies, who died to liberate Pwyll. But w-w-why's that any different from this? Just because we're not at ((war))?||||
p46|I'm getting you out of there, whether you like it or not. ||||
lludd60|N-n-nobody lets me make my own ((decisions)). I've been planning this for m-m-months! It's my choice! ||||
p47|I admire your guts, at least.||||
lludd61|Pwyll is ((dying)). Everyone says so. Since Aenguin was killed, the soil's d-d-drying up. In another generation there'll be nothing ((left)). This is the ((only)) way to save the village. ||||
p48|Some towns dry up, it's just the way it is. ||||
lludd62|That's e-e-easy for you to say, not being from here. Pwyll is the only place I've ever known. I won't ((survive)) anywhere else. ||||
p49|@@ You don't know that. The Skyrealms are full of impossible places, beyond your ((wildest)) dreams. ||||
lludd63|&& I don't ((care)) about other places. I only have one home, and it's ((Pwyll)). ||||
lludd64|%% <<He sniffs.>> I once tried some scryshroom tea, while my mother was out. I saw... I saw myself on a ship, flying through a shoal of skyfish, their scales shimmering in a rainbow of colour...||||
lludd65|Mother always says the visions can be ((wrong)). So I thought it ((was)). But maybe... maybe it could be true?||||
lludd66|Okay. ((Sniff.)) I'll go back, then.||||
lludd67|<<You slice through the membrane and a torrent of foul-smelling acid pours forth. Lludd slides out of the muck, coughing and spluttering.>>||||
lludd68|Thank you, newcomer. Let me recollect myself and... I'll make my own way back to town. ||||
lludd69|<<As you turn to leave, a violent tremor engulfs the whole mushroom as its organs undulate in agony. You realise that by slicing into its bowels, you may have just [[killed]] this ancient thing.>>||||
p50|Enough of this. <Cut him loose.>||||
p51|So you ((really)) want to do this?||||
lludd70|<<You slice through the membrane and a torrent of foul-smelling acid pours forth. Lludd slides out of the muck, coughing and spluttering.>>||||
lludd71|You had no r-r-right! ##<<He shivers.>> The first thing I've done, truly by ((myself)), and you've ruined it. You had no ((right))...||||
p52|People care about you, kid. You can't throw your life away. ||||
lludd72|I thought... mother would be ((proud))...  ##<<The boy shivers and says no more.>>||||
p53|You'll thank me in time.||||
p54|I just like ruining people's plans. ||||
lludd73|<<The boy shivers and says nothing.>>||||
p55|So you ((really)) want to do this? Knowing that you'll die? ||||
lludd74|I've never been so sure of ((anything)) in my life. I want to save the village - I want Pwyll to live on, even if I have to die. ||||
p56|Well, I respect your decision. ||||
lludd75|Thank you. I'm glad, at least someone took me seriously, in the e-e-end. Can I ask you a final favour?||||
p57|Of course. ||||
lludd76|<<A hand pushes out from the membrane, slick with slime.>> Will you... hold my hand? ##<<You nod, and take his hand in your own. The sting of acid bites, and you feel him shiver.>>||||
lludd77|<<You stay like this for a few moments, in silence, before his hand goes limp. You realise that Lludd is dead.>>||||
p58|No.||||
lludd78|That's okay. Then will you at least... wait here, with me?||||
lludd79|<<You nod and wait in silence for a few moments, until you notice the boy has gone very still. Yes, there's no denying it; Lludd is dead.>>||||
lludd79b|<<There's no denying it; Lludd is dead.>>||||
p59|Still, I can't let you do this. ||||
lludd80|Oh, it's you. ##I wanted to thank you, for what you did back in the Sacred Shroom. You saved my life. ||||
lludd81|I don't know what will happen to Pwyll. It makes me sad to think of it not being here, in the future... but maybe we can find somewhere else to call home. ||||
lludd82|Oh, it's you. ##I still can't forgive you, for interrupting the digestion. But seeing how relieved my mother was to have me back... I suppose I wasn't as worthless as I thought. ||||
lludd83|I don't know what will happen to Pwyll. It makes me sad to think of it not being here, in the future... but maybe we can find somewhere else to call home. ||||
cul1|<<The man's eyes follow you with suspicion. His greying hair and weathered skin suggest he is older than most in the village, and a faded scar runs down his face.>>||||
cul2|Y're new to town, I gather? Well, I'm the local weighmaster - name's Culwych. And I'll have you know; before you engage in any business here in Pwyll, I'll be takin' yer weight.||||
cul3|So, without another word, please step on the scales. <<He gestures to the huge contraption behind him.>> Thankin' ye ((kindly)).||||
p100|Wait, why do you want to ((weigh)) me?||||
cul4|<<He narrows his eyes.>> By decree of the Apostatic Union, all those seekin' to trade in its jurisdictions must prove they're of an ((ordinary)) disposition; that is, not physically altered by cipher magic or god devotion, nor bearing the guilt of unpunished crimes. ||||
p101|And you can tell that just by my ((weight))?||||
cul5|Just step on the godsdamn scales, alright? ||||
p102|Alright, I suppose.||||
cul6|<<He nods.>> Go ahead, then.||||
p103|There's no way I'm stepping on that thing.||||
cul7|Well, you're welcome to refuse; but this village will be having nothin' to do with ye until you step on those damn scales.||||
cul8|As I already told ye, please step on the scales. <<He gestures to the huge contraption behind him.>> ||||
cul9|<<He studies the dials and symbols atop the machine, and scratches various notes on some parchment.>> ##Interesting. ((Very)) interesting.||||
p104|Uh... did I pass?||||
p105|((Say nothing.))||||
cul10|The prime glyph says you're a... ((criminal)). <<He shoots you a stern glance.>> The lesser glyphs are harder to parse. Let's see now... ||||
cul11|They say you ((killed a man)). Multiple witnesses. And, what's this - ((martial trauma)). ## <<He sighs.>> I'm sorry to say I've known plenty o' soldiers who lost their reason.||||
cul12|Says here y'er a ((deserter)). Don't say what from - these glyphs can be plenty vague. Still, can't say I blame anyone for running from a fight. ||||
cul13|Hmm, I think this one's... ((fatal miscast)). Ah, so you're a dabbler in cipher magic, eh? A dangerous art, for certain. <<He pauses.>> Jus' be sure to keep any spellbooks ((closed)) in here, alright? I won't have you blowin' your fingers off in my vicinity. ||||
cul14|Hmm, illegal merchant. The goods seem to be- let's see - ((martial)) in nature. So you were an arms dealer, eh? ||||
cul15|Says here you were a petty criminal. The other glyphs say - hmm, let's see - you were found all beaten up. I assume you were betrayed by your own sort, eh? Serves you right. ||||
cul16|They say you were a petty criminal. Other glyphs say you were tracked for years. Did you know that, I wonder? Did you live with one eye over yer shoulder? ||||
cul17|Crimes of a... ((magical)) nature. Says here you forced entry onto an Inquisition ship, via a... ((portal))? You're either the smartest or stupidest wizard I've ever heard of. ||||
cul18|Hmm, plenty of damning glyphs 'ere. Seems like you were some sorta criminal ringleader. No wonder you were caught.||||
cul19|Hm, what's this? ((Raider)) of... ((tombs))? Ah, so y'er in the business of plunderin' ancient relics, eh? Very dangerous - an' not to mention illegal. ||||
cul20|((Forbidden cipher)), eh? Ah, so you stumbled on one o' those ((illegal)) words? A strange crime no doubt, but one with good reason. You don't wanna be blowing up a town just 'cos you mispronounced one o' those. ||||
cul21|Says here you caused a ((cipher rift)). I can't imagine what kinda foul cipheristry you were dabblin' with, but I'm mighty glad you didn't tear apart the skyrealms with your foolishness. ||||
cul22|Merchant of ((illegal goods)). Let's see here, you were tradin'... ((books))? Hmph, may seem innocent enough, but some dusty ol' tomes are more dangerous than a broadside of cannons. ||||
cul23|Hmm - ((corruption)). An' this glyph says - politics? Ah, so you probably rigged an election, right? I've 'eard those things can be brutal affairs with plenty o' bloodshed, so I can see why some would take a fall for the right price. ||||
cul24|Says here you're of ((noble)) blood. An', this is a strange glyph - I think it means ((disgrace))? Ah, so you're probably a runaway from one o' those corrupt noble families. ||||
cul25|Well, this is a strange series of glyphs. Multiple... disrobings... through cipher? <<He thinks a moment, then erupts in hearty laughter.>> ##Oh, I heard about you. You're that idiot who turned a whole town naked, am I right? ||||
cul26|They say you were a merchant - an' a wealthy one, at that. But this glyph means... ((forbidden relics))? Ah, so you were in the business of the ((occult)). No wonder they caught you. ||||
cul27|Ah, but there's one more glyph. Inquisition... ((agent))? ##<<He looks up from his parchment, his face struck with puzzlement.>>||||
cul28|Beggin' yer pardon -  at first glance I thought you might be one o' those Dark Star mercenaries, running from the Inquisition raid. But you must 'ave been ((fighting)) those scoundrels, eh?||||
p106|Yes, those crimes were just... uh... a ((cover story)).||||
cul29|<<He gives a quick Union salute.>> Apologies, friend. This 'umble weighmaster didn't mean to delay Inquisition business with his lowly bureaucracy. ##I've approved your visit to Pwyll; you won't get any trouble. ||||
p107|Yes, I'm a Confessor, atoning for my crimes.||||
p108|It's not by choice, I assure you. ||||
cul30|Well, far be it for me to delay Inquisition business. ##I've approved your visit to Pwyll; you won't get any trouble. ||||
cul31|<<He thinks a moment.>> But, uh, say - in light of your ((profession)) - could lend this 'umble servant of the Apostatic Union a hand? There'd be an [[Apostatic Union Passport]] in it, for ye...||||
cul32|Y'see, the Inquisition raid ain't the ((only)) reason we've been so eager to weigh people of late. There's also fears of bloody ((god-worship)) among the townsfolk. After all we've been through! <<He looks distinctly peeved.>>||||
cul33|Ah, welcome back. What can ol' Culwych do for ye? ||||
p109|I'm looking for some Dark Star mercs, and I need to explore the Oneiric Isles. ||||
cul34|<<Culwych taps his nose.>> Ah, ((Inquisition)) business, eh? Don't worry, ol' Culwych can keep a secret. ||||
cul35|Well, you might try askin' [[Nudd]] who's the hired muscle over at the [[Scryshroom Company]]. Gotta say, he's a prickly fella an' I've never gotten on with him too well, but I know he used to work for the Dark Stars.||||
cul36|But to be honest, I doubt you'll find out much in ol' Pwyll. You'll be wantin' to reach [[Hallow Town]] in [[Hallowshire]], to the south. There's a Union Council building an' a bustling dock where all sorta skyships lay anchor. ||||
cul37|But to pass over the Union Gatebridge you'll need an [[Apostatic Union Passport]]. Each one'll grant you passage over a single bridge. ||||
cul38|As a certified weighmaster, I have one that I'm not usin' - but Inquisitor or not, you'll have to [[earn my trust]] if I'm gonna just hand it over. ||||
p110|What can you tell me about this town? ||||
cul39|Well, Pwyll is a quaint village these days. We've been growin' and sellin' [[scryshroom]] since the early days of the Skyrealms, an' shippin' 'em all over the place. ||||
cul40|Business may not be as good since the [[God War]] - ((killin' yer own deity will do that)) -  but we're better off for being in the Apostatic Union. I'd take the Union's tax levies over a Wikkan blood contract any day. ||||
p111|Wait - you killed your own god? ||||
cul41|Aye, forty years ago. Before then Pwyll was prosperous - and ((miserable)). We were trapped into a blood-contract with our tyrant-god Aenguin, and the terms were ((abysmal)).||||
cul42|Oh, our harvest was bountiful, but the blood-price was high. Every year, dozens o' villagers disappeared into the [[sacred shrooms]] to appease that divine ((bastard)), never to be seen again. ||||
cul43|So when the Apostatics came callin' - askin' us to renounce our faith, an' join the fight against the Wikkans? We took up arms ((gladly)). I fought in the Pwyllian division, an' have the scars to show for it. ||||
p112|What happened next?||||
p113|Okay, I get the picture. ||||
cul44|Anythin' else you wanted? ||||
cul45|We crewed a Kardovan lancer ship an' impaled our own deity with a voidspear. For all the grief he caused my people, that bugger really didn't put up much of a fight. ||||
cul46|But the war still raged, so the Apostatics built that huge [[fortress]] on the hill to repel Wikkan counterattacks. O' course, when the dust cleared an' the war was over, the newfangled [[Apostatic Union]] let it fall into ruin...||||
cul47|...until that mercenary lass ((Vela Callose)) took it over, o' course. Past few years, Pwyll 'as garnered quite the reputation for smugglin' and nefarious business, thanks to those damned [[Dark Stars]]. You'd think the Union would'a done somethin' about it sooner, but the larger the gears the slower they grind, I guess.||||
cul48|...until that mercenary lass ((Vela Callose)) took it over, o' course. Past few years, Pwyll 'as garnered quite the reputation for smugglin' and nefarious business, thanks to those damned [[Dark Stars]].||||
cul49|You'd think the Union would'a done somethin' about it sooner, but the larger the gears the slower they grind, I guess.||||
p114|What's a Wikkan contract?||||
cul50|Hmph, 'ave things gotten so comfy in the Union that people 'ave forgotten their ((history?)) Well I'll be damned. ||||
cul51|For as long as people can remember, Wikkans 'ave acted as mediators between god's an' their worshippers. ##<<He strokes his chin.>> Kinda like ((lawyers)) of the ((divine)), I guess.||||
cul52|S'pposedly they acted in the best interests of both mortals ((an')) the gods - binding both in a magical contract that made sure neither got scuppered over. 'Cept, here in Pwyll our Wikkans ((fucked)) us; the terms were all in Aenguin's favour.||||
cul53|We can't a' been alone, because forty years ago the apostatics started the God War, and we weren't the ((only)) place to slay their own god, let me tell ya. ||||
p115|Are you happy being part of the Apostatic Union? ||||
cul54|More than a lotta folk. I've met travellers who lament the passing of the gods - who claim the Union has swapped divine majesty for naught but politics an' paperwork.||||
cul55|But here in Pwyll? Anyone old enough will remember the ((bad times.)) We've all lost friends an' family - the godsdamn soil was fertilised with their blood. ||||
cul56|Of course, for a long time bein' in the Union didn't mean much. Here in the [[Oneiric Isles]] we're on the fringes, y'see - an' for decades these isles were rife with outlaws, criminals and Wikkan refugees. ||||
cul57|It's only lately that the Union's stepped up its presence an' built a council chamber in [[Hallowshire]]. Since then, trade in Pwyll's been boomin' - turns out plenty of folk wanna buy our shrooms. Now, If only our harvests could keep up with demand... ||||
p116|What's this scryshroom you grow?||||
cul58|Well, it's a mushroom that lets you scry the future, see? Shows you visions of what ((could)) come to pass. ||||
cul59|Only, it's not always right. Sure, every now an' again someone sees a vision of something that absolutely, irrevocably comes true, an' everyone sings the praises of the humble scryshroom. But most of the time y'er just havin' a bad dream. ||||
cul60|<<He shrugs.>> Still, people all over the Skyrealms wanna buy it, so I'm not complainin' - puts food on my plate, after all. ||||
p117|That's all I wanted to ask.||||
cul61|So be it. Was there anythin' else?||||
p118|How can you tell so much from those scales? ||||
cul62|These are [[morality scales]]. You'll see there's only one visible; that's because it's magically linked at the fulcrum, through a bond of cipher, to a scale containin' the ((Moral Standard)).||||
p119|What's the Moral Standard - some kind of weight? ||||
cul63|<<He grins.>> Oh, no - that would be preposterous! How could you tell so much about a person by weighin' 'em against a ((dead weight))? No, no - don't be stupid!||||
cul64|The Moral Standard is a ((person)). A carefully selected person who bears qualities deemed the epitome of Apostatic Union morality. By weighin' you against such perfect integrity, we can tell by what ((degree)) your character is lackin'. ||||
cul65|I think the current Moral Standard resides far off in Byonne University. They have to rest an' sleep between weighings, of course - which is why weigh houses only open at certain times.||||
p120|Why does such a small town need to weigh people? ||||
cul66|Well, on account of bein' on the ((fringes)) of Apostatic Union territory, there are certain unseemly folk who've taken advantage of Pwyll in the past. Mercenaries like those Dark Stars in the fort over yonder, who've used us to smuggle ill-gotten goods into [[Hallowshire]] and beyond. ||||
cul67|So havin' a certified weighmaster helps Pwyll attract reputable merchants to buy our [[scryshroom tea]]. Shows we can be trusted to pay our taxes, y'know?||||
cul68|An', we don't ((just)) weigh people. Can also weigh shrooms an' grain. Or, well, anythin' really. ||||
p121|That's enough about weighing things.||||
cul69|Was there anythin' else?||||
p122|I'll be going, then. ||||
cul70|Aye, until next time. ||||
p123|So you need help tracking down god-worshippers?||||
cul71|<<He leans forward and speaks low.>> ((Aye.)) Folk've been a-feared recently, y'see. The soil's dyin' an' harvests are down. Merchants want to buy our scryshroom more than ever, but we can't meet demand. So some have been flirtin' with... the ((old)) ways. ||||
p124|What makes the ((old)) ways so bad? ||||
cul72|<<He sighs.>> It's been forty years since the God War. Forty years since the apostatics told the Wikkans an' their gods to go ((fuck)) 'emselves. ##Forty years since me an' the lads drove a voidspear through our ((own god's)) eye - that cruel, violent, ((bastard)) of a god: Aenguin.||||
cul73|An' in those forty years, folk 'ave forgotten how ((bad)) it was under that divine tyrant an' his Wikkan lackeys. Sure, we had bountiful harvests and our purses were bulgin'. But our sons and daughters were taken from us, an' the soil was fertilised with their ((blood)).||||
cul74|Now, our ol' god Aenguin's been ((dead)) for long enough. But they say so long as people still ((believe)), some part of a god can live on. So there's been ((murmuring)) of some folk tryin' to... bring him ((back,)) an' that's got the rest o' us so scared shitless. ||||
p125|Look, just tell me what you need. ||||
cul75|Alright, I'll tell it straight. As you know, god-worship an' consortin' with Wikkans or their gods is a heinous crime - but I've reason to believe there's some among us who are turnin' to it, to try an' fix our poor harvests. ||||
cul76|Trouble with a small town like this? We all know each other, an' the guilty parties won't talk to ((me)). But ((you))? You're an outsider, an' an Inquisition ((agent)) to boot. ||||
cul77|I need you to [[ask around]], an' try and find any [[Wikkan sympathisers]] - so we can sort this out ((quiet)) like, before the villagers start loppin' each others heads off in a frenzy. ##Find summin' out and I'll dispense you a [[Union Passport]] that'll grant passage to Hallowshire. ||||
p126|Alright, I'll see what I can do.||||
cul78|<<He sighs in relief.>> You have my ((thanks)), newcomer. Just... as soon as you find summin' out of sorts, you let me know, y'hear? ||||
p127|I get the whole ((god)) thing, but what exactly ((is)) a Wikkan?||||
p128|I'll think about it. ||||
cul79|<<He sighs.>> Look... if you hear of summin' out of sorts, just let me know, y'hear? ||||
p129|So, about these god-worshippers...||||
cul80|<<He leans in.>> You heard anythin'?||||
p130|What makes the old ways so bad, exactly? ||||
p131|Do you have any idea who I should be asking?||||
cul81|<<He strokes his chin.>> Well, you could try our Mayor, Owynn, but... honestly, she's often got her head so far in the clouds, I doubt she 'as a clue what's going on with her constituents. ||||
cul82|But seein' as this whole thing's tied up with the shroom trade, I'd try asking around in the [[Scryshroom Company]] down by the dock. Its owner, [[Dwynn]], certainly has a lot to ((gain)) from better harvests... ||||
p132|About these Sacred Shrooms...||||
p133|That's all.||||
cul83|Fair 'nuff.||||
p134|I've found evidence of god-worship in Pwyll. ||||
cul84|<<He leans close.>> Oh yeah? ((Tell)) me then, why don't ya? ||||
p135|I saw someone dressed in robes, lurking around at night.||||
cul85|Hmm, that sure is mighty suspicious - but on its own, I can't do nought with this kinda evidence. Can ye try an' find where they were ((goin'?)) If they really ((were)) a Wikkan, there'd be some sorta... ((ritual)), maybe. Signs of someone tryin' ta rekindle the contract... ||||
p136|There were occult instruments in the caverns below Pwyll.||||
cul86|<<For a moment, he merely stares past you; lost in thought.>> ##This can only mean one thing.||||
cul87|If someone's conductin' rituals around Aenguin's corpse, that means they're tryin' to re-open the blood contract. ##But buried in those clauses was a ((terrible cost))... no less than [[human sacrifice]].||||
cul88|Here, take [[this key]]. It'll unlock the upper chamber in the [[Sacred Shroom to the west]].||||
cul89|That [[key]] you found? It'll unlock the upper chamber in the [[Sacred Shroom to the west]].||||
cul90|There's no doubt in my mind. Someone's bein' taken to the Sacred Shroom to be metabolised - as per the contract's terms. ##You gotta [[go there an' ((save 'em!))]]||||
p137|Did you say ((metabolised))?||||
cul91|In the old days, there were Sacred Shrooms all over Pwyll. Each would spawn a whole forest 'o scryshrooms, but only... only if they'd recently metabolised a human.||||
cul92|I 'aint sure if the scryshrooms ((use)) part of the human body to achieve their effect, or whether it was all just part o' Aenguin's divine ((mockery)) - but I know the scryshrooms used t'be more potent in the old days. ||||
cul93|Now, there's only one Sacred Shroom left - deep in the mushroom forest to the west. All the others shrivelled up an' died when we stopped feedin' 'em flesh. ||||
p138|How do I get into this... mushroom?||||
cul94|Well, you'll need to travel through the mushroom forest. You can't miss the shroom itself; it's prolly the biggest mushroom you've ever seen.||||
cul95|On account o' it bein used by the Wikkans in the past, there's doors an' paths leadin' up around the shroom itself. The [[main doors]] will lead you through the central stem; but there might be a whole host o' nasty monsters waitin' to tear you a new one.||||
cul96|So you might try lookin' for a [[way round the back]]. It'll prolly be locked up tight, but you might have less o' a fight on yer hands that way. ||||
p139|Okay, I'll do my best.||||
cul97|I'm relyin' on you, y'hear? ||||
p140|I visited the Sacred Shroom and discovered what's going on. ||||
cul98|Was I right? Was there a ((sacrifice)) takin' place?||||
p141|It was Lludd. He sacrificed himself so that Pwyll would prosper.||||
cul99|<<Culwych staggers back, aghast.>> Oh, not poor ((Lludd))? I was there at his ((namin')), looked after that lad like he was... <<He chokes on the words.>>||||
cul100|Oh, that ((foolish)) boy. The harvests ain't worth Aenguin's ((blood price))-  ain't I always taught 'im that?||||
cul101|<<He sighs heavily.>> Still, I s'pose you got to the bottom o' what's been goin' on, an' for that you have my thanks. ||||
p142|It was Lludd. He tried to sacrifice himself, but I managed to talk him down. ||||
cul102|<<Culwych gasps.>> Oh, that ((foolish)) boy! The harvests ain't worth Aenguin's ((blood price)) -  ain't I always taught 'im that?||||
cul103|But looks like you ((stopped)) him, newcomer; and for that you have my sincerest thanks. It's not much, but just as I promised... ||||
cul104|Here, take this [[Union Passport]]. It'll get you through the [[gatebridge to the south]], leadin' to [[Hallowshire]].||||
cul105|Be careful down there, mind. If you think Pwyll's harvests are bad, you ain't see ((nothing)) yet. Hallowshire's in the midst of an awful famine, an' it seems the townsfolk 'an our poor Lludd 'ave had certain... ((ideas)) in common.||||
p143|I found Wikkan antiques in Mayor Olwen's basement. ||||
cul106|<<He strokes his chin and groans.>> ((Olwen)) you say? Could it be...? ||||
cul107|<<He shakes his head.>> But we'll need more to go on than jus' this - plenty o' these old houses have things knockin' about in 'em that'd make a Wikkan blush. I don't want to jump to conclusions; so we'll need ((more.))||||
cul108|Y'know, folk around here ain't stupid. I reckon any shady goings on will be happening under the [[cover of darkness]]. Why don't you try [[resting]] until nightfall? I know Dwynn [[rents a room]] for passersby. ||||
olwen1|<<The woman sits with her eyes closed, a pained expression on her face. Various medallions and necklaces hang around her neck, suggesting she holds some important position here in Pwyll.>>||||
