|1: English|2: French|3. German|4. Spanish|5. Italian
CONFIRM_ERASE_ONE|Erase data in slot one?|Erase data in slot one?|||
CONFIRM_ERASE_TWO|Erase data in slot two?|Erase data in slot two?|||
CONFIRM_ERASE_THREE|Erase data in slot three?|Erase data in slot three?|||
CONFIRM_BUY|Buy for|Buy for|||
CONFIRM_SELL|Sell for|Sell for|||
CONFIRM_BUY_MULTI|Buy amount for|Buy amount for|||
CONFIRM_SELL_MULTI|Sell amount for|Sell amount for|||
CONFIRM_UPGRADE|Upgrade to|Upgrade to|||
CONFIRM_USE_ITEM|Use this item?|Use this item?|||
CONFIRM_EQUIP_ITEM|Equip this item?|Equip this item?|||
INVENTORY|Inventory|Inventory|||
EQUIPMENT|Equipment|Equipment|||
USEABLES|Useables|Useables|||
ITEMS_SPELLS|Items and Spells|Items and Spells|||
SPELLS|Spells|Spells|||
CHARACTER|Character|Character|||
EMPTY_SLOT|Empty Slot|Empty Slot|||
CORRUPT_DATA|CORRUPT DATA|CORRUPT DATA|||
CORRUPT_DATA_NOTE|This data is corrupt. You must delete it. Please contact the developers for more info.|This data is corrupt. You must delete it. Please contact the developers for more info.|||
SAVE|Save|Save|||
SLOT|Slot|Slot|||
ONE|One|One|||
TWO|Two|Two|||
THREE|Three|Three|||
SLOT_ONE|Slot One|Slot One|||
SLOT_TWO|Slot Two|Slot Two|||
SLOT_THREE|Slot Three|Slot Three|||
ATTRIBUTE|Attribute|Attribute|||
DELUSIONS|Delusions|Delusions|||
MIGHT|Might|Might|||
GUILE|Guile|Guile|||
WISDOM|Wisdom|Wisdom|||
PERSONA|Persona|Persona|||
HEALTH|Health|Health|||
MANA|Mana|Mana|||
STAMINA|Stamina|Stamina|||
REGEN|Regen|Regen|||
ATTACK|Attack|Attack|||
LOCKPICK|Lockpick|Lockpick|||
LORE|Lore|Lore|||
CHARM|Charm|Charm|||
DEFENCE|Defence|Defence|||
AGILITY|Agility|Agility|||
SPELLCAST|Spellcast|Spellcast|||
BARTER|Barter|Barter|||
DAMAGE|Damage|Damage|||
ARMOUR|Armour|Armour|||
DAM_1|Damage One|Damage One|||
DAM_2|Damage Two|Damage Two|||
POOR|Poor|Poor|||
COMMON|Common|Common|||
FINE|Fine|Fine|||
SHROOMWEAVE|Shroomweave|Shroomweave|||
CLOCKWORK|Clockwork|Clockwork|||
VOIDSTEEL|Voidsteel|Voidsteel|||
GLIMMERS|Glimmers|Glimmers|||
GLIM_NEEDED|Glimmers Needed:|Glimmers Needed:|||
CHARM_DIALOGUE|[Charm]|[Charm]|||
CHARM_SUCCESS|[Success]|[Success]|||
CHARM_FAIL|[Fail]|[Fail]|||
NEED|Need|Need|||
USE|Use|Use|||
SAVING|Saving...|Saving...|||
CREDITS|Credits|Credits|||
MSG_REST_MUGGED_T|Mugged||||
MSG_REST_MUGGED|You wake up groggy and notice something is amiss. Yes, there's no doubt; someone has been here while you were asleep. ##Fortunately, most of your gear was well hidden, but the thieves have stolen some coin.||||
MSG_REST_ENEMY_T|Not Alone||||
MSG_REST_ENEMY|A sharp noise rouses you. Groggy, you blink awake; but you are not alone in this place.||||
MAP_NOCHARTS|You have not found any Map Charts.||||
HOUSE_UNBUILT|Not Built||||
HOUSE_UNFURNISHED|Unfurnished||||
HOUSE_CONTRUCTING|Constructing||||
HOUSE_BUILT|Built||||
HOUSE_FURNISHED|Furnished||||
HOUSE_ID_MANOR|Manor||||
HOUSE_ID_MAINBUILD|Main House||||
HOUSE_ID_WORKSHOP|Workshop||||
HOUSE_ID_LIBRARY|Library||||
HOUSE_ID_GARDEN|Garden||||
HOUSE_ID_ENDLESS|Sepulchre House||||
HOUSE_ID_END_MAIN|House||||
HOUSE_ID_END_ANNEX|Annex||||
HOUSE_ID_END_TOP|Top Floor||||
HOUSE_ID_END_GARDEN|Garden||||
HOUSE_ID_FORTRESS|Vela's Fortress||||
HOUSE_ID_FORTRESS_1|Quarters||||
HOUSE_ID_FORTRESS_2|Workshop||||
HOUSE_ID_FORTRESS_3|Training Room||||
HOUSE_ID_CWK|Clockwork Kingdom House||||
HOUSE_ID_CWK_MAIN|House||||
HOUSE_ID_CWK_WORKSHOP|Workshop||||
HOUSE_ID_CWK_GARDEN|Balcony||||
HOUSE_ID_CWK_LIBRARY|Annex||||
HOUSE_PANEL_FURNISH|Change Theme:||||
HOUSE_PANEL_TITLE|Upgrade Property||||
HOUSE_CONFIRM_FURNISH|Redecorate the property in this style?||||
HOUSE_CONFIRM_UNION|This property will be redecorated in the style of The Apostatic Union. Are you sure?||||
HOUSE_CONFIRM_OUTLAW|This property will be redecorated in the style of ruffians and outlaws. Are you sure?||||
HOUSE_CONFIRM_ENDLESS|This property will be redecorated in the macabre style of the Endless. Are you sure?||||
HOUSE_CONFIRM_CWK|This property will be redecorated in the style of the Clockwork Kingdom. Are you sure?||||
HOUSE_CONFIRM_BUILD|Upgrade this part of the property?||||
HOUSE_CONFIRM_MAIN|Upgrade the central house?||||
HOUSE_CONFIRM_WORKSHOP|Upgrade the workshop?||||
HOUSE_CONFIRM_LIBRARY|Upgrade the library?||||
HOUSE_CONFIRM_GARDEN|Upgrade the garden?||||
HOUSE_NOTE_CONSTRUCT|This part of the property is still under construction.||||
HOUSE_NOTE_COMPLETE|This part of the property is fully upgraded.||||
HOUSE_NOTE_FURNISH|This is the cost to redecorate the property. Select a style to confirm.||||
HOUSE_NOTE_NOTBOUGHT|You cannot upgrade this property as you do not own it.||||
HOUSE_NOTE_NOSTYLES|You have not unlocked any furniture styles.||||
HOUSE_NOTE_REDECORATING|You are in the process of redecorating.||||
HOUSE_BUILD_NOTENOUGH|You lack the necessary materials to purchase this upgrade.||||
HOUSE_FURNISH_NOTENOUGH|You lack the coin required to redecorate.||||
HOUSE_FURNISH_GOTALREADY|You already have these furnishings.||||
TROPHY_NOTE_NONE|You have not unlocked any trophies for this display.||||
TROPHY_NOTE_ONE|You do not have any other trophies for this display.||||
TROPHY_NO_WEAPON|You do not have a weapon equipped.||||
FACTION_LOCKED|You must be friendly with this faction to gain entry.||||
FACTION_HATED|Hated||||
FACTION_ENEMY|Enemy||||
FACTON_DISLIKED|Disliked||||
FACTON_NEUTRAL|Neutral||||
FACTON_ACCEPTED|Accepted||||
FACTON_FRIENDLY|Friendly||||
FACTON_LOVED|Loved||||
FACTION_NAME_UNION|The Apostatic Union||||
FACTION_NAME_WIKKAN|Wikkans||||
FACTION_NAME_OUTLAW|Outlaws||||
FACTION_NAME_DARKSTAR|Dark Star Mercenaries||||
FACTION_NAME_ENDLESS1|Endless Royalists||||
FACTION_NAME_ENDLESS2|Endless Cadavers||||
FACTION_NAME_CWK1|Ferropolis||||
FACTION_NAME_CWK2|Clockwork Rebels||||
FACTION_NAME_EMBERIAN|Emberians||||
FACTION_NAME_DEATHGOD|Death God||||
FACTION_NAME_GOBLINS|Goblins||||
FACTION_NAME_UNDEAD|Undead||||
FACTION_NAME_MACHINES|Machines||||
FACTION_NAME_CRYSTAL|Crystal Children||||
FACTION_NAME_ONIONS|Rotten Onion Mercs||||
FACTION_INFO_UNION|The Apostatic Union was formed roughly forty years ago, after its various member realms defeated the Wikkans in the God War. Their shared belief is that, for humanity to prosper, gods and god-worshippers must be expelled from human society. In the Union, to call someone 'devout' is an insult indeed.||||
FACTION_INFO_WIKKAN|Even before the World Rend, Wikkan covens dominated the sky realms. The various Wikkan covens would negotiate pious contracts between men and gods, holding each to strict codes of conduct. The Apostatic Union, seeking the freedom to pursue their own study of cipher magic, defeated the Wikkans in the God War; and now their power is much diminished.||||
FACTION_INFO_OUTLAW|A catchall term for the various brigands and ruffians inhabiting the Oneiric Isles. Being on the fringes of Apostatic Union territory, those islands have been relatively lawless until recently; with numerous criminal gangs finding safe haven there. Though they are often in competition with one another, word travels fast among the Outlaw gangs and it is possible to garner a reputation as a mercenary of note.||||
FACTION_INFO_DARKSTAR|A mercenary band led by Vela Callose, the Dark Star Company is infamous across the Apostatic Union for their villainous deeds. It is said they will do anything for coin, and that they have amassed vast funds. They were last seen on the Oneiric Isles.||||
FACTION_INFO_ENDLESS1|Loyal to the Queen of Silver, the Endless Royalists believe in honouring their monarch's intent. This includes feeding upon Penitent Thaw's mindless meat in place of sentient flesh. Such a stance has helped repair relations with mortal factions in the skyrealms over the past century or so.||||
FACTION_INFO_ENDLESS2|The Endless Cadavers are a shadowy bunch, loosely organised under Lord Rhydder's command. They believe in returning to the dark days of the Cadaver Crusades, in which the endless would invade neighbouring islands and feast upon mortal flesh. This would, of course, be in stark defiance to the wishes of the Queen of Silver.||||
FACTION_INFO_CWK1|text||||
FACTION_INFO_CWK2|text||||
FACTION_INFO_EMBERIAN|text||||
FACTION_INFO_DEATHGOD|text||||
FACTION_INFO_GOBLINS|A peculiar bunch of humanoid creatures, goblins are native to the Oneiric Isles. They are often seen wearing crafted wooden masks, attire that is said to be worn in an act of penitence for some past misdeed. They live in harmony with the forest and are especially fond of the giant moths found there.||||
FACTION_INFO_UNDEAD|Ghosts and skeletal constructs. It is well documented that reviving a living being from the dead is impossible with cipher magic; but that does not stop certain souls from clinging to existence in some pathetic mockery of life.||||
FACTION_INFO_MACHINES|Artificial constructs, often hostile to life. Many machines were produced in Kardova during the God War, and this legacy has continued since the founding of the Clockwork Kingdom. If these terrible machinations had some beneficial purpose, it is long forgotten; they roam wildly, attacking any threat their sensors detect.||||
FACTION_INFO_CRYSTAL|Followers of a new goddess, deep below the Endless. Crystals grow from within.||||
FACTION_INFO_ONIONS|text||||
NOTE_FACTION_CHANGE1|now consider you:||||
NOTE_FACTION_CHANGE2|now considers you:||||
NOTE_AMMO_DEPLETED|You have run out of ammunition for this weapon.||||
NOTE_ITEM_DEPLETED|You have depleted this item. Find more, or unequip.||||
NOTE_FATIGUE_LEVEL|Your stats are reduced because of Fatigue. You should rest.||||
NOTE_CANT_TELEPORT|You must target a transit crystal to teleport.|no crystal.|||
NOTE_CANT_USE|You can't use that item now.|You can't use that item now.|||
NOTE_NOT_IDLE|You can't do that right now.|You're busy.|||
NOTE_NOT_USABLE|You can't use that right now.|You can't use that right now.|||
NOTE_GAINED|Gained|Gained|||
NOTE_PILFERED|Pilfered|Pilfered|||
NOTE_PILFERED_COIN|Pilfered {0} coin.|Pilfered {0} coin.|||
NOTE_PILFERED_COINS|Pilfered {0} coins.|Pilfered {0} coins.|||
NOTE_PILFERED_PICK|Pilfered {0} lockpick.|Pilfered {0} lockpick.|||
NOTE_PILFERED_PICKS|Pilfered {0} lockpicks.|Pilfered {0} lockpicks.|||
NOTE_LOST|Lost|Lost|||
NOTE_LOST_COIN|Lost {0} coin.|Lost {0} coin.|||
NOTE_LOST_COINS|Lost {0} coins.|Lost {0} coins.|||
NOTE_IN_COMBAT|You cannot do that while in combat.|You cannot do that while in combat.|||
NOTE_EMBRACED|Embraced|Embraced|||
NOTE_SUCCUMBED|Succumbed|Succumbed|||
NOTE_HEALTH_POTION|a health potion.|a health potion.|||
NOTE_MANA_POTION|a mana potion.|a mana potion.|||
NOTE_DELUSION_WAITING|You have unspent Delusions. Increase your Attributes in the Journal.||||
NOTE_LEVEL_UP|You embraced a Delusion. Use it to increase an Attribute.||||
NOTE_GLIMMER|You glimpsed a Glimmer of Delusion. Collect more to gain a full Delusion.|Embraced a Glimmer of Delusion.|||
NOTE_DELUSION|to a Delusion.|to a Delusion.|||
NOTE_CANT_DO|You can't do that.|You can't do that.|||
NOTE_COIN|coin.|coin.|||
NOTE_COINS|coins.|coins.|||
NOTE_COIN?|coin?|coin.|||
NOTE_COINS?|coins?|coins.|||
NOTE_PICK_SUCCESS|Lock picked!|Lock picked.|||
NOTE_PICK_FAIL|Failed to pick lock. Lockpick broken.|Failed to pick lock. Lockpick broken.|||
NOTE_PICK_NEAR_MISS|Near miss: pick not broken.|Near miss: pick not broken.|||
NOTE_PICKS_FULL|Can't carry any more lockpicks.|Can't carry any more lockpicks.|||
NOTE_PICKS_EMPTY|You don't have any lockpicks.|No picks.|||
NOTE_PICK|lockpick|lockpick|||
NOTE_PICKS|lockpicks|lockpicks|||
NOTE_NO_MATS|You lack the required materials.|you lack the required materials.|||
NOTE_NOT_ENOUGH|You don't have enough.|You are poor, mortal.|||
NOTE_NO_COIN|You don't have enough coin.|You are poor, mortal.|||
NOTE_CANT_STORE|You can't store this item.||||
NOTE_ALCHEMY|You need two ingredients.|You have no flowers, fool!|||
NOTE_HERB_PICKED|This item needs to grow back.|This flower is dead.|||
NOTE_CREATURE_EMPTY|This creature has no items.|No stuff for you.|||
NOTE_LORE_LOW|Your Lore skill is too low.|Your Lore is terrible.|||
NOTE_ACTIVATED_ELSEWHERE|This is activated elsewhere.|You need to look harder.|||
NOTE_MANA_NEEDED|Not enough mana.|Need more mind juice.|||
NOTE_CANT_REST|You cannot rest here.|can't rest|||
NOTE_OWNED_BED|This bed is owned by someone else; you can't use it.|owned bed|||
NOTE_LORE_COMPLETE|Something has changed...|you diddidd it.|||
NOTE_DOORMAN_FAIL1|The Doorman turns you away. You need|he said go away. you need|||
NOTE_DOORMAN_FAIL2|Charm to talk your way in.|persona for him to like you|||
NOTE_ITEM_GAINED|Item gained:|gotted item:|||
NOTE_ITEM_REMOVED|Item removed:|ungotted item:|||
NOTE_BARGAIN|coin saved. Bargain!|coin saved. Bargain!|||
NOTE_BARGAIN_COIN|{0} coin saved. Bargain!|{0} coin saved. Bargain!|||
NOTE_BARGAIN_COINS|{0} coins saved. Bargain!|{0} coins saved. Bargain!|||
NOTE_PORTAL_NOKEY|This contraption seems to require a key.||||
NOTE_PORTAL_GOTKEY|This Academy Portal is now active.||||
NOTE_MAP_UPDATED|Your map has been updated.||||
NOTE_MAP_NO|There are no landmarks nearby to mark on your chart.||||
NOTE_DRUNK_0|You are feeling sober. You think.||||
NOTE_DRUNK_1|You are feeling mildly tipsy.||||
NOTE_DRUNK_2|You are quite drunk.||||
NOTE_DRUNK_3|You are extremely plastered.||||
NOTE_DRUNK_4|YoU Arrrrr Very Handshome. Yessh you Arrre. *Hic*.||||
NOTE_PICKAXE|This vein was depleted long ago.||||
NOTE_LANDMARK_NEAR|This looks like an interesting landmark.||||
NOTE_SIMPLE_BUFF|You have gained a temporary buff:||||
NOTE_MIRROR_ACTIVE|You step through the mirror and appear someplace... else.||||
NOTE_MIRROR_INACTIVE|The shutters won't budge. This must be activated elsewhere.||||
NOTE_MIRROR_EXIT|This mirror is broken beyond repair.||||
NOTE_COMPONENT_NONE|This looks like it's missing something.||||
NOTE_COMPONENT_MORE|This looks like it still could be missing something.||||
NOTE_COMPONENT_COMPLETE|Something has changed...||||
NOTE_SPELL_SLOT_LOCKED|You need more Spellcast to unlock this Spell slot.||||
NOTE_SPELL_UNEQUIPPED|A Spell has been unequipped.||||
NOTE_CANNOT_CAST|You cannot cast that right now.||||
NOTE_CANNOT_SUMMON|You can't summon here.||||
NOTE_TOOMANY_SUMMON|You've reached your summon limit.||||
NOTE_CUTTER_BROKEN|This cutter needs to be repaired.||||
NOTE_CUTTER_GROUNDED|This cutter can't be piloted while the dock is closed; the Blinding Light must be airborne.||||
NOTE_CUTTER_SEECONFESSOR|Talk to the High Confessor first.||||
AIRSHIP_ANCHOR_UP|The ship's anchor can't be lowered here.||||
QUEST_STARTED|Quest started:|Hopeless:|||
QUEST_FINISHED|Quest finished:|Hopeless:|||
QUEST_UPDATED|Quest updated:|Hopeless:|||
DOOR_BARRED|The door is barred from the other side.|Door barred.|||
DOOR_NEED_KEY|The door needs a key.|Door locked.|||
DOOR_NEED_FACT|The door is shut tight.|Door sealed|||
DOOR_NEED_REMOTE|The door is sealed by an unseen device.|Door sealed|||
DOOR_NEED_KEY_SMASH|The door needs a key... or perhaps a strong blow would suffice.|Door locked by key or might|||
DOOR_NEED_KEY_REMOTE|The door needs a key... or perhaps an unseen device could do the trick.|Door locked by key or seal|||
DOOR_NEED_REMOTE_SMASH|The door is sealed by an unseen device... or perhaps a strong blow would suffice.|Door locked by seal or might|||
DOOR_NEED_KEY_REMOTE_SMASH|The door needs a key... or perhaps an unseen device could do the trick.|Door locked by key or seal or might|||
NOTE_FULLSTOP|.|.|||
NOTE_NEEDED|Needed|Needed|||
NOTE_CHARM_SUCCESS|Charm challenge succeeded.|Suave success!|||
NOTE_CHARM_FAIL|Charm challenge failed.|Utter failure!|||
NOTE_CHARM_LUCK|Alluring perfume: Charm challenge succeeded.|Alluring perfume: Charm challenge succeeded.|||
NOTE_CHARM_UNLUCKY|Charm challenge failed. Unlucky...|Charm challenge failed. Unlucky...|||
NOTE_MIGHT_FAIL|You lack the Might to break this.||||
NOTE_CANT_PASS_TIME|Cannot pass time here; area is unstable.|Can't wait.|||
NOTE_LIFT|The lift is already here.|The lift is already here.|||
NOTE_LIFT_INACTIVE|The lift is not yet active.|The lift is not yet active.|||
NOTE_LIFT_NEEDITEM|This lift needs a key.|This lift needs a key.|||
NOTE_LIFT_USEITEM|Used|Used|||
NOTE_FORTRESS_INACTIVE|The fortress needs repairing before that will work.|The fortress needs repairing before that will work.|||
NOTE_FORTRESS_MOVING|The fortress is already moving.|The fortress is already moving.|||
NOTE_FRUIT|The supple fruit rejuvinates you||||
NOTE_AIRSHIP_NO_DEED|You must purchase an airship deed before you can upgrade it.||||
NOTE_CRITICAL_CAST|Critical Spellcast!||||
STAT_DELUSIONS|Belief is everything. As your delusions grow, so does your power. Find enough Glimmers of Delusion - by exploring the world, or completing quests - and they will grant a full Delusion. Delusions can be spent to increase one of your core attributes.||||
STAT_MIGHT|Increases your maximum Health. Governs the combat skills of Attack and Defence.||||
STAT_GUILE|Increases your maximum Stamina. Governs the Lockpick and Agility skills.||||
STAT_WISDOM|Increases your maximum Mana. Governs the Lore and Spellcast skills.||||
STAT_PERSONA|Increases your Regen rate. Governs the Charm and Barter skills.||||
STAT_HEALTH|The amount of damage you can take before you die. Replenished with rest or potions.||||
STAT_MANA|Required to successfully cast certain spells. Replenished with rest or potions.||||
STAT_STAMINA|Modifies attack damage and, at low levels, your skills. Maximum stamina depletes over time, but can be replenished by resting.||||
STAT_REGEN|The speed at which your Stamina regenerates.||||
SKILL_ATTACK|Increases damage done with all physical weapons.||||
SKILL_LOCKPICK|Increases the chance of successfully picking a lock or disarming a trap. Requires lockpicks, which break upon failure.||||
SKILL_LORE|Knowledge of ancient truths. Allows interaction with concealed mechanisms, to reveal hidden secrets.||||
SKILL_CHARM|The ability to influence others through dialogue. Can reveal important information or resolve difficult encounters.||||
SKILL_DEFENCE|Decreases damage received by enemy combatants.||||
SKILL_AGILITY|Increases movement speed and jump height.||||
SKILL_SPELLCAST|Increases the potency of spells, and how quickly you can call upon them.||||
SKILL_BARTER|Allows for more favourable deals. Buy low and sell high.||||
DAMAGE_REDUCTION|Based on Armour and Defence, combined damage reduction is||||
SKILL_ARMOUR|Your Armour rating, based on the clothing and equipment you wear. Reduces damage taken by enemy attacks.||||
WEAPON_DAMAGE|The total damage you do with the weapon in this slot. A combination of your Attack skill and the weapon's base damage.||||
CHAR_PRELUDE_TITLE|Beginnings||||
CHAR_PRELUDE|The world was long ago broken, its surface cursed. ##You are a dweller of the Skyrealms; drifting islands that cradle the last of human civilisation. ##Here, in the dank cell of an Inquisition ship, you ruminate on your past.||||
CHAR_YOUTH_NULL|Dreams of childhood slip through your mind. Was your fate sealed, even then?||||
CHAR_YOUTH_NULL_T|Youth||||
CHAR_CAREER_NULL|The body grew, the mind sharpened. For a while you excelled.||||
CHAR_CAREER_NULL_T|Career||||
CHAR_DOWNFALL_NULL|Cracks showed, your guard slipped. The mistake was grave - the Inquisition had your scent.||||
CHAR_DOWNFALL_NULL_T|Downfall||||
CHAR_YOUTH|Dreams of childhood slip through your mind. Was your fate sealed, even then?||||
CHAR_CAREER|The body grew, the mind sharpened. For a while you excelled.||||
CHAR_DOWNFALL|Cracks showed, your guard slipped. The mistake was grave - the Inquisition had your scent.||||
CHAR_MIGHT_T|Brawler||||
CHAR_MIGHT|The idea of battle captivates you; it always has. You started by smashing sticks, before long you were clashing swords. There was never any question; you were a fighter through and through.||||
CHAR_GUILE_T|Urchin||||
CHAR_GUILE|Growing up, you were nobody; just another malnourished child clogging the city. Without the street gang you'd have died like the rest. They taught you to see what others didn't, to slip in where others couldn't. They taught you to survive.||||
CHAR_WISDOM_T|Apprentice||||
CHAR_WISDOM|As a child of remarkable promise from an unremarkable family, your parents sold you to a passing scholar. Your youth was spent copying tomes till your hands bled; but what you read, you did not forget.||||
CHAR_PERSONA_T|Noble||||
CHAR_PERSONA|A child of noble birth, you were dining with foreign dignitaries before you could walk. You learned manners and etiquette, but more than anything, tenacity - for the glittering halls of Riova can be more cutthroat than the darkest of alleys.||||
CHAR_MIGHT_DAM_T|Soldier||||
CHAR_MIGHT_DAM|You were drafted into the Apostatic Union's military. The God War might have ended, but the hunt for cultists had not. You toured the Union's fringes, fighting occult insurgents in bloody skirmishes - and seeing friend and foe cut down.||||
CHAR_MIGHT_PICK_T|Mercenary||||
CHAR_MIGHT_PICK|You joined a band of mercenaries, selling your swords to the highest bidder. When work was slow, you scavenged ruins or wrecked sky-ships to make ends meet. Before long you were as deft with lockpicks as a blade.||||
CHAR_MIGHT_LORE_T|Inquisitor||||
CHAR_MIGHT_LORE|You were sought out by the inquisition, who trained you as an agent. In the hunt for god worshippers you were taught their false histories, their untruths. You learned to sniff out their dens and decipher their hidden secrets.||||
CHAR_MIGHT_CHARM_T|Assassin||||
CHAR_MIGHT_CHARM|Frontline combat was always so... vulgar. You honed your skills in secret, while clinking glasses with powerful people in elegant ballrooms. When your employers slipped you a name, you killed with subtlety.||||
CHAR_MIGHT_DEF_T|Traumatised||||
CHAR_MIGHT_DEF|Years of killing took its toll. You slept lightly, a knife under the pillow, if you slept at all. Noises made you twitchy; in dark places, you saw the men you'd killed. One day you snapped, and killed a man in broad daylight, for all to see.||||
CHAR_MIGHT_AGI_T|Deserter||||
CHAR_MIGHT_AGI|You'd had your fill of bloodshed, but saw no way out. So you deserted. Your old comrades pursued you, over islands and sky ships, until you could run no more.||||
CHAR_MIGHT_CAST_T|Fatal Miscast||||
CHAR_MIGHT_CAST|To excel in combat, you studied not just the blade, but the secret language of the cosmos. You wrote spells of your own design - dangerous and illegal without training. But a spell backfired, killing the wrong person and sealing your fate.||||
CHAR_MIGHT_BARTER_T|Arms Dealer||||
CHAR_MIGHT_BARTER|Your knowledge in weaponry opened new avenues; you became an arms dealer, trading items of lethality. Such pursuits, however, are as profitable as they are illegal - and your luck didn't last forever.||||
CHAR_GUILE_DAM_T|Hired Muscle||||
CHAR_GUILE_DAM|You could take care of yourself, and were known for it. A Slev cartel recruited you as muscle; when they smuggled nefarious texts or illegal potions, you were there to make sure things didn't go south. And when they did, you cracked some skulls.||||
CHAR_GUILE_PICK_T|Thief||||
CHAR_GUILE_PICK|Thievery came easy. Your picks danced through locks with a lover's touch. You stole spells from scholars and treasures from sky ships. The city was yours, its doors wide open.||||
CHAR_GUILE_LORE_T|Lore Broker||||
CHAR_GUILE_LORE|In the Apostatic Union, some secrets are worth more than gold. You fraternized with cultists, traded illegal tomes and sought dangerous knowledge. If something was hidden, you could find it... for a price.||||
CHAR_GUILE_CHARM_T|Fixer||||
CHAR_GUILE_CHARM|In a bloody business, you kept your hands clean. In pubs and markets you built your network; mingling and scheming. Elsewhere, nefarious deeds were committed and you were, of course, never involved. But your purse was never empty, either.||||
CHAR_GUILE_DEF_T|Betrayed||||
CHAR_GUILE_DEF|In your line of business, you always kept your guard up - but sometimes it's not enough. In the end, you were sold out and left for dead, in a pool of your own blood.||||
CHAR_GUILE_AGI_T|Paranoid||||
CHAR_GUILE_AGI|As the years passed, your paranoia grew. You were always on the move; you never stayed in the same bed twice. Turned out you were right, though - they really were hunting you. And they found you.||||
CHAR_GUILE_CAST_T|Outlaw Caster||||
CHAR_GUILE_CAST|You hoarded spells and potions; many valuable, many useful. But too many. When fumbling for an invisibility spell, you accidentally opened a portal into an Inquisition ship - the worst destination possible.||||
