|HallowQuests||||
UnderBasaltA4|Well, thought I'd spell it out for you. The curse rots one's ((mind)), after all.||||
UnderBasaltA5|Well... not ((just)) that.||||
UnderBasaltA6|Y'see, we'd stashed a bunch of protective suits in the cutter. Thick leather garments sealed with stitches and cipher, to ward off the miasma that clings to the air down here.||||
UnderBasaltA7|But... they all got burned up in the crash. The only thing we could save... <<He taps his mask.>> ...was ((this)) one.||||
UnderBasaltA8|So that dizziness? The head pain? The stinging in your lungs? I'm afraid that's the miasma. The [[curse]]. I'm... sorry.||||
UnderBasaltA9|<<He shrugs.>> Depends on the exposure time. If we get this done quick, you might have a chance.||||
UnderBasaltA10|<<A muffled chuckle.>> Finders keepers, ((Confessor)). I ain't throwing my life away for yours.||||
UnderBasaltA11|<<He slaps you on the shoulder.>> That's the spirit, eh? You'd 'ave made a fine Dark Star, back in the day.||||
UnderBasaltA12|<<He looks around.>> Anyway, you might be able to salvage some sorta [[protection]] down here, if you're lucky. There's been plenty of foolhardy expeditions to the Underlands, and the archaeologists - well, let's just say they don't often come ((back)).||||
UnderBasaltA13|The others will be fine. Frost and the Emberian have respirators built into their suits, and the Duchess... well, she's not been breathing for centuries, anyway.||||
UnderBasaltA14|The understorms were brutal. When you're inside the clouds you can't see shit; there's just flashes of light and deafening thunder. I tried to steer her the best I could, but... it was always gonna be a gamble.||||
UnderBasaltA15|Truth be told, we're only here because of the Duchess. Without her cipher wards I doubt we'd still be in one piece.||||
UnderBasaltA16|We're a bit far from the mark. Orlaith - ((the Emberian)), I mean - thinks she can see the [[Cradle]] through the miasma, but it's a ways away. We'll need to cross that wasteland of rusted steel. A tall order.||||
UnderBasaltA17|Frost thinks our best bet is to try reaching this [[coach house]] down the road. If we're lucky, we could salvage an Emberian [[autocoach]]. I've no idea what that is, but Frost thinks it can get us through the wasteland unscathed.||||
UnderBasaltA18|It's a long shot, but, well - none of us have any better ideas.||||
UnderBasaltA19|So, as the ((leader)) of this little jaunt, we figure you'll be wanting to scout ahead, eh Confessor? ##Don't worry - we'll be right behind you. <<He winks.>>||||
UnderBasaltA20|Good stuff. With that attitude, we'll be back by supper.||||
UnderBasaltA21|Remember: just scout a route past the machines down there, and we'll all meet up in that [[small canyon]] ahead.||||
UnderBasaltA22|Well, maybe you'll fit right in with all the nasties down here, eh? You can just... <<He makes a weaving motion with his hand.>> ...slip right by, right?||||
UnderBasaltA23|<<He frowns.>> Look, ((Confessor)). I'm tryna be polite, and show you some respect. But let's get one thing straight.||||
UnderBasaltA24|Your fancy ((High Confessor)) ain't here to prop you up. There's no Inquisition agents. No Union guards. It's just you and a bunch of ((former)) Dark Stars.||||
UnderBasaltA25|So if you start tryin' ta pull rank, and order us around - how do you think that's gonna ((go)), eh?||||
UnderBasaltAP1|No shit.||||
UnderBasaltAP2|So that's why I feel awful.||||
UnderBasaltAP3|So, am I going to die?||||
UnderBasaltAP4|Give me ((your)) mask. ((Now)).||||
UnderBasaltAP5|I'll be fine.||||
UnderBasaltAP6|How did we crash?||||
UnderBasaltAP6a|How did you say we crashed?||||
UnderBasaltAP7|So, what's the plan?||||
UnderBasaltAP7a|Remind me what our plan is now?||||
UnderBasaltAP8|Alright. I'll get going.||||
UnderBasaltAP8a|I suppose I'll get going.||||
UnderBasaltAP9|But ((I'm)) the one who's cursed.||||
UnderBasaltAP10|I order ((you)) to go, instead.||||
UnderDuchessA1|So, we're actually here. The ominous Underlands, below the clouds.||||
UnderDuchessA2|Even four centuries ago, back when I could breathe fresh air, this place had a mystical quality. From Verdant we could see the twinkling lights of Emberian cities, distant and beautiful, far below us.||||
UnderDuchessA3|Once I even met one. An Emberian delegate was sent to meet with my father. They arrived in a craft of pure metal; I had never seen anything like it...||||
UnderDuchessA4|But I must admit, to be here after all these years feels... underwhelming. I had thought that even in death their cities would hold a certain majesty, just as my own home still does. But this is a dreary, ugly place, strewn with rust and bone.||||
UnderDuchessA5|Let us not linger more than we need to.||||
UnderDuchessA6|<<She waves a hand dismissively.>> Oh, I've already done all I can. ##While you were unconscious, I sealed your organs with cipher. That should buy you some time.||||
UnderDuchessA7|<<After a moment of silence, she sighs.>> Look, Confessor. I apologise if I seem flippant. It's just... to us Endless, the plight of mortals can seem ((quaint)).||||
UnderDuchessA8|Sure enough, you will experience ((agonising)) pain as the miasma takes hold. Your body will atrophy as it is consumed by fungi, gradually stiffening until you are rooted in place. There you will stay, for centuries or more, dimly conscious of your torment.||||
UnderDuchessA9|I know to ((you)) it probably seems like a tiresome ordeal. But to someone like myself, who has already experienced a half-millennia of anguish...||||
UnderDuchessA10|Well, it actually sounds rather interesting. Variety is the spice of unlife, no?||||
UnderDuchessA11|Nonetheless, I do not wish this fate upon you. We should make haste.||||
UnderDuchessA12|The Emberians were masters of fusing the ethereal with the physical; cipher with machine. Forget what petty trinkets you may have witnessed in the Clockwork Kingdom - they are mere imitations of what the Emberians could create at their peak.||||
UnderDuchessA13|It is said they even made machines that could walk and talk, with functioning minds of pure cipher logic. ##As someone who has studied the art of cipher for longer than any mortal, I can tell you plain: this is no simple feat.||||
UnderDuchessA14|It has been said their creations have outlived the Emberians themselves, and still linger down here. If this was the ((only)) danger we faced, I would be rightly concerned; but it is not all.||||
UnderDuchessA15|The World Rend was a syntax cascade that unravelled the very essence of everything it touched. Many people were killed, but some bore a worse fate; twisted into wraiths of malign intent.||||
UnderDuchessA16|Whatever we need to do down here, we should do it ((quickly)).||||
UnderDuchessA17|Ah, that's my [[transpositional supply tent]]. It's woven with an intricate cipher spell that distorts time and space, so it's far bigger on the inside than it appears.||||
UnderDuchessA18|Feel free to use it to [[craft]] or stock up on [[supplies]]. There's also a portal that leads back to my dwelling in the Endless Realm, though at this stage I think it would be unwise to retreat; we should press on.||||
UnderDuchessAP1|Agreed. I'll get moving.||||
UnderDuchessAP2|I'm cursed. Can you help?||||
UnderDuchessAP3|Do you know what dangers we face?||||
UnderDuchessAP4|What's with the tent?||||
UnderEmberianA1|You know, all my life I've had these... recurring dreams.||||
UnderEmberianA1R|All my life I've dreamed of the Emberians' shimmering towers. And what have they left us? Nothing but fabric draped over a weak scaffold.||||
UnderEmberianA2|A metropolis of light. Towers of shimmering steel and cipher. Vast ships sliding through the air like they weigh nothing at all.||||
UnderEmberianA3|<<She sighs.>> I think part of me... has always been searching for this place. Just to ((see)) it with my own eyes. ##And now I'm finally ((here)) - is this wasteland really all that's left?||||
UnderEmberianA4|I thought the Emberians, for all their hubris and arrogance, had built something that would ((endure)). But maybe their achievement was just a ((dream)) after all. Nothing but fabric draped over a weak scaffold.||||
UnderEmberianA5|Far in the distance, past the fog and lightning, there's a giant metal orb. ((That's)) the [[Cradle]], the most advanced piece of tech, or magic, or ((both)), to have existed.||||
UnderEmberianA6|((That's)) where Vela is; no doubt about it. She's been planning this for ((years)). And if we're going to stop her from activating it, we'd better move fast - Vela is well ahead of us already.||||
UnderEmberianA7|<<She nods.>> I'm sorry about that, Confessor. I've seen people come back from expeditions - even just from low-lying islands - afflicted with the curse.||||
UnderEmberianA8|I'm sure you don't need me to tell you how bad it can be. But the Duchess has already worked her magic on you, and if we get this over with quickly, you should recover.||||
UnderEmberianFollow1|<<She shifts her sword.>> Alright, lead the way.||||
UnderEmberianFollow2|If you say so. I'll wait here.||||
UnderEmberianFollow3|<<She nods.>>||||
UnderEmberianFollow4|Something on your mind?||||
UnderEmberianFollow5|You go on ahead, Confessor. I'll make sure the others can get through safe.||||
UnderEmberianFollow6|<<She winces.>> Taken one blow too many, Confessor. You go on ahead while I catch my breath.||||
UnderEmberianAP1|Do you know where Vela is?||||
UnderEmberianAP2|I've been cursed by the miasma.||||
UnderEmberianFollowP1|Let's join arms and fight together.||||
UnderEmberianFollowP2|Let's split up.||||
UnderEmberianFollowP3|Let's get going.||||
UnderFrostA1|<<Frost is peering through a spyglass at the edifice of metal and shattered glass upon the nearby clifftop.>> ##Magnificent. The structure is very nearly intact. Imagine what it was like in its prime!||||
UnderFrostA1R|<<Frost lowers his spyglass to regard you coolly.>> ##Still dallying, darling? Remember, every minute you spend down here without a mask will bring you closer to death...||||
UnderFrostA2|<<He lowers the spyglass and examines you, looking remarkably unruffled by the crash.>> ##You've survived, then? Well done. Knew you had it in you.||||
UnderFrostA3|By all objective yardsticks, our situation is dire... and yet I can't help but feel a sense of anticipation. Uncovering the secrets of this place has been my life's work, and now we are pursuing the greatest secret of all.||||
UnderFrostA4|How ironic that it should be due to my own mistakes, rather than those of some comfortably long-dead civilisation... ##<<He mutters to himself.>> Keep your head in the game, Horace. Or Caxton? Whatever.||||
UnderFrostA5|Alas, our bumpy landing has left me without the requisite material to improvise a new [[filtration mask]]. But we're not far from where the Munro Expedition went down back in '35. ((Some)) of their equipment ((might)) still be intact.||||
UnderFrostA6|Your sole chance of survival is to [[limit your exposure]]. Every minute, every ((heartbeat)) that you spend here without a mask will bring you closer to a fate worse than death.||||
UnderFrostA7|Should you fail, I can at least offer you the same remedy I gave my old colleague Magda. ##<<He digs in a pocket and opens his palm to reveal a little ball of some waxy substance.>>||||
UnderFrostA8|Venom of the purple-spotted typhos. Extremely deadly, and quite painless. ##She made me promise, you see.||||
UnderFrostA9|Then you'd better hurry. Tick-tock, my dear, tick-tock...||||
UnderFrostA10|As Willem the Slug((lover)) said to the young maid, it was only the once. Back in '33, I was chosen to lead the Clockwork Kingdom's first and only surface expedition. At the time, I considered this a high honour.||||
UnderFrostA11|Only by a miracle of impromptu engineering did we fare any better than old Stultus in '26. A mere half of us died, instead of all.||||
UnderFrostA12|Still, chin up, eh? Back then we didn't have the [[Duchess]] with us.||||
UnderFrostA13|Correct. In ancient days this entire continent was criss-crossed by an advanced transportation network, allowing the Emberians to travel hundreds of leagues per day in perfect comfort.||||
UnderFrostA14|These '[[autocoaches]]', as contemporary scholars have dubbed them, were propelled at high velocity along special courses by some unknown means. If you've ever been inside a modern-day [[mining operation]], you may have seen wagon tracks inspired by their example.||||
UnderFrostA15|Hence, our first priority must be to get... <<He points up at the clifftop.>> ##((There)). If any such conveyance remains operable, I believe I can commandeer it.||||
UnderFrostAP1|I'm cursed. Can you rig up some kind of protective device?||||
UnderFrostAP1a|Are you sure you can't do anything about my curse?||||
UnderFrostAP2|...I'll pass for now, thanks.||||
UnderFrostAP3|I might just take you up on that, if it comes to it.||||
UnderFrostAP4|So you've been to the Underlands before?||||
UnderFrostAP5|Basalt said you had some plan to get out of here.||||
UnderFrostAP6|I suppose I'll get going.||||
UnderFrostB1|<<Frost is fiddling with a hand-held device that resembles the offspring of a dulcimer and a carriage clock.>> ##Silence, if you please. This procedure requires concentration...||||
UnderFrostB2|<<A deep mechanical boom sounds from within the wall as the door begin to grind open.>> ##Ah-((ha)).||||
UnderFrostB3|Evidently the Emberians haven't revised their sealing spells since my last visit. Rather careless of them, hm?||||
UnderFrostB4|Incidentally, I believe we are close to that [[crash site]] I mentioned. If you wish to survive this little jaunt, I suggest you search the area for a [[filtration mask]].||||
UnderFrostB4b|Incidentally, I believe we are close to where the Munro Expedition crashed back in '35. If you wish to survive this little jaunt, I suggest you [[search the wreckage]] for a working [[filtration mask]].||||
UnderFrostB5a|I do believe we are close to that [[crash site]] I mentioned. If you wish to survive this little jaunt, I suggest you search the area for a [[filtration mask]].||||
UnderFrostB5b|You've found a [[filtration mask]]? Very good. I daresay Captain Munro and his crew no longer have any use for it, stars rest their souls.||||
UnderFrostB6|First, our vessel's buoyancy engine broke down upon arrival. Then our signal flares proved to be duds, so we missed our rescue rendezvous.||||
UnderFrostB7|Our thaumometer fritzed out at anything above 7.3 millihex. And our faulty breathing casks became over-pressurised, causing us to hallucinate.||||
UnderFrostB8|It was my first inkling that the Clockwork Kingdom's vaunted manufacturing prowess might be in decline. ##Frankly, without my late colleague Magda, I wouldn't be standing here today.||||
UnderFrostB9|In the end everyone got medals, living and dead, and the King no doubt thought our discoveries many times more valuable than what we had paid for them.||||
UnderFrostB10|By all means. I will remain here for a few ticks, to ensure no one is left behind.||||
UnderFrostBP1|What happened on your last expedition, anyway?||||
UnderFrostBP2|Let's keep moving.||||
UnderBasaltB1|See that [[coach house]] up above? You know, that thing that looks like ((no couch house you've ever seen))?||||
UnderBasaltB2|Well, that's where we're trying to get to. Frost reckons if there's an Emberian [[autocoach]] left intact he might be able to fix it up.||||
UnderEmberianB1|<<She breathes heavily; the stench of machine grease is in the air.>> ##These things... really know how to fight.||||
UnderEmberianB2|They ain't like the smaller ones I've seen in the Skyrealms. These ones parry and riposte my blows - they learn my moves and react accordingly. It's like they're really ((thinking)).||||
UnderEmberianB3|If the Emberians built these things with just metal and magic, what ((else)) could they... create?||||
UnderEmberianB4|<<She shifts, suddenly uneasy in her armour, and says no more.>>||||
UnderDuchessB1|<<The Duchess is clutching her head.>> ##Ah... Confessor. I didn't... sense your presence, amongst all this ((noise)).||||
UnderDuchessB2|I'm not in ((pain)). I'm just... overwhelmed with psychic information.||||
UnderDuchessB3|I meant... ((psychic)) noise. There's so ((much)) it's hard to... shut it out.||||
UnderDuchessB4|<<She gestures ahead.>> You see all this fungi? They are not like the growths we get... in the Skyrealms. They are the ((cursed)) bodies of those... <<She winces.>> ...((pitiful)) souls who survived the World Rend.||||
UnderDuchessB5|Their fungal forms have coalesced... into a superorganism. Their minds are as one, united in anguish and misery. I can hear their silent screams, their fractured memories.||||
UnderDuchessB6|But one voice stands out from the cacophony. A workman with a [[special key]]. I see it sliding... into an [[autocoach]] lock.||||
UnderDuchessB7|He lived... in [[that house]] over yonder. I think you'd do well to pay it a visit.||||
UnderDuchessBP1|Uh, are you all right?||||
UnderDuchessBP2|I thought the Endless were used to pain.||||
UnderDuchessBP3|I don't hear anything.||||
UnderBasaltC1|One heck of a view from up 'ere, eh Confessor? Like one of those fancy Byonnian landscape painters slurped some ((bad)) mushroom stew an' painted their fever dream. <<He chuckles.>>||||
UnderBasaltC2|We're in luck. D'ya see that [[city]] in the distance? That's where these [[autocoaches]] should take us. From there, it should be a leisurely stroll to the Cradle.||||
UnderBasaltC3|Frost is workin' his magic, but looks like we'll still need a [[key]] to get one of the coaches goin'. ##So, you'd best get looking for one.||||
UnderBasaltC4|Course, it will be like looking for a needle in a heap o' shit. So, mayhaps the Duchess can help you scry one? ##Last I saw her, she was headed for the [[mushroom forest]] down there.||||
UnderFrostC1|<<Frost emits a torrent of bizarre epithets as he wrestles with the mechanism.>> ##Ten thousand... ((toffee))-chewing... blistering... ((confounded))... ##((FIDDLESTICKS!))||||
UnderFrostC2|<<He kicks the tram with one steel-capped boot. It rings like a gong.>> ##((Frog)) me backwards with a ((blinking)) battleaxe!||||
UnderFrostC3|<<Frost looks uncharacteristically embarrassed.>> ##Please accept my profound apologies for the delay. This is quite the most advanced machine I've ever encountered, and I'm not accustomed to this degree of... ((obstinacy)).||||
UnderFrostC4|I've managed to restore motive power, but these [[security measures]] are startling in their elegance. I can only guess that the Emberians considered the autocoach network to be of great strategic value.||||
UnderFrostC5|It all seems to revolve around some sort of [[key]]. Never fear; I'm confident I can bypass it.||||
UnderFrostC6|What? Absolutely not. That would be ((cheating)).||||
UnderFrostCP1|Having trouble?||||
UnderFrostCP2|You look like you could do with some help.||||
UnderFrostCP3|I'll just leave you alone.||||
UnderFrostCP4|Let me see if I can track down this key for you.||||
UnderDuchessD1|When I was wandering the forest below, I could sense the memories of a thousand Emberians. I saw this place as a sprawling cityscape, with towers and palaces beyond the mastery of any Endless mason.||||
UnderDuchessD2|But to see the same city stretching before me, so ((totally)) destroyed? It's enough to make even I - who has lived many mortal lifespans - ponder the fleetingness of our feeble human exploits.||||
UnderEmberianD1|I can see it, lingering on the horizon - the [[Cradle]]. She's so ((close)).||||
UnderEmberianD2|There's no time to tarry, Confessor. Let's hurry and get on that [[autocoach]].||||
UnderBasaltE1|Well, what are you waitin' for? Put that [[key]] into the control panel an' let's get her going.||||
UnderBasaltE2|Well I'll be damned; I've never seen an airship move with such grace. Despite the storms she glides like a cutter on the clearest o' days, an' faster than anything.||||
UnderDuchessE1|Well, go ahead and [[use the key]], Confessor. The anticipation is killing me.||||
UnderDuchessE2|It's one thing to see it from afar, but moving through these ruins feels downright macabre. I thought Verdant was fordone, but this is so much worse.||||
UnderEmberianE1|Go ahead and get this thing moving.||||
UnderEmberianE2|It's the strangest thing. I've never in my life seen a device like this, but riding upon it feels... oddly familiar.||||
UnderFrostE1|You are a spoilsport, do you know that? I ((would)) have gotten it working without the key. All I needed was another hour. Possibly two. Seven at the very most.||||
UnderFrostE2|<<Frost can't help grinning as his eyes dart wildly between each passing sight.>> ##Incredible. Simply ((astounding)). Imagine how these must have ((changed)) the very ((nature)) of distance. Entire populations, migrating like birds!||||
UnderBasaltF1|Well ((I'll be)). I've been to plenty o' places in my time - from the floating ziggurats of Al-Asfara to the glittering domes o' the Riovan council chambers. But this city... even in ((ruins)) it's a spectacle.||||
UnderBasaltF2|<<He wipes his brow.>> Let's have a moment to take a breather. This city looks to be crawling with mechanical guards, so we need to have our wits about us.||||
UnderBasaltF3|When you're ready, we'll head to the [[tallest tower]] over there. At its peak, the Duchess has scried some sort of [[autocoach]] that's angled towards the Cradle. Not gonna be an easy climb, but I ain't got any better ideas.||||
